recording_givid	survey	user_reference	area	vague_date_begin	vague_date_end	latitude	longitude
IV2013070910074952	Schelde-estuarium	BV12/116	9	2012-10-03	2012-10-03	500	500
IV2013070910125132	Schelde-estuarium	BV12/117	9	2012-10-03	2012-10-03	500	500
IV2013070910180541	Schelde-estuarium	BV12/119	9	2012-10-03	2012-10-03	500	500
IV2013070910213880	Schelde-estuarium	BV12/120	9	2012-10-03	2012-10-03	500	500
IV2013070910265522	Schelde-estuarium	BV12/121	9	2012-10-03	2012-10-03	500	500
IV2013070910322160	Schelde-estuarium	BV12/118	9	2012-10-02	2012-10-02	500	500
IV2013070910360565	Schelde-estuarium	BV12/123	9	2012-10-08	2012-10-08	500	500
IV2013070910395841	Schelde-estuarium	BV12/124	9	2012-10-08	2012-10-08	500	500
IV2013070910420382	Schelde-estuarium	BV12/127	9	2012-10-08	2012-10-08	500	500
IV2013070910441516	Schelde-estuarium	BV12/128	9	2012-10-08	2012-10-08	500	500
IV2013070910465521	Schelde-estuarium	BV12/129	9	2012-10-08	2012-10-08	500	500
IV2013070910491731	Schelde-estuarium	BV12/126	9	2012-10-08	2012-10-08	500	500
IV2013070910520513	Schelde-estuarium	BV12/125	9	2012-10-08	2012-10-08	500	500
IV2013070910553571	Schelde-estuarium	BV12/130	9	2012-10-08	2012-10-08	500	500
IV2013070910591004	Schelde-estuarium	BV12/131	9	2012-10-08	2012-10-08	500	500
IV2013070911053536	Schelde-estuarium	BV12/132	9	2012-10-08	2012-10-08	500	500
IV2013070911081081	Schelde-estuarium	BV12/133	9	2012-10-08	2012-10-08	500	500
IV2013070911110327	Schelde-estuarium	BV12/134	9	2012-10-08	2012-10-08	500	500
IV2013070911132671	Schelde-estuarium	BV12/135	9	2012-10-08	2012-10-08	500	500
IV2013070911181376	Schelde-estuarium	BV12/141	16	2012-10-10	2012-10-10	500	500
IV2013070911203143	Schelde-estuarium	BV12/142	16	2012-10-10	2012-10-10	500	500
IV2013070913454269	Schelde-estuarium	BV12/122	9	2012-10-08	2012-10-08	500	500
IV2013070914091634	Schelde-estuarium	BV12/003	4	2012-08-16	2012-08-16	500	500
IV2013070914483614	Schelde-estuarium	BV12/004	4	2012-08-16	2012-08-16	500	500
IV2013070915001584	Schelde-estuarium	BV12/005	9	2012-08-16	2012-08-16	500	500
IV2013070915132341	Schelde-estuarium	BV12/006	7	2012-08-16	2012-08-16	500	500
IV2013070915261755	Schelde-estuarium	BV12/007	7	2012-08-16	2012-08-16	500	500
IV2013070915330308	Schelde-estuarium	BV12/008	9	2012-08-16	2012-08-16	500	500
IV2013070915552934	Schelde-estuarium	BV12/009	9	2012-08-16	2012-08-16	500	500
IV2013070916144167	Schelde-estuarium	BV12/010	4	2012-08-16	2012-08-16	500	500
IV2013070916324458	Schelde-estuarium	BV12/011	4	2012-08-16	2012-08-16	500	500
IV2013070916471964	Schelde-estuarium	BV12/012	9	2012-08-16	2012-08-16	500	500
IV2013071008525294	Schelde-estuarium	BV12/013	7	2012-08-16	2012-08-16	500	500
IV2013071009032879	Schelde-estuarium	BV12/014	8	2012-08-16	2012-08-16	500	500
IV2013071009144800	Schelde-estuarium	BV12/015	4	2012-08-16	2012-08-16	500	500
IV2013071009451568	Schelde-estuarium	BV12/016	4	2012-08-16	2012-08-16	500	500
IV2013071009494357	Schelde-estuarium	BV12/017	9	2012-08-22	2012-08-22	500	500
IV2013071009551923	Schelde-estuarium	BV12/018	9	2012-08-22	2012-08-22	500	500
IV2013071010013505	Schelde-estuarium	BV12/019	9	2012-08-22	2012-08-22	500	500
IV2013071010194558	Schelde-estuarium	BV12/020	9	2012-08-22	2012-08-22	500	500
IV2013071010285193	Schelde-estuarium	BV12/021	9	2012-08-22	2012-08-22	500	500
IV2013071010382546	Schelde-estuarium	BV12/022	9	2012-08-22	2012-08-22	500	500
IV2013071010463791	Schelde-estuarium	BV12/023	9	2012-08-22	2012-08-22	500	500
IV2013071010533661	Schelde-estuarium	BV12/024	9	2012-08-22	2012-08-22	500	500
IV2013071011023143	Schelde-estuarium	BV12/025	9	2012-08-22	2012-08-22	500	500
IV2013071011202189	Schelde-estuarium	BV12/026	8	2012-08-22	2012-08-22	500	500
IV2013071011353079	Schelde-estuarium	BV12/027	9	2012-08-22	2012-08-22	500	500
IV2013071011522912	Schelde-estuarium	BV12/028	100	2012-08-23	2012-08-23	500	500
IV2013071012020294	Schelde-estuarium	BV12/029	9	2012-08-23	2012-08-23	500	500
IV2013071012400956	Schelde-estuarium	BV12/030	16	2012-08-23	2012-08-23	500	500
IV2013071012545945	Schelde-estuarium	BV12/031	9	2012-08-23	2012-08-23	500	500
IV2013071013072883	Schelde-estuarium	BV12/032	9	2012-08-23	2012-08-23	500	500
IV2013071013441062	Schelde-estuarium	BV12/033	64	2012-08-23	2012-08-23	500	500
IV2013071013504000	Schelde-estuarium	BV12/034	9	2012-08-23	2012-08-23	500	500
IV2013071013592480	Schelde-estuarium	BV12/136	100	2012-10-10	2012-10-10	500	500
IV2013071014064798	Schelde-estuarium	BV12/137	100	2012-10-10	2012-10-10	500	500
IV2013071014141859	Schelde-estuarium	BV12/138	100	2012-10-10	2012-10-10	500	500
IV2013071014234988	Schelde-estuarium	BV12/139	400	2012-10-10	2012-10-10	500	500
IV2013071014342669	Schelde-estuarium	BV12/140	400	2012-10-10	2012-10-10	500	500
IV2013071014521991	Schelde-estuarium	BV12/143	200	2012-10-11	2012-10-11	500	500
IV2013071015035913	Schelde-estuarium	BV12/144	250	2012-10-11	2012-10-11	500	500
IV2013071015123659	Schelde-estuarium	BV12/145	300	2012-10-11	2012-10-11	500	500
IV2013071015181050	Schelde-estuarium	BV12/146	100	2012-10-11	2012-10-11	500	500
IV2013071015250236	Schelde-estuarium	BV12/147	200	2012-10-11	2012-10-11	500	500
IV2013071015342096	Schelde-estuarium	BV12/149	24	2012-10-11	2012-10-11	500	500
IV2013071015395190	Schelde-estuarium	BV12/150	25	2012-10-11	2012-10-11	500	500
IV2013071015425027	Schelde-estuarium	BV12/151	25	2012-10-11	2012-10-11	500	500
IV2013071015490413	Schelde-estuarium	BV12/152	40	2012-10-12	2012-10-12	500	500
IV2013071015523476	Schelde-estuarium	BV12/148	225	2012-10-11	2012-10-11	500	500
IV2013071016060814	Schelde-estuarium	BV12/154	225	2012-10-12	2012-10-12	500	500
IV2013071016223985	Schelde-estuarium	BV12/153	32	2012-10-12	2012-10-12	500	500
IV2013071208481348	Schelde-estuarium	BV12/155	100	2012-10-12	2012-10-12	500	500
IV2013071208582136	Schelde-estuarium	BV12/156	24	2012-10-12	2012-10-12	500	500
IV2013071209061777	Schelde-estuarium	BV12/157	100	2012-10-12	2012-10-12	500	500
IV2013071209131251	Schelde-estuarium	BV12/158	400	2012-10-12	2012-10-12	500	500
IV2013071209203965	Schelde-estuarium	BV12/159	100	2012-10-12	2012-10-12	500	500
IV2013071209265749	Schelde-estuarium	BV12/160	225	2012-10-12	2012-10-12	500	500
IV2013071209335392	Schelde-estuarium	BV12/161	100	2012-10-12	2012-10-12	500	500
IV2013071209382214	Schelde-estuarium	BV12/162	100	2012-10-12	2012-10-12	500	500
IV2013071209425056	Schelde-estuarium	BV12/163	100	2012-10-12	2012-10-12	500	500
IV2013071209463478	Schelde-estuarium	BV12/164	100	2012-10-12	2012-10-12	500	500
IV2013071209553762	Schelde-estuarium	BV12/165	100	2012-10-16	2012-10-16	500	500
IV2013071210005438	Schelde-estuarium	BV12/166	100	2012-10-16	2012-10-16	500	500
IV2013071210080423	Schelde-estuarium	BV12/167	100	2012-10-16	2012-10-16	500	500
IV2013071210223587	Schelde-estuarium	BV12/168	100	2012-10-16	2012-10-16	500	500
IV2013071210285601	Schelde-estuarium	BV12/169	200	2012-10-16	2012-10-16	500	500
IV2013071210431717	Schelde-estuarium	BV12/170	60	2012-10-16	2012-10-16	500	500
IV2013071210525824	Schelde-estuarium	BV12/171	24	2012-10-16	2012-10-16	500	500
IV2013071211051596	Schelde-estuarium	BV12/172	22	2012-10-16	2012-10-16	500	500
IV2013071211103359	Schelde-estuarium	BV12/173	60	2012-10-16	2012-10-16	500	500
IV2013071211223652	Schelde-estuarium	BV12/174	400	2012-10-19	2012-10-19	500	500
IV2013071211315036	Schelde-estuarium	BV12/175	400	2012-10-19	2012-10-19	500	500
IV2013071211463307	Schelde-estuarium	BV12/176	225	2012-10-19	2012-10-19	500	500
IV2013071211495143	Schelde-estuarium	BV12/177	100	2012-10-19	2012-10-19	500	500
IV2013071211542383	Schelde-estuarium	BV12/178	225	2012-10-19	2012-10-19	500	500
IV2013071212001116	Schelde-estuarium	BV12/179	100	2012-10-22	2012-10-22	500	500
IV2013071212024959	Schelde-estuarium	BV12/180	18	2012-10-22	2012-10-22	500	500
IV2013071212071215	Schelde-estuarium	BV12/181	60	2012-10-22	2012-10-22	500	500
IV2013071212093964	Schelde-estuarium	BV12/182	60	2012-10-22	2012-10-22	500	500
IV2013071212162404	Schelde-estuarium	BV12/183	50	2012-10-22	2012-10-22	500	500
IV2013071212214188	Schelde-estuarium	BV12/184	27	2012-10-22	2012-10-22	500	500
IV2013071212252337	Schelde-estuarium	BV12/185	180	2012-10-22	2012-10-22	500	500
IV2013071212295962	Schelde-estuarium	BV12/186	27	2012-10-22	2012-10-22	500	500
IV2013071212440701	Schelde-estuarium	BV12/187	36	2012-10-22	2012-10-22	500	500
IV2013071212482673	Schelde-estuarium	BV12/188	60	2012-10-22	2012-10-22	500	500
IV2013071212524520	Schelde-estuarium	BV12/189	60	2012-10-22	2012-10-22	500	500
IV2013071212583915	Schelde-estuarium	BV12/190	37	2012-10-23	2012-10-23	500	500
IV2013071213084332	Schelde-estuarium	BV12/191	40	2012-10-23	2012-10-23	500	500
IV2013071213510269	Schelde-estuarium	BV12/192	30	2012-10-23	2012-10-23	500	500
IV2013071213523496	Schelde-estuarium	BV12/193	60	2012-10-23	2012-10-23	500	500
IV2013071213585406	Schelde-estuarium	BV12/194	50	2012-10-23	2012-10-23	500	500
IV2013071214031440	Schelde-estuarium	BV12/195	30	2012-10-23	2012-10-23	500	500
IV2013071214055359	Schelde-estuarium	BV12/196	33	2012-10-23	2012-10-23	500	500
IV2013071214090049	Schelde-estuarium	BV12/197	60	2012-10-23	2012-10-23	500	500
IV2013071214110851	Schelde-estuarium	BV12/198	60	2012-10-23	2012-10-23	500	500
IV2013071214142019	Schelde-estuarium	BV12/199	25	2012-10-24	2012-10-24	500	500
IV2013071214240759	Schelde-estuarium	BV12/200	30	2012-10-24	2012-10-24	500	500
IV2013071214332415	Schelde-estuarium	BV12/201	60	2012-10-24	2012-10-24	500	500
IV2013071214385494	Schelde-estuarium	BV12/202	50	2012-10-24	2012-10-24	500	500
IV2013071214450653	Schelde-estuarium	BV12/203	36	2012-10-24	2012-10-24	500	500
IV2013071214502325	Schelde-estuarium	BV12/204	24	2012-10-24	2012-10-24	500	500
IV2013071214552444	Schelde-estuarium	BV12/205	40	2012-10-24	2012-10-24	500	500
IV2013071215005202	Schelde-estuarium	BV12/206	40	2012-10-24	2012-10-24	500	500
IV2013101411571056	Schelde-estuarium	WM13/001	16	2013-10-07	2013-10-07	500	500
IV2013101412094567	Schelde-estuarium	WM13/002	16	2013-10-07	2013-10-07	500	500
IV2013101412124411	Schelde-estuarium	WM13/003	16	2013-10-07	2013-10-07	500	500
IV2013101412215753	Schelde-estuarium	WM13/004	16	2013-10-07	2013-10-07	500	500
IV2013101412250708	Schelde-estuarium	WM13/005	16	2013-10-07	2013-10-07	500	500
IV2013101412274167	Schelde-estuarium	WM13/006	16	2013-10-07	2013-10-07	500	500
IV2013101412284780	Schelde-estuarium	WM13/007	16	2013-10-07	2013-10-07	500	500
IV2013101412325096	Schelde-estuarium	WM13/008	16	2013-10-07	2013-10-07	500	500
IV2013101412334860	Schelde-estuarium	WM13/009	16	2013-10-07	2013-10-07	500	500
IV2013101412352991	Schelde-estuarium	WM13/010	16	2013-10-07	2013-10-07	500	500
IV2013101412401740	Schelde-estuarium	WM13/011	16	2013-10-07	2013-10-07	500	500
IV2013101412450936	Schelde-estuarium	WM13/012	16	2013-10-07	2013-10-07	500	500
IV2013101412473922	Schelde-estuarium	WM13/013	16	2013-10-07	2013-10-07	500	500
IV2013101412493639	Schelde-estuarium	WM13/014	16	2013-10-07	2013-10-07	500	500
IV2013101412510543	Schelde-estuarium	WM13/015	16	2013-10-07	2013-10-07	500	500
IV2013101412524574	Schelde-estuarium	WM13/016	16	2013-10-07	2013-10-07	500	500
IV2013101412551687	Schelde-estuarium	WM13/017	16	2013-10-07	2013-10-07	500	500
IV2013101412563839	Schelde-estuarium	WM13/018	16	2013-10-07	2013-10-07	500	500
IV2013101412583188	Schelde-estuarium	WM13/019	16	2013-10-07	2013-10-07	500	500
IV2013101412593895	Schelde-estuarium	WM13/020	16	2013-10-07	2013-10-07	500	500
IV2013101413012381	Schelde-estuarium	WM13/021	16	2013-10-07	2013-10-07	500	500
IV2013101413021951	Schelde-estuarium	WM13/022	16	2013-10-07	2013-10-07	500	500
IV2013101413532478	Schelde-estuarium	WM13/023	16	2013-10-07	2013-10-07	500	500
IV2013112012335764	Schelde-estuarium	BV13/062	100	2013-09-09	2013-09-09	500	500
IV2013112013391754	Schelde-estuarium	BV13/061	100	2013-09-09	2013-09-09	500	500
IV2013112014051359	Schelde-estuarium	BV13/057	100	2013-09-09	2013-09-09	500	500
IV2013112014075662	Schelde-estuarium	BV13/055	40	2013-09-09	2013-09-09	500	500
IV2013112014180740	Schelde-estuarium	BV13/056	99	2013-09-09	2013-09-09	500	500
IV2013112014252162	Schelde-estuarium	BV13/058	100	2013-09-09	2013-09-09	500	500
IV2013112014321005	Schelde-estuarium	BV13/059	100	2013-09-09	2013-09-09	500	500
IV2013112015024521	Schelde-estuarium	BV13/060	100	2013-09-09	2013-09-09	500	500
IV2013112015053253	Schelde-estuarium	BV13/063	49	2013-09-09	2013-09-09	500	500
IV2013112015410875	Schelde-estuarium	BV13/065	108	2013-09-10	2013-09-10	500	500
IV2013112015462691	Schelde-estuarium	BV13/066	54	2013-09-10	2013-09-10	500	500
IV2013112016153156	Schelde-estuarium	BV13/067	200	2013-09-10	2013-09-10	500	500
IV2013112016223231	Schelde-estuarium	BV13/064	100	2013-09-10	2013-09-10	500	500
IV2013112510294627	Schelde-estuarium	BV13/071	50	2013-09-12	2013-09-12	500	500
IV2013112510363066	Schelde-estuarium	BV13/072	100	2013-09-12	2013-09-12	500	500
IV2013112510372455	Schelde-estuarium	BV13/069	70	2013-09-12	2013-09-12	500	500
IV2013112510405905	Schelde-estuarium	BV13/070	30	2013-09-12	2013-09-12	500	500
IV2013112510481962	Schelde-estuarium	BV13/074	88	2013-09-12	2013-09-12	500	500
IV2013112510491349	Schelde-estuarium	BV13/073	120	2013-09-12	2013-09-12	500	500
IV2013112511065032	Schelde-estuarium	BV13/068	400	2013-09-12	2013-09-12	500	500
IV2013112511473957	Schelde-estuarium	BV13/082	100	2013-09-13	2013-09-13	500	500
IV2013112512071698	Schelde-estuarium	BV13/077	100	2013-09-13	2013-09-13	500	500
IV2013112512115854	Schelde-estuarium	BV13/076	100	2013-09-13	2013-09-13	500	500
IV2013112512142675	Schelde-estuarium	BV13/075	100	2013-09-13	2013-09-13	500	500
IV2013112512233871	Schelde-estuarium	BV13/084	48	2013-09-13	2013-09-13	500	500
IV2013112512261571	Schelde-estuarium	BV13/083	42	2013-09-13	2013-09-13	500	500
IV2013112512333257	Schelde-estuarium	BV13/081	100	2013-09-13	2013-09-13	500	500
IV2013112512441623	Schelde-estuarium	BV13/078	24	2013-09-13	2013-09-13	500	500
IV2013112513461255	Schelde-estuarium	BV13/079	70	2013-09-13	2013-09-13	500	500
IV2013112513515000	Schelde-estuarium	BV13/080	70	2013-09-13	2013-09-13	500	500
IV2013112513523945	Schelde-estuarium	BV13/086	60	2013-09-16	2013-09-16	500	500
IV2013112513553865	Schelde-estuarium	BV13/087	225	2013-09-16	2013-09-16	500	500
IV2013112514102708	Schelde-estuarium	BV13/088	225	2013-09-16	2013-09-16	500	500
IV2013112514145313	Schelde-estuarium	BV13/085	63	2013-09-16	2013-09-16	500	500
IV2013112514191156	Schelde-estuarium	BV13/090	221	2013-09-16	2013-09-16	500	500
IV2013112514444162	Schelde-estuarium	BV13/089	130	2013-09-16	2013-09-16	500	500
IV2013112514541496	Schelde-estuarium	BV13/091	160	2013-09-16	2013-09-16	500	500
IV2013112609280574	Schelde-estuarium	BV13/092	100	2013-09-17	2013-09-17	500	500
IV2013112609322182	Schelde-estuarium	BV13/093	40	2013-09-17	2013-09-17	500	500
IV2013112609331731	Schelde-estuarium	BV13/094	100	2013-09-17	2013-09-17	500	500
IV2013112609404978	Schelde-estuarium	BV13/096	45	2013-09-17	2013-09-17	500	500
IV2013112609480584	Schelde-estuarium	BV13/095	200	2013-09-17	2013-09-17	500	500
IV2013112609491469	Schelde-estuarium	BV13/097	100	2013-09-17	2013-09-17	500	500
IV2013112609561530	Schelde-estuarium	BV13/104	100	2013-09-18	2013-09-18	500	500
IV2013112610013249	Schelde-estuarium	BV13/103	100	2013-09-18	2013-09-18	500	500
IV2013112610022030	Schelde-estuarium	BV13/105	100	2013-09-18	2013-09-18	500	500
IV2013112610235133	Schelde-estuarium	BV13/101	100	2013-09-18	2013-09-18	500	500
IV2013112610251632	Schelde-estuarium	BV13/102	60	2013-09-18	2013-09-18	500	500
IV2013112610383561	Schelde-estuarium	BV13/100	200	2013-09-18	2013-09-18	500	500
IV2013112610432260	Schelde-estuarium	BV13/098	200	2013-09-18	2013-09-18	500	500
IV2013112610573981	Schelde-estuarium	BV13/099	300	2013-09-18	2013-09-18	500	500
IV2013112611030930	Schelde-estuarium	BV13/109	100	2013-09-19	2013-09-19	500	500
IV2013112611060545	Schelde-estuarium	BV13/111	100	2013-09-19	2013-09-19	500	500
IV2013112611085932	Schelde-estuarium	BV13/107	100	2013-09-19	2013-09-19	500	500
IV2013112611103422	Schelde-estuarium	BV13/110	80	2013-09-19	2013-09-19	500	500
IV2013112611191782	Schelde-estuarium	BV13/108	100	2013-09-19	2013-09-19	500	500
IV2013112611250722	Schelde-estuarium	BV13/106	169	2013-09-19	2013-09-19	500	500
IV2013112611275829	Schelde-estuarium	BV13/112	100	2013-09-19	2013-09-19	500	500
IV2013112611341089	Schelde-estuarium	BV13/116	28	2013-09-20	2013-09-20	500	500
IV2013112611393012	Schelde-estuarium	BV13/115	35	2013-09-20	2013-09-20	500	500
IV2013112611425997	Schelde-estuarium	BV13/117	80	2013-09-20	2013-09-20	500	500
IV2013112611500028	Schelde-estuarium	BV13/118	60	2013-09-20	2013-09-20	500	500
IV2013112612101728	Schelde-estuarium	BV13/119	400	2013-09-20	2013-09-20	500	500
IV2013112612143161	Schelde-estuarium	BV13/113	100	2013-09-20	2013-09-20	500	500
IV2013112612190184	Schelde-estuarium	BV13/114	340	2013-09-20	2013-09-20	500	500
IV2013112613395719	Schelde-estuarium	BV13/120	100	2013-09-23	2013-09-23	500	500
IV2013112613444646	Schelde-estuarium	BV13/122	100	2013-09-23	2013-09-23	500	500
IV2013112613475490	Schelde-estuarium	BV13/124	400	2013-09-23	2013-09-23	500	500
IV2013112613564882	Schelde-estuarium	BV13/123	400	2013-09-23	2013-09-23	500	500
IV2013112614015766	Schelde-estuarium	BV13/121	400	2013-09-23	2013-09-23	500	500
IV2013112614073039	Schelde-estuarium	BV13/129	49	2013-09-24	2013-09-24	500	500
IV2013112614213417	Schelde-estuarium	BV13/130	55	2013-09-24	2013-09-24	500	500
IV2013112614272393	Schelde-estuarium	BV13/132	29	2013-09-24	2013-09-24	500	500
IV2013112614303559	Schelde-estuarium	BV13/131	24	2013-09-24	2013-09-24	500	500
IV2013112614402687	Schelde-estuarium	BV13/126	48	2013-09-24	2013-09-24	500	500
IV2013112614581682	Schelde-estuarium	BV13/127	48	2013-09-24	2013-09-24	500	500
IV2013112615285945	Schelde-estuarium	BV13/128	400	2013-09-24	2013-09-24	500	500
IV2013112615371071	Schelde-estuarium	BV13/125	380	2013-09-24	2013-09-24	500	500
IV2013112615405050	Schelde-estuarium	BV13/139	100	2013-09-25	2013-09-25	500	500
IV2013112615435258	Schelde-estuarium	BV13/137	100	2013-09-25	2013-09-25	500	500
IV2013112615470467	Schelde-estuarium	BV13/134	100	2013-09-25	2013-09-25	500	500
IV2013112615501425	Schelde-estuarium	BV13/138	35	2013-09-25	2013-09-25	500	500
IV2013112615563116	Schelde-estuarium	BV13/136	750	2013-09-25	2013-09-25	500	500
IV2013112616044360	Schelde-estuarium	BV13/135	200	2013-09-25	2013-09-25	500	500
IV2013112616175459	Schelde-estuarium	BV13/133	400	2013-09-25	2013-09-25	500	500
IV2013112616275443	Schelde-estuarium	BV13/140	250	2013-09-25	2013-09-25	500	500
IV2013112616312688	Schelde-estuarium	BV13/143	100	2013-09-26	2013-09-26	500	500
IV2013112616363447	Schelde-estuarium	BV13/141	100	2013-09-26	2013-09-26	500	500
IV2013112616434309	Schelde-estuarium	BV13/142	21	2013-09-26	2013-09-26	500	500
IV2013112709543246	Schelde-estuarium	BV13/144	300	2013-09-26	2013-09-26	500	500
IV2013112710155983	Schelde-estuarium	BV13/145	100	2013-09-26	2013-09-26	500	500
IV2013112710235801	Schelde-estuarium	BV13/146	400	2013-09-26	2013-09-26	500	500
IV2013112710275738	Schelde-estuarium	BV13/147	100	2013-09-27	2013-09-27	500	500
IV2013112710315313	Schelde-estuarium	BV13/148	100	2013-09-27	2013-09-27	500	500
IV2013112710354150	Schelde-estuarium	BV13/149	90	2013-09-27	2013-09-27	500	500
IV2013112710392628	Schelde-estuarium	BV13/150	50	2013-09-27	2013-09-27	500	500
IV2013112710450901	Schelde-estuarium	BV13/151	100	2013-09-27	2013-09-27	500	500
IV2013112711164443	Schelde-estuarium	BV13/152	100	2013-09-27	2013-09-27	500	500
IV2013112711223774	Schelde-estuarium	BV13/156	100	2013-09-30	2013-09-30	500	500
IV2013112711253147	Schelde-estuarium	BV13/155	100	2013-09-30	2013-09-30	500	500
IV2013112711302429	Schelde-estuarium	BV13/153	400	2013-09-30	2013-09-30	500	500
IV2013112711363764	Schelde-estuarium	BV13/154	400	2013-09-30	2013-09-30	500	500
IV2013112711401629	Schelde-estuarium	BV13/157	100	2013-09-30	2013-09-30	500	500
IV2013112711431776	Schelde-estuarium	BV13/158	80	2013-09-30	2013-09-30	500	500
IV2013112711470531	Schelde-estuarium	BV13/159	100	2013-09-30	2013-09-30	500	500
IV2013112711495206	Schelde-estuarium	BV13/166	90	2013-10-01	2013-10-01	500	500
IV2013112711524267	Schelde-estuarium	BV13/165	100	2013-10-01	2013-10-01	500	500
IV2013112711560567	Schelde-estuarium	BV13/167	100	2013-10-01	2013-10-01	500	500
IV2013112711590375	Schelde-estuarium	BV13/164	100	2013-10-01	2013-10-01	500	500
IV2013112712015253	Schelde-estuarium	BV13/162	100	2013-10-01	2013-10-01	500	500
IV2013112712071867	Schelde-estuarium	BV13/163	100	2013-10-01	2013-10-01	500	500
IV2013112712145634	Schelde-estuarium	BV13/161	100	2013-10-01	2013-10-01	500	500
IV2013112712184505	Schelde-estuarium	BV13/160	100	2013-10-01	2013-10-01	500	500
IV2013112714174816	Schelde-estuarium	BV13/171	100	2013-10-02	2013-10-02	500	500
IV2013112714210149	Schelde-estuarium	BV13/172	60	2013-10-02	2013-10-02	500	500
IV2013112714241387	Schelde-estuarium	BV13/170	60	2013-10-02	2013-10-02	500	500
IV2013112714303640	Schelde-estuarium	BV13/169	60	2013-10-02	2013-10-02	500	500
IV2013112714331913	Schelde-estuarium	BV13/168	60	2013-10-02	2013-10-02	500	500
IV2013112714354557	Schelde-estuarium	BV13/173	16	2013-10-04	2013-10-04	500	500
IV2013112714384332	Schelde-estuarium	BV13/174	16	2013-10-04	2013-10-04	500	500
IV2013112714403448	Schelde-estuarium	BV13/181	16	2013-10-04	2013-10-04	500	500
IV2013112714513426	Schelde-estuarium	BV13/182	16	2013-10-04	2013-10-04	500	500
IV2013112714553235	Schelde-estuarium	BV13/183	16	2013-10-04	2013-10-04	500	500
IV2013112714593329	Schelde-estuarium	BV13/176	16	2013-10-04	2013-10-04	500	500
IV2013112715024820	Schelde-estuarium	BV13/177	16	2013-10-04	2013-10-04	500	500
IV2013112715041216	Schelde-estuarium	BV13/178	16	2013-10-04	2013-10-04	500	500
IV2014011314391446	Schelde-estuarium	BV13/179	16	2013-10-04	2013-10-04	500	500
IV2014011314452030	Schelde-estuarium	BV13/180	16	2013-10-04	2013-10-04	500	500
IV2014011314475087	Schelde-estuarium	BV13/184	16	2013-10-04	2013-10-04	500	500
IV2014011314530019	Schelde-estuarium	BV13/185	16	2013-10-04	2013-10-04	500	500
IV2014011315021084	Schelde-estuarium	BV13/186	16	2013-10-04	2013-10-04	500	500
IV2014011315053247	Schelde-estuarium	BV13/175	16	2013-10-04	2013-10-04	500	500
IV2014011315360763	Schelde-estuarium	BV13/187	9	2013-10-07	2013-10-07	500	500
