recording_givid	survey	type_observed	classif_key	type_cover
IV2017010617095027	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	65
IV2017010617095027	N2000meetnet_Grasland	rbbah	Habitatsleutel v5	10
IV2017010617095027	N2000meetnet_Grasland	rbbmr	Habitatsleutel v5	10
IV2017010617095027	N2000meetnet_Grasland	rbbzil	Habitatsleutel v5	15
IV2017010617191621	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017010617282387	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	90
IV2017010617282387	N2000meetnet_Grasland	rbbah	Habitatsleutel v5	5
IV2017010617282387	N2000meetnet_Grasland	rbbmr	Habitatsleutel v5	5
IV2017010617362713	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017010617430082	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	85
IV2017010617430082	N2000meetnet_Grasland	rbbkam	Habitatsleutel v5	5
IV2017010617430082	N2000meetnet_Grasland	rbbmr	Habitatsleutel v5	10
IV2017010617551993	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017010618013747	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017010618124978	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	85
IV2017010618124978	N2000meetnet_Grasland	rbbah	Habitatsleutel v5	15
IV2017010618211064	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017010618292802	N2000meetnet_Grasland	1310_pol	Habitatsleutel v5	50
IV2017010618292802	N2000meetnet_Grasland	rbbah	Habitatsleutel v5	10
IV2017010618292802	N2000meetnet_Grasland	rbbmr	Habitatsleutel v5	40
IV2017010618363706	N2000meetnet_Grasland	1310_pol	Habitatsleutel v5	100
IV2017010618405531	N2000meetnet_Grasland	1310_pol	Habitatsleutel v5	85
IV2017010618405531	N2000meetnet_Grasland	rbbmr	Habitatsleutel v5	15
IV2017010618503780	N2000meetnet_Grasland	1310_pol	Habitatsleutel v5	100
IV2017010910225147	N2000meetnet_Grasland	3130_aom	Habitatsleutel v5	20
IV2017010910225147	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	60
IV2017010910225147	N2000meetnet_Grasland	rbbms	Habitatsleutel v5	20
IV2017010910241756	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017010911112595	N2000meetnet_Grasland	-9	Habitatsleutel v5	50
IV2017010911112595	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	50
IV2017010911343112	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017010915000761	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017010916362743	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017010922050123	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017010922225486	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017011212263384	N2000meetnet_Grasland	-9	Habitatsleutel v5	50
IV2017011212263384	N2000meetnet_Grasland	4030	Habitatsleutel v5	10
IV2017011212263384	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	40
IV2017011212535658	N2000meetnet_Grasland	1310_pol	Habitatsleutel v5	30
IV2017011212535658	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	50
IV2017011212535658	N2000meetnet_Grasland	rbbkam	Habitatsleutel v5	15
IV2017011212535658	N2000meetnet_Grasland	rbbmr	Habitatsleutel v5	5
IV2017011214394174	N2000meetnet_Grasland	1310_pol	Habitatsleutel v5	50
IV2017011214394174	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	50
IV2017011215122813	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017011215162577	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	70
IV2017011215162577	N2000meetnet_Grasland	rbbzil	Habitatsleutel v5	30
IV2017011215184680	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017011215302636	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017011215475751	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017011215545335	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	30
IV2017011215545335	N2000meetnet_Grasland	rbbah	Habitatsleutel v5	30
IV2017011215545335	N2000meetnet_Grasland	rbbmr	Habitatsleutel v5	40
IV2017011216070022	N2000meetnet_Grasland	1330_hpr	Habitatsleutel v5	100
IV2017011312251730	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	30
IV2017011312251730	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	70
IV2017011812094287	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017011813083530	N2000meetnet_Grasland	-9	Habitatsleutel v5	30
IV2017011813083530	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	40
IV2017011813083530	N2000meetnet_Grasland	9120	Habitatsleutel v5	30
IV2017011813535331	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017011814163232	N2000meetnet_Grasland	-9	Habitatsleutel v5	20
IV2017011814163232	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	80
IV2017011816230130	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017011816484258	N2000meetnet_Grasland	4030	Habitatsleutel v5	70
IV2017011816484258	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	20
IV2017011816484258	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	10
IV2017011817212208	N2000meetnet_Grasland	4030	Habitatsleutel v5	40
IV2017011817212208	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	50
IV2017011817212208	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	10
IV2017011915010675	N2000meetnet_Grasland	-9	Habitatsleutel v5	10
IV2017011915010675	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	90
IV2017011916185487	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017011916524752	N2000meetnet_Grasland	-9	Habitatsleutel v5	50
IV2017011916524752	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	50
IV2017011919322195	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012010235498	N2000meetnet_Grasland	-9	Habitatsleutel v5	53
IV2017012010235498	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	47
IV2017012011231757	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017012012273378	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012012433410	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012013020416	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012013095674	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012013475483	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012013585970	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012015481765	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012016215306	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012016374726	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017012016550624	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017012017101191	N2000meetnet_Grasland	0	Habitatsleutel v5	30
IV2017012017101191	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	70
IV2017012017312649	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017012312301685	N2000meetnet_Grasland	-9	Habitatsleutel v5	50
IV2017012312301685	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	50
IV2017012312531726	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012521020429	N2000meetnet_Grasland	-9	Habitatsleutel v5	50
IV2017012521020429	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	50
IV2017012521104081	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012522043706	N2000meetnet_Grasland	-9	Habitatsleutel v5	90
IV2017012522043706	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	10
IV2017012522232265	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012611170830	N2000meetnet_Grasland	-9	Habitatsleutel v5	50
IV2017012611170830	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	50
IV2017012611360478	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012612213288	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	70
IV2017012612213288	N2000meetnet_Moerassen	91E0_meso	Habitatsleutel v5	30
IV2017012613001528	N2000meetnet_Grasland	-9	Habitatsleutel v5	50
IV2017012613001528	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	50
IV2017012613110316	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017012613170767	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012613411763	N2000meetnet_Grasland	-9	Habitatsleutel v5	50
IV2017012613411763	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	50
IV2017012613530004	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017012615432844	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	96
IV2017012615432844	N2000meetnet_Grasland	9160	Habitatsleutel v5	4
IV2017012620054742	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017012620463014	N2000meetnet_Grasland	-9	Habitatsleutel v5	10
IV2017012620463014	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	90
IV2017012620573892	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017012709211647	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017012709294069	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017012709434540	N2000meetnet_Grasland	-9	Habitatsleutel v5	40
IV2017012709434540	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	35
IV2017012709434540	N2000meetnet_Grasland	rbbmc	Habitatsleutel v5	15
IV2017012709434540	N2000meetnet_Grasland	rbbms	Habitatsleutel v5	10
IV2017012710254898	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017012711062779	N2000meetnet_Moerassen	4010	Habitatsleutel v5	42
IV2017012711062779	N2000meetnet_Moerassen	7140_oli	Habitatsleutel v5	58
IV2017012711193298	N2000meetnet_Moerassen	7140_oli	Habitatsleutel v5	100
IV2017012711292443	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017012711431363	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017012712420281	N2000meetnet_Grasland	-9	Habitatsleutel v5	70
IV2017012712420281	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	30
IV2017012713022515	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017012713261758	N2000meetnet_Grasland	0	Habitatsleutel v5	25
IV2017012713261758	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	75
IV2017012714021766	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017012714260737	N2000meetnet_Grasland	0	Habitatsleutel v5	10
IV2017012714260737	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	90
IV2017012715091042	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017012715235876	N2000meetnet_Grasland	6410_ve	Habitatsleutel v5	100
IV2017012715472176	N2000meetnet_Grasland	6410_ve	Habitatsleutel v5	100
IV2017012716313882	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	60
IV2017012716313882	N2000meetnet_Grasland	rbbmr	Habitatsleutel v5	10
IV2017012716313882	N2000meetnet_Grasland	rbbsf	Habitatsleutel v5	30
IV2017012716564741	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017013011050597	N2000meetnet_Grasland	4030	Habitatsleutel v5	30
IV2017013011050597	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	70
IV2017013011141972	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017013011553027	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	50
IV2017013011553027	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	50
IV2017013012265239	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017013013060304	N2000meetnet_Grasland	2310	Habitatsleutel v5	70
IV2017013013060304	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	30
IV2017013013143717	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017013013460448	N2000meetnet_Grasland	4030	Habitatsleutel v5	30
IV2017013013460448	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	70
IV2017013015085454	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017013015545827	N2000meetnet_Grasland	-9	Habitatsleutel v5	50
IV2017013015545827	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	50
IV2017013016040477	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017013110020007	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017020111393906	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017020116071546	N2000meetnet_Grasland	-9	Habitatsleutel v5	5
IV2017020116071546	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	75
IV2017020116071546	N2000meetnet_Grasland	6510	Habitatsleutel v5	20
IV2017020120160542	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017020121010797	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	50
IV2017020121010797	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	50
IV2017020121221303	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017020211023566	N2000meetnet_Grasland	-9	Habitatsleutel v5	30
IV2017020211023566	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	70
IV2017020211373000	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017020211533870	N2000meetnet_Grasland	-9	Habitatsleutel v5	50
IV2017020211533870	N2000meetnet_Grasland	6230	Habitatsleutel v5	50
IV2017020212290721	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017020308164723	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017020308555607	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017020309175600	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017020309320429	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017020309560065	N2000meetnet_Grasland	0	Habitatsleutel v5	5
IV2017020309560065	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	95
IV2017020310250354	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017020312255416	N2000meetnet_Grasland	0	Habitatsleutel v5	50
IV2017020312255416	N2000meetnet_Grasland	6410	Habitatsleutel v5	50
IV2017020313004098	N2000meetnet_Grasland	6410	Habitatsleutel v5	100
IV2017020318100730	N2000meetnet_Moerassen	3130_aom	Habitatsleutel v5	32
IV2017020318100730	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	68
IV2017020318234508	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017020318315989	N2000meetnet_Moerassen	-9	Habitatsleutel v5	20
IV2017020318315989	N2000meetnet_Moerassen	3150	Habitatsleutel v5	47
IV2017020318315989	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	33
IV2017020318480754	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017020318560367	N2000meetnet_Moerassen	4010	Habitatsleutel v5	84
IV2017020318560367	N2000meetnet_Moerassen	7140_oli	Habitatsleutel v5	16
IV2017020319064156	N2000meetnet_Moerassen	7140_oli	Habitatsleutel v5	100
IV2017020713102084	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017020714540212	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017020813265807	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017020813570832	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017020814143501	N2000meetnet_Moerassen	6410_ve	Habitatsleutel v5	20
IV2017020814143501	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	50
IV2017020814143501	N2000meetnet_Moerassen	rbbmr	Habitatsleutel v5	30
IV2017020814462786	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017020815060283	N2000meetnet_Grasland	6120	Habitatsleutel v5	87
IV2017020815060283	N2000meetnet_Grasland	6510	Habitatsleutel v5	3
IV2017020815060283	N2000meetnet_Grasland	rbbsp	Habitatsleutel v5	10
IV2017020815451966	N2000meetnet_Grasland	6120	Habitatsleutel v5	100
IV2017020911173410	N2000meetnet_Grasland	6120	Habitatsleutel v5	32
IV2017020911173410	N2000meetnet_Grasland	rbbkam	Habitatsleutel v5	38
IV2017020911173410	N2000meetnet_Grasland	rbbsp	Habitatsleutel v5	30
IV2017020912043705	N2000meetnet_Grasland	6120	Habitatsleutel v5	100
IV2017020914013322	N2000meetnet_Grasland	-9	Habitatsleutel v5	25
IV2017020914013322	N2000meetnet_Grasland	3260	Habitatsleutel v5	15
IV2017020914013322	N2000meetnet_Grasland	6120	Habitatsleutel v5	30
IV2017020914013322	N2000meetnet_Grasland	6430	Habitatsleutel v5	30
IV2017020914342201	N2000meetnet_Grasland	6120	Habitatsleutel v5	100
IV2017020915002276	N2000meetnet_Grasland	-9	Habitatsleutel v5	30
IV2017020915002276	N2000meetnet_Grasland	3260	Habitatsleutel v5	30
IV2017020915002276	N2000meetnet_Grasland	6120	Habitatsleutel v5	30
IV2017020915002276	N2000meetnet_Grasland	6430	Habitatsleutel v5	10
IV2017020916182461	N2000meetnet_Grasland	6120	Habitatsleutel v5	100
IV2017021009391220	N2000meetnet_Grasland	-9	Habitatsleutel v5	25
IV2017021009391220	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	55
IV2017021009391220	N2000meetnet_Grasland	6510_hu	Habitatsleutel v5	20
IV2017021009570606	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021011171644	N2000meetnet_Grasland	-9	Habitatsleutel v5	20
IV2017021011171644	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	80
IV2017021011372088	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021012213856	N2000meetnet_Grasland	-9	Habitatsleutel v5	2
IV2017021012213856	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	98
IV2017021012413096	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017021016462422	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021017031808	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021017175886	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	75
IV2017021017175886	N2000meetnet_Grasland	7140_meso	Habitatsleutel v5	5
IV2017021017175886	N2000meetnet_Grasland	91E0_meso	Habitatsleutel v5	20
IV2017021017402906	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021018002273	N2000meetnet_Grasland	-9	Habitatsleutel v5	50
IV2017021018002273	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	50
IV2017021018144986	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021310384624	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	60
IV2017021310384624	N2000meetnet_Grasland	91E0_meso	Habitatsleutel v5	10
IV2017021310384624	N2000meetnet_Grasland	rbbmr	Habitatsleutel v5	10
IV2017021310384624	N2000meetnet_Grasland	rbbso	Habitatsleutel v5	20
IV2017021311152342	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021311505729	N2000meetnet_Grasland	-9	Habitatsleutel v5	10
IV2017021311505729	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	50
IV2017021311505729	N2000meetnet_Grasland	7230	Habitatsleutel v5	10
IV2017021311505729	N2000meetnet_Grasland	rbbmr	Habitatsleutel v5	30
IV2017021312171588	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021312415166	N2000meetnet_Grasland	3130_aom	Habitatsleutel v5	10
IV2017021312415166	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	90
IV2017021313081237	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021313300649	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	64
IV2017021313300649	N2000meetnet_Grasland	91E0_veb	Habitatsleutel v5	36
IV2017021314165316	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021314354987	N2000meetnet_Grasland	-9	Habitatsleutel v5	20
IV2017021314354987	N2000meetnet_Grasland	3130_aom	Habitatsleutel v5	10
IV2017021314354987	N2000meetnet_Grasland	4010	Habitatsleutel v5	20
IV2017021314354987	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	30
IV2017021314354987	N2000meetnet_Grasland	rbbms	Habitatsleutel v5	20
IV2017021315595672	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017021316192193	N2000meetnet_Grasland	-9	Habitatsleutel v5	20
IV2017021316192193	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	80
IV2017021316354132	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017021316470293	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	80
IV2017021316470293	N2000meetnet_Grasland	6510_hu	Habitatsleutel v5	20
IV2017021317143301	N2000meetnet_Grasland	6410	Habitatsleutel v5	100
IV2017021410455484	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021411231990	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021413520341	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	80
IV2017021413520341	N2000meetnet_Grasland	91E0_veb	Habitatsleutel v5	20
IV2017021414091295	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021414213854	N2000meetnet_Grasland	-9	Habitatsleutel v5	35
IV2017021414213854	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	50
IV2017021414213854	N2000meetnet_Grasland	rbbsp	Habitatsleutel v5	15
IV2017021414350820	N2000meetnet_Grasland	6230_ha	Habitatsleutel v5	100
IV2017021414444810	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	90
IV2017021414444810	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	10
IV2017021415171476	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017021415415208	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017021415534916	N2000meetnet_Grasland	-9	Habitatsleutel v5	20
IV2017021415534916	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	80
IV2017021415590760	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017021416061568	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021416154407	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021416161173	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021416262329	N2000meetnet_Grasland	-9	Habitatsleutel v5	90
IV2017021416262329	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	10
IV2017021416585251	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017021417070556	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017021417294457	N2000meetnet_Grasland	6230_hmo	Habitatsleutel v5	100
IV2017021510114273	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017021511162976	N2000meetnet_Grasland	6230_hn	Habitatsleutel v5	100
IV2017021511480087	N2000meetnet_Moerassen	0	Habitatsleutel v5	17
IV2017021511480087	N2000meetnet_Moerassen	7140_oli	Habitatsleutel v5	83
IV2017021512035316	N2000meetnet_Moerassen	7140_oli	Habitatsleutel v5	100
IV2017021512174228	N2000meetnet_Grasland	0	Habitatsleutel v5	20
IV2017021512174228	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	80
IV2017021513022196	N2000meetnet_Moerassen	-9	Habitatsleutel v5	30
IV2017021513022196	N2000meetnet_Moerassen	3130_aom	Habitatsleutel v5	20
IV2017021513022196	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	50
IV2017021513104974	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017021513172295	N2000meetnet_Grasland	6410_mo	Habitatsleutel v5	100
IV2017021513174412	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017021513305863	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017021513460105	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017021513582966	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017021514080638	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
IV2017021514480221	N2000meetnet_Moerassen	7140_meso	Habitatsleutel v5	100
