survey	recording_givid	layer_code	layer_description	layer_cover
Schelde-estuarium	IV2013070908573073	STR	Strooisel	1
Schelde-estuarium	IV2013070908573073	TOT	Bedekking Totaal	60
Schelde-estuarium	IV2013070909002478	AL	Algenlaag	20
Schelde-estuarium	IV2013070909002478	STR	Strooisel	1
Schelde-estuarium	IV2013070909002478	TOT	Bedekking Totaal	20
Schelde-estuarium	IV2013070909043060	KH	Kruidlaag Hoog	4
Schelde-estuarium	IV2013070909043060	STR	Strooisel	1
Schelde-estuarium	IV2013070909043060	TOT	Bedekking Totaal	4
Schelde-estuarium	IV2013070909072746	AL	Algenlaag	15
Schelde-estuarium	IV2013070909072746	STR	Strooisel	1
Schelde-estuarium	IV2013070909072746	TOT	Bedekking Totaal	15
Schelde-estuarium	IV2013070909104301	KH	Kruidlaag Hoog	80
Schelde-estuarium	IV2013070909104301	STR	Strooisel	25
Schelde-estuarium	IV2013070909104301	TOT	Bedekking Totaal	90
Schelde-estuarium	IV2013070909141149	AL	Algenlaag	25
Schelde-estuarium	IV2013070909141149	STR	Strooisel	1
Schelde-estuarium	IV2013070909141149	TOT	Bedekking Totaal	25
Schelde-estuarium	IV2013070909163239	AL	Algenlaag	5
Schelde-estuarium	IV2013070909163239	TOT	Bedekking Totaal	5
Schelde-estuarium	IV2013070909202401	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013070909202401	STR	Strooisel	80
Schelde-estuarium	IV2013070909202401	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070909254090	AL	Algenlaag	20
Schelde-estuarium	IV2013070909254090	KH	Kruidlaag Hoog	80
Schelde-estuarium	IV2013070909254090	STR	Strooisel	2
Schelde-estuarium	IV2013070909254090	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013070909273869	AL	Algenlaag	50
Schelde-estuarium	IV2013070909273869	STR	Strooisel	1
Schelde-estuarium	IV2013070909273869	TOT	Bedekking Totaal	50
Schelde-estuarium	IV2013070909304619	AL	Algenlaag	18
Schelde-estuarium	IV2013070909304619	TOT	Bedekking Totaal	18
Schelde-estuarium	IV2013070909341303	AL	Algenlaag	1
Schelde-estuarium	IV2013070909341303	STR	Strooisel	1
Schelde-estuarium	IV2013070909341303	TOT	Bedekking Totaal	2
Schelde-estuarium	IV2013070909483015	AL	Algenlaag	40
Schelde-estuarium	IV2013070909483015	STR	Strooisel	1
Schelde-estuarium	IV2013070909483015	TOT	Bedekking Totaal	40
Schelde-estuarium	IV2013070909572092	AL	Algenlaag	28
Schelde-estuarium	IV2013070909572092	STR	Strooisel	1
Schelde-estuarium	IV2013070909572092	TOT	Bedekking Totaal	28
Schelde-estuarium	IV2013070910004494	AL	Algenlaag	15
Schelde-estuarium	IV2013070910004494	TOT	Bedekking Totaal	15
Schelde-estuarium	IV2013070910033601	AL	Algenlaag	4
Schelde-estuarium	IV2013070910033601	TOT	Bedekking Totaal	4
Schelde-estuarium	IV2013070910074952	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013070910074952	STR	Strooisel	10
Schelde-estuarium	IV2013070910074952	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013070910125132	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013070910125132	STR	Strooisel	10
Schelde-estuarium	IV2013070910125132	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013070910180541	AL	Algenlaag	90
Schelde-estuarium	IV2013070910180541	KH	Kruidlaag Hoog	15
Schelde-estuarium	IV2013070910180541	STR	Strooisel	1
Schelde-estuarium	IV2013070910180541	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013070910213880	AL	Algenlaag	90
Schelde-estuarium	IV2013070910213880	KH	Kruidlaag Hoog	1
Schelde-estuarium	IV2013070910213880	STR	Strooisel	1
Schelde-estuarium	IV2013070910213880	TOT	Bedekking Totaal	90
Schelde-estuarium	IV2013070910265522	AL	Algenlaag	90
Schelde-estuarium	IV2013070910265522	KH	Kruidlaag Hoog	2
Schelde-estuarium	IV2013070910265522	STR	Strooisel	1
Schelde-estuarium	IV2013070910265522	TOT	Bedekking Totaal	90
Schelde-estuarium	IV2013070910322160	KH	Kruidlaag Hoog	70
Schelde-estuarium	IV2013070910322160	STR	Strooisel	30
Schelde-estuarium	IV2013070910322160	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013070910360565	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013070910360565	STR	Strooisel	50
Schelde-estuarium	IV2013070910360565	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070910395841	AL	Algenlaag	40
Schelde-estuarium	IV2013070910395841	KH	Kruidlaag Hoog	60
Schelde-estuarium	IV2013070910395841	STR	Strooisel	5
Schelde-estuarium	IV2013070910395841	TOT	Bedekking Totaal	85
Schelde-estuarium	IV2013070910420382	AL	Algenlaag	55
Schelde-estuarium	IV2013070910420382	STR	Strooisel	1
Schelde-estuarium	IV2013070910420382	TOT	Bedekking Totaal	55
Schelde-estuarium	IV2013070910441516	AL	Algenlaag	20
Schelde-estuarium	IV2013070910441516	STR	Strooisel	1
Schelde-estuarium	IV2013070910441516	TOT	Bedekking Totaal	20
Schelde-estuarium	IV2013070910465521	AL	Algenlaag	37
Schelde-estuarium	IV2013070910465521	STR	Strooisel	1
Schelde-estuarium	IV2013070910465521	TOT	Bedekking Totaal	38
Schelde-estuarium	IV2013070910491731	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013070910491731	STR	Strooisel	80
Schelde-estuarium	IV2013070910491731	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070910520513	KH	Kruidlaag Hoog	80
Schelde-estuarium	IV2013070910520513	STR	Strooisel	40
Schelde-estuarium	IV2013070910520513	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013070910553571	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013070910553571	STR	Strooisel	70
Schelde-estuarium	IV2013070910553571	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013070910591004	AL	Algenlaag	5
Schelde-estuarium	IV2013070910591004	STR	Strooisel	1
Schelde-estuarium	IV2013070910591004	TOT	Bedekking Totaal	5
Schelde-estuarium	IV2013070911053536	AL	Algenlaag	2
Schelde-estuarium	IV2013070911053536	KH	Kruidlaag Hoog	85
Schelde-estuarium	IV2013070911053536	STR	Strooisel	75
Schelde-estuarium	IV2013070911053536	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013070911081081	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013070911081081	STR	Strooisel	60
Schelde-estuarium	IV2013070911081081	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070911110327	AL	Algenlaag	1
Schelde-estuarium	IV2013070911110327	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013070911110327	STR	Strooisel	3
Schelde-estuarium	IV2013070911110327	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013070911132671	AL	Algenlaag	35
Schelde-estuarium	IV2013070911132671	STR	Strooisel	1
Schelde-estuarium	IV2013070911132671	TOT	Bedekking Totaal	35
Schelde-estuarium	IV2013070911181376	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013070911181376	STR	Strooisel	20
Schelde-estuarium	IV2013070911181376	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013070911203143	KH	Kruidlaag Hoog	80
Schelde-estuarium	IV2013070911203143	STR	Strooisel	90
Schelde-estuarium	IV2013070911203143	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070913454269	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013070913454269	STR	Strooisel	80
Schelde-estuarium	IV2013070913454269	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070914091634	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013070914091634	MO	Moslaag	20
Schelde-estuarium	IV2013070914091634	SH	Struiklaag Hoog	2
Schelde-estuarium	IV2013070914091634	STR	Strooisel	60
Schelde-estuarium	IV2013070914091634	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070914483614	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013070914483614	MO	Moslaag	1
Schelde-estuarium	IV2013070914483614	SH	Struiklaag Hoog	10
Schelde-estuarium	IV2013070914483614	STR	Strooisel	60
Schelde-estuarium	IV2013070914483614	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070915001584	KH	Kruidlaag Hoog	70
Schelde-estuarium	IV2013070915001584	STR	Strooisel	90
Schelde-estuarium	IV2013070915001584	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070915132341	AL	Algenlaag	25
Schelde-estuarium	IV2013070915132341	KH	Kruidlaag Hoog	45
Schelde-estuarium	IV2013070915132341	STR	Strooisel	1
Schelde-estuarium	IV2013070915132341	TOT	Bedekking Totaal	70
Schelde-estuarium	IV2013070915261755	KH	Kruidlaag Hoog	80
Schelde-estuarium	IV2013070915261755	SH	Struiklaag Hoog	20
Schelde-estuarium	IV2013070915261755	STR	Strooisel	50
Schelde-estuarium	IV2013070915261755	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070915330308	KH	Kruidlaag Hoog	80
Schelde-estuarium	IV2013070915330308	SH	Struiklaag Hoog	4
Schelde-estuarium	IV2013070915330308	STR	Strooisel	75
Schelde-estuarium	IV2013070915330308	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013070915552934	KH	Kruidlaag Hoog	60
Schelde-estuarium	IV2013070915552934	SH	Struiklaag Hoog	60
Schelde-estuarium	IV2013070915552934	STR	Strooisel	50
Schelde-estuarium	IV2013070915552934	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013070916144167	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013070916144167	MO	Moslaag	7
Schelde-estuarium	IV2013070916144167	SH	Struiklaag Hoog	20
Schelde-estuarium	IV2013070916144167	STR	Strooisel	80
Schelde-estuarium	IV2013070916144167	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013070916324458	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013070916324458	MO	Moslaag	7
Schelde-estuarium	IV2013070916324458	STR	Strooisel	40
Schelde-estuarium	IV2013070916324458	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013070916471964	KH	Kruidlaag Hoog	65
Schelde-estuarium	IV2013070916471964	SH	Struiklaag Hoog	7
Schelde-estuarium	IV2013070916471964	STR	Strooisel	95
Schelde-estuarium	IV2013070916471964	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013071008525294	BH	Boomlaag Hoog	30
Schelde-estuarium	IV2013071008525294	KH	Kruidlaag Hoog	7
Schelde-estuarium	IV2013071008525294	SH	Struiklaag Hoog	50
Schelde-estuarium	IV2013071008525294	STR	Strooisel	10
Schelde-estuarium	IV2013071008525294	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013071009032879	KH	Kruidlaag Hoog	80
Schelde-estuarium	IV2013071009032879	SH	Struiklaag Hoog	1
Schelde-estuarium	IV2013071009032879	STR	Strooisel	100
Schelde-estuarium	IV2013071009032879	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013071009144800	KH	Kruidlaag Hoog	15
Schelde-estuarium	IV2013071009144800	MO	Moslaag	1
Schelde-estuarium	IV2013071009144800	SH	Struiklaag Hoog	75
Schelde-estuarium	IV2013071009144800	STR	Strooisel	80
Schelde-estuarium	IV2013071009144800	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071009451568	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013071009451568	MO	Moslaag	2
Schelde-estuarium	IV2013071009451568	SH	Struiklaag Hoog	2
Schelde-estuarium	IV2013071009451568	STR	Strooisel	80
Schelde-estuarium	IV2013071009451568	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013071009494357	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013071009494357	STR	Strooisel	30
Schelde-estuarium	IV2013071009494357	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071009551923	KH	Kruidlaag Hoog	85
Schelde-estuarium	IV2013071009551923	SH	Struiklaag Hoog	15
Schelde-estuarium	IV2013071009551923	STR	Strooisel	50
Schelde-estuarium	IV2013071009551923	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013071010013505	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013071010013505	STR	Strooisel	60
Schelde-estuarium	IV2013071010013505	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071010194558	KH	Kruidlaag Hoog	2
Schelde-estuarium	IV2013071010194558	SH	Struiklaag Hoog	65
Schelde-estuarium	IV2013071010194558	STR	Strooisel	70
Schelde-estuarium	IV2013071010194558	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013071010285193	KH	Kruidlaag Hoog	75
Schelde-estuarium	IV2013071010285193	SH	Struiklaag Hoog	50
Schelde-estuarium	IV2013071010285193	STR	Strooisel	15
Schelde-estuarium	IV2013071010285193	TOT	Bedekking Totaal	75
Schelde-estuarium	IV2013071010382546	KH	Kruidlaag Hoog	10
Schelde-estuarium	IV2013071010382546	SH	Struiklaag Hoog	75
Schelde-estuarium	IV2013071010382546	STR	Strooisel	20
Schelde-estuarium	IV2013071010382546	TOT	Bedekking Totaal	90
Schelde-estuarium	IV2013071010463791	KH	Kruidlaag Hoog	85
Schelde-estuarium	IV2013071010463791	SH	Struiklaag Hoog	20
Schelde-estuarium	IV2013071010463791	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013071010533661	KH	Kruidlaag Hoog	1
Schelde-estuarium	IV2013071010533661	STR	Strooisel	1
Schelde-estuarium	IV2013071010533661	TOT	Bedekking Totaal	1
Schelde-estuarium	IV2013071011023143	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013071011023143	SH	Struiklaag Hoog	2
Schelde-estuarium	IV2013071011023143	STR	Strooisel	30
Schelde-estuarium	IV2013071011023143	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013071011202189	KH	Kruidlaag Hoog	75
Schelde-estuarium	IV2013071011202189	SH	Struiklaag Hoog	40
Schelde-estuarium	IV2013071011202189	STR	Strooisel	75
Schelde-estuarium	IV2013071011202189	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071011353079	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013071011353079	STR	Strooisel	10
Schelde-estuarium	IV2013071011353079	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013071011522912	AL	Algenlaag	3
Schelde-estuarium	IV2013071011522912	KH	Kruidlaag Hoog	7
Schelde-estuarium	IV2013071011522912	SH	Struiklaag Hoog	30
Schelde-estuarium	IV2013071011522912	STR	Strooisel	5
Schelde-estuarium	IV2013071011522912	TOT	Bedekking Totaal	35
Schelde-estuarium	IV2013071012020294	KH	Kruidlaag Hoog	70
Schelde-estuarium	IV2013071012020294	SH	Struiklaag Hoog	60
Schelde-estuarium	IV2013071012020294	STR	Strooisel	75
Schelde-estuarium	IV2013071012020294	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071012400956	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013071012400956	STR	Strooisel	75
Schelde-estuarium	IV2013071012400956	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071012545945	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013071012545945	STR	Strooisel	80
Schelde-estuarium	IV2013071012545945	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013071013072883	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013071013072883	MO	Moslaag	1
Schelde-estuarium	IV2013071013072883	STR	Strooisel	60
Schelde-estuarium	IV2013071013072883	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013071013441062	BH	Boomlaag Hoog	1
Schelde-estuarium	IV2013071013441062	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013071013441062	STR	Strooisel	50
Schelde-estuarium	IV2013071013441062	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013071013504000	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013071013504000	SH	Struiklaag Hoog	10
Schelde-estuarium	IV2013071013504000	STR	Strooisel	30
Schelde-estuarium	IV2013071013504000	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071013592480	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013071013592480	STR	Strooisel	40
Schelde-estuarium	IV2013071013592480	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071014064798	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013071014064798	STR	Strooisel	40
Schelde-estuarium	IV2013071014064798	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071014141859	KH	Kruidlaag Hoog	99
Schelde-estuarium	IV2013071014141859	STR	Strooisel	60
Schelde-estuarium	IV2013071014141859	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071014234988	BH	Boomlaag Hoog	70
Schelde-estuarium	IV2013071014234988	KH	Kruidlaag Hoog	30
Schelde-estuarium	IV2013071014234988	MO	Moslaag	1
Schelde-estuarium	IV2013071014234988	SH	Struiklaag Hoog	15
Schelde-estuarium	IV2013071014234988	STR	Strooisel	70
Schelde-estuarium	IV2013071014234988	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071014342669	BH	Boomlaag Hoog	45
Schelde-estuarium	IV2013071014342669	KH	Kruidlaag Hoog	60
Schelde-estuarium	IV2013071014342669	MO	Moslaag	10
Schelde-estuarium	IV2013071014342669	SH	Struiklaag Hoog	15
Schelde-estuarium	IV2013071014342669	STR	Strooisel	50
Schelde-estuarium	IV2013071014342669	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071014521991	KH	Kruidlaag Hoog	60
Schelde-estuarium	IV2013071014521991	MO	Moslaag	1
Schelde-estuarium	IV2013071014521991	SH	Struiklaag Hoog	65
Schelde-estuarium	IV2013071014521991	STR	Strooisel	70
Schelde-estuarium	IV2013071014521991	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071015035913	BH	Boomlaag Hoog	65
Schelde-estuarium	IV2013071015035913	KH	Kruidlaag Hoog	60
Schelde-estuarium	IV2013071015035913	MO	Moslaag	1
Schelde-estuarium	IV2013071015035913	SH	Struiklaag Hoog	5
Schelde-estuarium	IV2013071015035913	STR	Strooisel	70
Schelde-estuarium	IV2013071015035913	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071015123659	AL	Algenlaag	1
Schelde-estuarium	IV2013071015123659	BH	Boomlaag Hoog	45
Schelde-estuarium	IV2013071015123659	KH	Kruidlaag Hoog	50
Schelde-estuarium	IV2013071015123659	MO	Moslaag	1
Schelde-estuarium	IV2013071015123659	SH	Struiklaag Hoog	35
Schelde-estuarium	IV2013071015123659	STR	Strooisel	45
Schelde-estuarium	IV2013071015123659	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013071015181050	AL	Algenlaag	1
Schelde-estuarium	IV2013071015181050	KH	Kruidlaag Hoog	65
Schelde-estuarium	IV2013071015181050	STR	Strooisel	50
Schelde-estuarium	IV2013071015181050	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013071015250236	KH	Kruidlaag Hoog	25
Schelde-estuarium	IV2013071015250236	MO	Moslaag	1
Schelde-estuarium	IV2013071015250236	SH	Struiklaag Hoog	65
Schelde-estuarium	IV2013071015250236	STR	Strooisel	80
Schelde-estuarium	IV2013071015250236	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013071015342096	AL	Algenlaag	1
Schelde-estuarium	IV2013071015342096	KH	Kruidlaag Hoog	15
Schelde-estuarium	IV2013071015342096	STR	Strooisel	1
Schelde-estuarium	IV2013071015342096	TOT	Bedekking Totaal	15
Schelde-estuarium	IV2013071015395190	AL	Algenlaag	8
Schelde-estuarium	IV2013071015395190	KH	Kruidlaag Hoog	12
Schelde-estuarium	IV2013071015395190	STR	Strooisel	1
Schelde-estuarium	IV2013071015395190	TOT	Bedekking Totaal	20
Schelde-estuarium	IV2013071015425027	AL	Algenlaag	3
Schelde-estuarium	IV2013071015425027	KH	Kruidlaag Hoog	20
Schelde-estuarium	IV2013071015425027	STR	Strooisel	2
Schelde-estuarium	IV2013071015490413	AL	Algenlaag	7
Schelde-estuarium	IV2013071015490413	KH	Kruidlaag Hoog	55
Schelde-estuarium	IV2013071015490413	STR	Strooisel	10
Schelde-estuarium	IV2013071015490413	TOT	Bedekking Totaal	70
Schelde-estuarium	IV2013071015523476	AL	Algenlaag	1
Schelde-estuarium	IV2013071015523476	BH	Boomlaag Hoog	1
Schelde-estuarium	IV2013071015523476	KH	Kruidlaag Hoog	35
Schelde-estuarium	IV2013071015523476	MO	Moslaag	1
Schelde-estuarium	IV2013071015523476	SH	Struiklaag Hoog	50
Schelde-estuarium	IV2013071015523476	STR	Strooisel	75
Schelde-estuarium	IV2013071016060814	BH	Boomlaag Hoog	30
Schelde-estuarium	IV2013071016060814	KH	Kruidlaag Hoog	60
Schelde-estuarium	IV2013071016060814	MO	Moslaag	2
Schelde-estuarium	IV2013071016060814	SH	Struiklaag Hoog	4
Schelde-estuarium	IV2013071016060814	STR	Strooisel	70
Schelde-estuarium	IV2013071016060814	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013071016223985	AL	Algenlaag	8
Schelde-estuarium	IV2013071016223985	KH	Kruidlaag Hoog	7
Schelde-estuarium	IV2013071016223985	STR	Strooisel	5
Schelde-estuarium	IV2013071016223985	TOT	Bedekking Totaal	15
Schelde-estuarium	IV2013071208481348	AL	Algenlaag	1
Schelde-estuarium	IV2013071208481348	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013071208481348	STR	Strooisel	30
Schelde-estuarium	IV2013071208481348	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013071208582136	KH	Kruidlaag Hoog	80
Schelde-estuarium	IV2013071208582136	STR	Strooisel	10
Schelde-estuarium	IV2013071208582136	TOT	Bedekking Totaal	85
Schelde-estuarium	IV2013071209061777	KH	Kruidlaag Hoog	99
Schelde-estuarium	IV2013071209061777	STR	Strooisel	75
Schelde-estuarium	IV2013071209061777	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071209131251	BH	Boomlaag Hoog	70
Schelde-estuarium	IV2013071209131251	KH	Kruidlaag Hoog	50
Schelde-estuarium	IV2013071209131251	MO	Moslaag	1
Schelde-estuarium	IV2013071209131251	SH	Struiklaag Hoog	4
Schelde-estuarium	IV2013071209131251	STR	Strooisel	70
Schelde-estuarium	IV2013071209131251	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013071209203965	KH	Kruidlaag Hoog	90
Schelde-estuarium	IV2013071209203965	STR	Strooisel	70
Schelde-estuarium	IV2013071209203965	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071209265749	KH	Kruidlaag Hoog	15
Schelde-estuarium	IV2013071209265749	SH	Struiklaag Hoog	65
Schelde-estuarium	IV2013071209265749	STR	Strooisel	75
Schelde-estuarium	IV2013071209265749	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071209335392	AL	Algenlaag	1
Schelde-estuarium	IV2013071209335392	KH	Kruidlaag Hoog	70
Schelde-estuarium	IV2013071209335392	SH	Struiklaag Hoog	35
Schelde-estuarium	IV2013071209335392	STR	Strooisel	70
Schelde-estuarium	IV2013071209335392	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071209382214	KH	Kruidlaag Hoog	99
Schelde-estuarium	IV2013071209382214	STR	Strooisel	40
Schelde-estuarium	IV2013071209382214	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013071209425056	KH	Kruidlaag Hoog	99
Schelde-estuarium	IV2013071209425056	STR	Strooisel	60
Schelde-estuarium	IV2013071209425056	TOT	Bedekking Totaal	100
Schelde-estuarium	IV2013071209463478	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013071209463478	STR	Strooisel	50
Schelde-estuarium	IV2013071209463478	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071209553762	AL	Algenlaag	1
Schelde-estuarium	IV2013071209553762	KH	Kruidlaag Hoog	75
Schelde-estuarium	IV2013071209553762	STR	Strooisel	40
Schelde-estuarium	IV2013071209553762	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013071210005438	BH	Boomlaag Hoog	2
Schelde-estuarium	IV2013071210005438	KH	Kruidlaag Hoog	95
Schelde-estuarium	IV2013071210005438	STR	Strooisel	40
Schelde-estuarium	IV2013071210005438	TOT	Bedekking Totaal	99
Schelde-estuarium	IV2013071210080423	KH	Kruidlaag Hoog	5
Schelde-estuarium	IV2013071210080423	MO	Moslaag	1
Schelde-estuarium	IV2013071210080423	SH	Struiklaag Hoog	70
Schelde-estuarium	IV2013071210080423	STR	Strooisel	75
Schelde-estuarium	IV2013071210080423	TOT	Bedekking Totaal	95
Schelde-estuarium	IV2013071210223587	KH	Kruidlaag Hoog	30
Schelde-estuarium	IV2013071210223587	MO	Moslaag	1
