survey	recording_givid	plot_id
Schelde-estuarium	IV2013071211463307	-9
Schelde-estuarium	IV2013071211495143	-9
Schelde-estuarium	IV2013071211542383	-9
Schelde-estuarium	IV2013071212001116	-9
Schelde-estuarium	IV2013071212024959	-9
Schelde-estuarium	IV2013071212071215	-9
Schelde-estuarium	IV2013071212093964	-9
Schelde-estuarium	IV2013071212162404	-9
Schelde-estuarium	IV2013071212214188	-9
Schelde-estuarium	IV2013071212252337	-9
Schelde-estuarium	IV2013071212295962	-9
Schelde-estuarium	IV2013071212440701	-9
Schelde-estuarium	IV2013071212482673	-9
Schelde-estuarium	IV2013071212524520	-9
Schelde-estuarium	IV2013071212583915	-9
Schelde-estuarium	IV2013071213084332	-9
Schelde-estuarium	IV2013071213510269	-9
Schelde-estuarium	IV2013071213523496	-9
Schelde-estuarium	IV2013071213585406	-9
Schelde-estuarium	IV2013071214031440	-9
Schelde-estuarium	IV2013071214055359	-9
Schelde-estuarium	IV2013071214090049	-9
Schelde-estuarium	IV2013071214110851	-9
Schelde-estuarium	IV2013071214142019	-9
Schelde-estuarium	IV2013071214240759	-9
Schelde-estuarium	IV2013071214332415	-9
Schelde-estuarium	IV2013071214385494	-9
Schelde-estuarium	IV2013071214450653	-9
Schelde-estuarium	IV2013071214502325	-9
Schelde-estuarium	IV2013071214552444	-9
Schelde-estuarium	IV2013071215005202	-9
Schelde-estuarium	IV2013101411571056	ZSCPQ303
Schelde-estuarium	IV2013101412094567	ZSCPQ304
Schelde-estuarium	IV2013101412124411	ZSCPQ305
Schelde-estuarium	IV2013101412215753	ZSCPQ306
Schelde-estuarium	IV2013101412250708	ZSCPQ307
Schelde-estuarium	IV2013101412274167	ZSCPQ308
Schelde-estuarium	IV2013101412284780	ZSCPQ309
Schelde-estuarium	IV2013101412325096	ZSCPQ310
Schelde-estuarium	IV2013101412334860	ZSCPQ311
Schelde-estuarium	IV2013101412352991	ZSCPQ312
Schelde-estuarium	IV2013101412401740	ZSCPQ313
Schelde-estuarium	IV2013101412450936	ZSCPQ314
Schelde-estuarium	IV2013101412473922	ZSCPQ315
Schelde-estuarium	IV2013101412493639	ZSCPQ316
Schelde-estuarium	IV2013101412510543	ZSCPQ317
Schelde-estuarium	IV2013101412524574	ZSCPQ318
Schelde-estuarium	IV2013101412551687	ZSCPQ319
Schelde-estuarium	IV2013101412563839	ZSCPQ320
Schelde-estuarium	IV2013101412583188	ZSCPQ321
Schelde-estuarium	IV2013101412593895	ZSCPQ322
Schelde-estuarium	IV2013101413012381	ZSCPQ323
Schelde-estuarium	IV2013101413021951	ZSCPQ324
Schelde-estuarium	IV2013101413532478	ZSCPQ325
Schelde-estuarium	IV2013112012335764	ZSCPQ042
Schelde-estuarium	IV2013112013391754	ZSCPQ043
Schelde-estuarium	IV2013112014051359	ZSCPQ044
Schelde-estuarium	IV2013112014075662	ZSCPQ052
Schelde-estuarium	IV2013112014180740	ZSCPQ053
Schelde-estuarium	IV2013112014252162	ZSCPQ054
Schelde-estuarium	IV2013112014321005	ZSCPQ055
Schelde-estuarium	IV2013112015024521	ZSCPQ056
Schelde-estuarium	IV2013112015053253	ZSCPQ057
Schelde-estuarium	IV2013112015410875	ZSCPQ058
Schelde-estuarium	IV2013112015462691	ZSCPQ059
Schelde-estuarium	IV2013112016153156	ZSCPQ142
Schelde-estuarium	IV2013112016223231	ZSCPQ145
Schelde-estuarium	IV2013112510294627	ZSCPQ040
Schelde-estuarium	IV2013112510363066	ZSCPQ041
Schelde-estuarium	IV2013112510372455	ZSCPQ062
Schelde-estuarium	IV2013112510405905	ZSCPQ063
Schelde-estuarium	IV2013112510481962	ZSCPQ139
Schelde-estuarium	IV2013112510491349	ZSCPQ140
Schelde-estuarium	IV2013112511065032	ZSCPQ144
Schelde-estuarium	IV2013112511473957	ZSCPQ035
Schelde-estuarium	IV2013112512071698	ZSCPQ036
Schelde-estuarium	IV2013112512115854	ZSCPQ037
Schelde-estuarium	IV2013112512142675	ZSCPQ038
Schelde-estuarium	IV2013112512233871	ZSCPQ064
Schelde-estuarium	IV2013112512261571	ZSCPQ065
Schelde-estuarium	IV2013112512333257	ZSCPQ066
Schelde-estuarium	IV2013112512441623	ZSCPQ067
Schelde-estuarium	IV2013112513461255	ZSCPQ068
Schelde-estuarium	IV2013112513515000	ZSCPQ069
Schelde-estuarium	IV2013112513523945	ZSCPQ060
Schelde-estuarium	IV2013112513553865	ZSCPQ146
Schelde-estuarium	IV2013112514102708	ZSCPQ147
Schelde-estuarium	IV2013112514145313	ZSCPQ148
Schelde-estuarium	IV2013112514191156	ZSCPQ151
Schelde-estuarium	IV2013112514444162	ZSCPQ152
Schelde-estuarium	IV2013112514541496	ZSCPQ153
Schelde-estuarium	IV2013112609280574	ZSCPQ033
Schelde-estuarium	IV2013112609322182	ZSCPQ110
Schelde-estuarium	IV2013112609331731	ZSCPQ111
Schelde-estuarium	IV2013112609404978	ZSCPQ112
Schelde-estuarium	IV2013112609480584	ZSCPQ154
Schelde-estuarium	IV2013112609491469	ZSCPQ156
Schelde-estuarium	IV2013112609561530	ZSCPQ030
Schelde-estuarium	IV2013112610013249	ZSCPQ031
Schelde-estuarium	IV2013112610022030	ZSCPQ046
Schelde-estuarium	IV2013112610235133	ZSCPQ032
Schelde-estuarium	IV2013112610251632	ZSCPQ082
Schelde-estuarium	IV2013112610383561	ZSCPQ135
Schelde-estuarium	IV2013112610432260	ZSCPQ137
Schelde-estuarium	IV2013112610573981	ZSCPQ138
Schelde-estuarium	IV2013112611030930	ZSCPQ027
Schelde-estuarium	IV2013112611060545	ZSCPQ028
Schelde-estuarium	IV2013112611085932	ZSCPQ029
Schelde-estuarium	IV2013112611103422	ZSCPQ113
Schelde-estuarium	IV2013112611191782	ZSCPQ149
Schelde-estuarium	IV2013112611250722	ZSCPQ150
Schelde-estuarium	IV2013112611275829	ZSCPQ048
Schelde-estuarium	IV2013112611341089	ZSCPQ070
Schelde-estuarium	IV2013112611393012	ZSCPQ071
Schelde-estuarium	IV2013112611425997	ZSCPQ072
Schelde-estuarium	IV2013112611500028	ZSCPQ073
Schelde-estuarium	IV2013112612101728	ZSCPQ131
Schelde-estuarium	IV2013112612143161	ZSCPQ026
Schelde-estuarium	IV2013112612190184	ZSCPQ127
Schelde-estuarium	IV2013112613395719	ZSCPQ074
Schelde-estuarium	IV2013112613444646	ZSCPQ075
Schelde-estuarium	IV2013112613475490	ZSCPQ128
Schelde-estuarium	IV2013112613564882	ZSCPQ129
Schelde-estuarium	IV2013112614015766	ZSCPQ130
Schelde-estuarium	IV2013112614073039	ZSCPQ076
Schelde-estuarium	IV2013112614213417	ZSCPQ077
Schelde-estuarium	IV2013112614272393	ZSCPQ078
Schelde-estuarium	IV2013112614303559	ZSCPQ079
Schelde-estuarium	IV2013112614402687	ZSCPQ080
Schelde-estuarium	IV2013112614581682	ZSCPQ081
Schelde-estuarium	IV2013112615285945	ZSCPQ120
Schelde-estuarium	IV2013112615371071	ZSCPQ134
Schelde-estuarium	IV2013112615405050	ZSCPQ020
Schelde-estuarium	IV2013112615435258	ZSCPQ021
Schelde-estuarium	IV2013112615470467	ZSCPQ022
Schelde-estuarium	IV2013112615501425	ZSCPQ084
Schelde-estuarium	IV2013112615563116	ZSCPQ119
Schelde-estuarium	IV2013112616044360	ZSCPQ124
Schelde-estuarium	IV2013112616175459	ZSCPQ125
Schelde-estuarium	IV2013112616275443	ZSCPQ126
Schelde-estuarium	IV2013112616312688	ZSCPQ018
Schelde-estuarium	IV2013112616363447	ZSCPQ085
Schelde-estuarium	IV2013112616434309	ZSCPQ086
Schelde-estuarium	IV2013112709543246	ZSCPQ121
Schelde-estuarium	IV2013112710155983	ZSCPQ122
Schelde-estuarium	IV2013112710235801	ZSCPQ123
Schelde-estuarium	IV2013112710275738	ZSCPQ019
Schelde-estuarium	IV2013112710315313	ZSCPQ017
Schelde-estuarium	IV2013112710354150	ZSCPQ105
Schelde-estuarium	IV2013112710392628	ZSCPQ106
Schelde-estuarium	IV2013112710450901	ZSCPQ107
Schelde-estuarium	IV2013112711164443	ZSCPQ108
Schelde-estuarium	IV2013112711223774	ZSCPQ023
Schelde-estuarium	IV2013112711253147	ZSCPQ025
Schelde-estuarium	IV2013112711302429	ZSCPQ220
Schelde-estuarium	IV2013112711363764	ZSCPQ221
Schelde-estuarium	IV2013112711401629	ZSCPQ101
Schelde-estuarium	IV2013112711431776	ZSCPQ104
Schelde-estuarium	IV2013112711470531	ZSCPQ117
Schelde-estuarium	IV2013112711495206	ZSCPQ091
Schelde-estuarium	IV2013112711524267	ZSCPQ092
Schelde-estuarium	IV2013112711560567	ZSCPQ093
Schelde-estuarium	IV2013112711590375	ZSCPQ094
Schelde-estuarium	IV2013112712015253	ZSCPQ099
Schelde-estuarium	IV2013112712071867	ZSCPQ100
Schelde-estuarium	IV2013112712145634	ZSCPQ115
Schelde-estuarium	IV2013112712184505	ZSCPQ116
Schelde-estuarium	IV2013112714174816	ZSCPQ014
Schelde-estuarium	IV2013112714210149	ZSCPQ087
Schelde-estuarium	IV2013112714241387	ZSCPQ088
Schelde-estuarium	IV2013112714303640	ZSCPQ089
Schelde-estuarium	IV2013112714331913	ZSCPQ090
Schelde-estuarium	IV2013112714354557	ZSCPQ273
Schelde-estuarium	IV2013112714384332	ZSCPQ274
Schelde-estuarium	IV2013112714403448	ZSCPQ275
Schelde-estuarium	IV2013112714513426	ZSCPQ276
Schelde-estuarium	IV2013112714553235	ZSCPQ277
Schelde-estuarium	IV2013112714593329	ZSCPQ278
Schelde-estuarium	IV2013112715024820	ZSCPQ279
Schelde-estuarium	IV2013112715041216	ZSCPQ280
Schelde-estuarium	IV2014011314391446	ZSCPQ281
Schelde-estuarium	IV2014011314452030	ZSCPQ282
Schelde-estuarium	IV2014011314475087	ZSCPQ283
Schelde-estuarium	IV2014011314530019	ZSCPQ284
Schelde-estuarium	IV2014011315021084	ZSCPQ285
Schelde-estuarium	IV2014011315053247	ZSCPQ302
Schelde-estuarium	IV2014011315360763	ZSCPQ222
Schelde-estuarium	IV2014011315372289	ZSCPQ223
Schelde-estuarium	IV2014011315384726	ZSCPQ224
Schelde-estuarium	IV2014011315404492	ZSCPQ225
Schelde-estuarium	IV2014011315422151	ZSCPQ226
Schelde-estuarium	IV2014011315450812	ZSCPQ227
Schelde-estuarium	IV2014011315462331	ZSCPQ228
Schelde-estuarium	IV2014011315505423	ZSCPQ230
Schelde-estuarium	IV2014011315521025	ZSCPQ229
Schelde-estuarium	IV2014011315563664	ZSCPQ233
Schelde-estuarium	IV2014011316053103	ZSCPQ234
Schelde-estuarium	IV2014011316064931	ZSCPQ235
Schelde-estuarium	IV2014011316074877	ZSCPQ236
Schelde-estuarium	IV2014011316090521	ZSCPQ237
Schelde-estuarium	IV2014011316101134	ZSCPQ238
Schelde-estuarium	IV2014011316111663	ZSCPQ239
Schelde-estuarium	IV2014011316134838	ZSCPQ240
Schelde-estuarium	IV2014011316163049	ZSCPQ241
Schelde-estuarium	IV2014011316205332	ZSCPQ242
Schelde-estuarium	IV2014011316224635	ZSCPQ243
Schelde-estuarium	IV2014011316270681	ZSCPQ244
Schelde-estuarium	IV2014011316461461	ZSCPQ245
Schelde-estuarium	IV2014011316471949	ZSCPQ249
Schelde-estuarium	IV2014011316483217	ZSCPQ250
Schelde-estuarium	IV2014011316495336	ZSCPQ251
Schelde-estuarium	IV2014011316535054	ZSCPQ009
Schelde-estuarium	IV2014011317014960	ZSCPQ246
Schelde-estuarium	IV2014011317033027	ZSCPQ247
Schelde-estuarium	IV2014011317063744	ZSCPQ248
Schelde-estuarium	IV2014011317082847	ZSCPQ252
Schelde-estuarium	IV2014011510153321	ZSCPQ253
Schelde-estuarium	IV2014011510173858	ZSCPQ254
Schelde-estuarium	IV2014011510190120	ZSCPQ255
Schelde-estuarium	IV2014011510205166	ZSCPQ256
Schelde-estuarium	IV2014011510223269	ZSCPQ257
Schelde-estuarium	IV2014011510244883	ZSCPQ258
Schelde-estuarium	IV2014011510255623	ZSCPQ259
Schelde-estuarium	IV2014011510285229	ZSCPQ003
Schelde-estuarium	IV2014022511574681	ZSCPQ192
Schelde-estuarium	IV2014022512005570	ZSCPQ193
Schelde-estuarium	IV2014022512030033	ZSCPQ194
Schelde-estuarium	IV2014022512060363	ZSCPQ195
Schelde-estuarium	IV2014022512084607	ZSCPQ196
Schelde-estuarium	IV2014022513333006	ZSCPQ197
Schelde-estuarium	IV2014030311132985	ZSCPQ198
Schelde-estuarium	IV2014030311151333	ZSCPQ199
Schelde-estuarium	IV2014030311211704	ZSCPQ200
Schelde-estuarium	IV2014030311263430	ZSCPQ201
Schelde-estuarium	IV2014030311283135	ZSCPQ203
Schelde-estuarium	IV2014030312250246	ZSCPQ158
Schelde-estuarium	IV2014030312272058	ZSCPQ159
Schelde-estuarium	IV2014030312294301	ZSCPQ160
Schelde-estuarium	IV2014030314285663	ZSCPQ161
Schelde-estuarium	IV2014030314313598	ZSCPQ162
Schelde-estuarium	IV2014030314334724	ZSCPQ007
Schelde-estuarium	IV2014030314371379	ZSCPQ008
Schelde-estuarium	IV2014030314392874	ZSCPQ184
Schelde-estuarium	IV2014030314421473	ZSCPQ185
Schelde-estuarium	IV2014030314594355	ZSCPQ186
Schelde-estuarium	IV2014030315011263	ZSCPQ187
Schelde-estuarium	IV2014030315031995	ZSCPQ188
Schelde-estuarium	IV2014030315124036	ZSCPQ189
Schelde-estuarium	IV2014030315161557	ZSCPQ190
Schelde-estuarium	IV2014030317013833	ZSCPQ006
Schelde-estuarium	IV2014030317034587	ZSCPQ164
Schelde-estuarium	IV2014030409582414	ZSCPQ165
Schelde-estuarium	IV2014030410011682	ZSCPQ166
Schelde-estuarium	IV2014030410033210	ZSCPQ167
Schelde-estuarium	IV2014030410074586	ZSCPQ168
Schelde-estuarium	IV2014030410092819	ZSCPQ169
Schelde-estuarium	IV2014030410112373	ZSCPQ170
Schelde-estuarium	IV2014030410161165	ZSCPQ171
Schelde-estuarium	IV2014030411101491	ZSCPQ176
Schelde-estuarium	IV2014030411130087	ZSCPQ177
Schelde-estuarium	IV2014030411161844	ZSCPQ178
Schelde-estuarium	IV2014030411195942	ZSCPQ179
Schelde-estuarium	IV2014030411215613	ZSCPQ172
Schelde-estuarium	IV2014030411242385	ZSCPQ173
Schelde-estuarium	IV2014030411281773	ZSCPQ174
Schelde-estuarium	IV2014030411305777	ZSCPQ175
Schelde-estuarium	IV2014030411342143	ZSCPQ180
Schelde-estuarium	IV2014030411471814	ZSCPQ181
Schelde-estuarium	IV2014030411513397	ZSCPQ182
Schelde-estuarium	IV2014030411544520	ZSCPQ183
Schelde-estuarium	IV2014033112434570	ZSCPQ286
Schelde-estuarium	IV2014033112474265	ZSCPQ287
Schelde-estuarium	IV2014033112513487	ZSCPQ289
Schelde-estuarium	IV2014033114115274	ZSCPQ288
Schelde-estuarium	IV2014033114210259	ZSCPQ290
Schelde-estuarium	IV2014033116170940	ZSCPQ291
Schelde-estuarium	IV2014033116265963	ZSCPQ292
Schelde-estuarium	IV2014033117235496	ZSCPQ293
Schelde-estuarium	IV2014060413361667	ZSCPQ231
Schelde-estuarium	IV2014060413400162	ZSCPQ232
Schelde-estuarium	IV2014061809353697	ZSCPQ294
Schelde-estuarium	IV2014061809390656	ZSCPQ295
Schelde-estuarium	IV2014061910205811	ZSCPQ296
Schelde-estuarium	IV2014061910495501	ZSCPQ297
Schelde-estuarium	IV2014062012014346	ZSCPQ301
Schelde-estuarium	IV2014062012102363	ZSCPQ300
Schelde-estuarium	IV2014062012212019	ZSCPQ299
Schelde-estuarium	IV2014062012262379	ZSCPQ298
Schelde-estuarium	IV2014062409483411	ZSCPQ260
Schelde-estuarium	IV2014062410045802	ZSCPQ261
Schelde-estuarium	IV2014062416344139	ZSCPQ262
Schelde-estuarium	IV2014062416371489	ZSCPQ263
Schelde-estuarium	IV2014062416401991	ZSCPQ268
Schelde-estuarium	IV2014062416464573	ZSCPQ267
Schelde-estuarium	IV2014062416484382	ZSCPQ266
Schelde-estuarium	IV2014062416581286	ZSCPQ265
Schelde-estuarium	IV2014062417020824	ZSCPQ264
Schelde-estuarium	IV2014062510105682	ZSCPQ269
Schelde-estuarium	IV2014062510185815	ZSCPQ270
Schelde-estuarium	IV2014062510223324	ZSCPQ271
Schelde-estuarium	IV2014062510253598	ZSCPQ272
Schelde-estuarium	IV2014092313550462	ZSCPQ155
Schelde-estuarium	IV2014092314083739	ZSCPQ119
Schelde-estuarium	IV2014092314330438	ZSCPQ083
Schelde-estuarium	IV2014092314520483	ZSCPQ084
Schelde-estuarium	IV2014092315052470	ZSCPQ085
Schelde-estuarium	IV2014092315165038	ZSCPQ086
Schelde-estuarium	IV2014092315482236	ZSCPQ121
Schelde-estuarium	IV2014092316054851	ZSCPQ122
Schelde-estuarium	IV2014092316251615	ZSCPQ052
Schelde-estuarium	IV2014092316355716	ZSCPQ053
Schelde-estuarium	IV2014092508532954	ZSCPQ054
Schelde-estuarium	IV2014092509122751	ZSCPQ055
Schelde-estuarium	IV2014092509194459	ZSCPQ056
Schelde-estuarium	IV2014092509315410	ZSCPQ057
Schelde-estuarium	IV2014092510000741	ZSCPQ058
Schelde-estuarium	IV2014092510131574	ZSCPQ059
Schelde-estuarium	IV2014092510170634	ZSCPQ060
Schelde-estuarium	IV2014092510293231	ZSCPQ061
Schelde-estuarium	IV2014092510442212	ZSCPQ062
Schelde-estuarium	IV2014092510560513	ZSCPQ063
Schelde-estuarium	IV2014092511064181	ZSCPQ064
Schelde-estuarium	IV2014092511313959	ZSCPQ065
Schelde-estuarium	IV2014092511400109	ZSCPQ066
Schelde-estuarium	IV2014092511554745	ZSCPQ067
Schelde-estuarium	IV2014092908495556	ZSCPQ068
Schelde-estuarium	IV2014092908560726	ZSCPQ069
Schelde-estuarium	IV2014092909132443	ZSCPQ070
Schelde-estuarium	IV2014092909265572	ZSCPQ071
Schelde-estuarium	IV2014092909372128	ZSCPQ072
Schelde-estuarium	IV2014092909493634	ZSCPQ073
Schelde-estuarium	IV2014092910023849	ZSCPQ074
Schelde-estuarium	IV2014092910130505	ZSCPQ075
Schelde-estuarium	IV2014092910241882	ZSCPQ076
Schelde-estuarium	IV2014092910445804	ZSCPQ077
Schelde-estuarium	IV2014092910531715	ZSCPQ078
Schelde-estuarium	IV2014092911050471	ZSCPQ079
Schelde-estuarium	IV2014092911153994	ZSCPQ080
Schelde-estuarium	IV2014092911234904	ZSCPQ081
Schelde-estuarium	IV2014092911422470	ZSCPQ082
Schelde-estuarium	IV2014092911534697	ZSCPQ087
Schelde-estuarium	IV2014092913362040	ZSCPQ088
Schelde-estuarium	IV2014092914041017	ZSCPQ089
Schelde-estuarium	IV2014092914193315	ZSCPQ090
Schelde-estuarium	IV2014092914334935	ZSCPQ091
Schelde-estuarium	IV2014092915061501	ZSCPQ092
Schelde-estuarium	IV2014092915222840	ZSCPQ093
Schelde-estuarium	IV2014092915530638	ZSCPQ094
Schelde-estuarium	IV2014092916075303	ZSCPQ095
Schelde-estuarium	IV2014092916194215	ZSCPQ096
Schelde-estuarium	IV2014092916371366	ZSCPQ097
Schelde-estuarium	IV2014093008545189	ZSCPQ098
Schelde-estuarium	IV2014093009020874	ZSCPQ099
Schelde-estuarium	IV2014093009122383	ZSCPQ100
Schelde-estuarium	IV2014093009223042	ZSCPQ101
Schelde-estuarium	IV2014093009361995	ZSCPQ102
Schelde-estuarium	IV2014093009544598	ZSCPQ103
Schelde-estuarium	IV2014093010051040	ZSCPQ104
Schelde-estuarium	IV2014093010193856	ZSCPQ105
Schelde-estuarium	IV2014093010232357	ZSCPQ106
Schelde-estuarium	IV2014093010361888	ZSCPQ107
Schelde-estuarium	IV2014093011023285	ZSCPQ108
Schelde-estuarium	IV2014093011073097	ZSCPQ109
Schelde-estuarium	IV2014093011164642	ZSCPQ110
Schelde-estuarium	IV2014093011263982	ZSCPQ111
Schelde-estuarium	IV2014093011432533	ZSCPQ112
Schelde-estuarium	IV2014093011513937	ZSCPQ113
Schelde-estuarium	IV2014093013133269	ZSCPQ114
Schelde-estuarium	IV2014093013451039	ZSCPQ115
Schelde-estuarium	IV2014093014105585	ZSCPQ116
Schelde-estuarium	IV2014093014234959	ZSCPQ117
Schelde-estuarium	IV2014093014381720	ZSCPQ118
Schelde-estuarium	IV2014093015031050	ZSCPQ120
Schelde-estuarium	IV2014093015235050	ZSCPQ123
Schelde-estuarium	IV2014093015403871	ZSCPQ124
Schelde-estuarium	IV2014093016085893	ZSCPQ125
Schelde-estuarium	IV2014093016274790	ZSCPQ126
Schelde-estuarium	IV2014093016433867	ZSCPQ127
Schelde-estuarium	IV2014100209045929	ZSCPQ128
Schelde-estuarium	IV2014100209272864	ZSCPQ129
Schelde-estuarium	IV2014100209440695	ZSCPQ130
Schelde-estuarium	IV2014100210040529	ZSCPQ131
Schelde-estuarium	IV2014100210181517	ZSCPQ132
Schelde-estuarium	IV2014100210295441	ZSCPQ133
Schelde-estuarium	IV2014100211230864	ZSCPQ134
Schelde-estuarium	IV2014100211365571	ZSCPQ135
Schelde-estuarium	IV2014100211514971	ZSCPQ136
Schelde-estuarium	IV2014100212054626	ZSCPQ137
Schelde-estuarium	IV2014100608450655	ZSCPQ138
Schelde-estuarium	IV2014100608563115	ZSCPQ139
Schelde-estuarium	IV2014100609195535	ZSCPQ140
