ID	record_id	plot_type	Criterium	Indicator	Voorwaarde	Waarde	Type	Invoertype	Eenheid
10038833_2120_2019-10-23	IV2020031620082049	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	1.66666666666667	Percentage	NA	%
10038833_2120_2019-10-23	IV2020031619445734	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10038833_2120_2019-10-23	IV2020031620082049	square	Verstoring	vergrassing	bedekking vergrassing	18.1666666666667	Percentage	NA	%
10038833_2120_2019-10-23	IV2020031620082049	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10038833_2120_2019-10-23	IV2020031620082049	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10038833_2120_2019-10-23	IV2020031619445734	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10057905_2023-08-14	IV2023090510341863	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	5.92	Percentage	NA	%
10057905_2120_2019-10-25	IV2020031620313711	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10057905_2120_2019-10-25	IV2020031620313711	square	Verstoring	exoten	bedekking overige exoten	20	Percentage	NA	%
10057905_2120_2019-10-25	IV2020031620255092	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10057905_2120_2019-10-25	IV2020031620313711	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	80	Percentage	NA	%
10057905_2120_2019-10-25	IV2020031620255092	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10057905_2120_2019-10-25	IV2020031620313711	square	Verstoring	vergrassing	bedekking vergrassing	100	Percentage	NA	%
10057905_2120_2019-10-25	IV2020031620313711	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10057905_2120_2019-10-25	IV2020031620313711	square	Structuur	horizontale structuur	fijnmazige afwisseling	0	Ja/nee	NA	NA
10057905_2120_2019-10-25	IV2020031620255092	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10057905_2130_hd_2019-10-24	IV2020040710495029	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	4.96000000000001	Percentage	NA	%
10071601_2023-08-31	IV2023090510343153	square	Structuur	(korst)moslaag	bedekking alle mossen	36.3636363636364	Percentage	NA	%
10071601_2023-08-31	IV2023090510343153	square	Verstoring	exoten	bedekking overige exoten	7.27272727272727	Percentage	NA	%
10071601_2023-08-31	IV2023090510343153	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10071601_2023-08-31	IV2023090510343153	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	17.5206330181818	Percentage	NA	%
10071601_2023-08-31	IV2023090510343153	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10071601_2023-08-31	IV2023090510343153	square	Verstoring	vergrassing	bedekking vergrassing	17.5890618181818	Percentage	NA	%
10071601_2023-08-31	IV2023090510343153	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10071601_2023-08-31	IV2023090510343153	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10071601_2023-08-31	IV2023090510343153	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10071601_2120_2019-10-23	IV2020031619093265	square	Structuur	(korst)moslaag	bedekking alle mossen	33.3333333333333	Percentage	NA	%
10071601_2120_2019-10-23	IV2020031619093265	square	Verstoring	exoten	bedekking overige exoten	6.66666666666667	Percentage	NA	%
10071601_2120_2019-10-23	IV2020031619030019	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10071601_2120_2019-10-23	IV2020031619093265	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	41.2488021333333	Percentage	NA	%
10071601_2120_2019-10-23	IV2020031619030019	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10071601_2120_2019-10-23	IV2020031619093265	square	Verstoring	vergrassing	bedekking vergrassing	45.3333333333333	Percentage	NA	%
10071601_2120_2019-10-23	IV2020031619093265	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10071601_2120_2019-10-23	IV2020031619093265	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10071601_2120_2019-10-23	IV2020031619030019	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10082417_2023-08-07	IV2023090510342463	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	23.2448979591837	Percentage	NA	%
10082417_2130_hd_2019-10-18	IV2020032606512028	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	2.01010101010101	Percentage	NA	%
10082997_2023-09-04	IV2023090510342225	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	5	Percentage	NA	%
10082997_2130_hd_2019-10-14	IV2020041014580548	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	1.05263157894737	Percentage	NA	%
1009077_2023-08-02	IV2023090510340485	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
1009077_2023-08-02	IV2023090510340485	square	Verstoring	exoten	bedekking overige exoten	7.27272727272727	Percentage	NA	%
1009077_2023-08-02	IV2023090510340485	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
1009077_2023-08-02	IV2023090510340485	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	14.2545454545455	Percentage	NA	%
1009077_2023-08-02	IV2023090510340485	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
1009077_2023-08-02	IV2023090510340485	square	Verstoring	vergrassing	bedekking vergrassing	14.2545454545455	Percentage	NA	%
1009077_2023-08-02	IV2023090510340485	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
1009077_2023-08-02	IV2023090510340485	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
1009077_2023-08-02	IV2023090510340485	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
1009077_2120_2019-10-17	IV2020031719541234	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
1009077_2120_2019-10-17	IV2020031719541234	square	Verstoring	exoten	bedekking overige exoten	17.5	Percentage	NA	%
1009077_2120_2019-10-17	IV2020031719500282	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
1009077_2120_2019-10-17	IV2020031719541234	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	9.90000000000003	Percentage	NA	%
1009077_2120_2019-10-17	IV2020031719500282	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
1009077_2120_2019-10-17	IV2020031719541234	square	Verstoring	vergrassing	bedekking vergrassing	9.90000000000003	Percentage	NA	%
1009077_2120_2019-10-17	IV2020031719541234	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
1009077_2120_2019-10-17	IV2020031719541234	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
1009077_2120_2019-10-17	IV2020031719500282	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10102837_2130_hd_2019-10-28	IV2020032607052215	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	18.0701605052632	Percentage	NA	%
10104625_2024-07-04	IV2024070821532795	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	0	Percentage	NA	%
10104625_2130_hd_2019-10-23	IV2020040718364614	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	0	Percentage	NA	%
1011505_2022-09-27	IV2022092720523231	circle	Structuur	horizontale structuur	aantal struweelsoorten	4	Geheel getal	NA	NA
1011505_2022-09-27	IV2022092720523231	circle	Structuur	horizontale structuur	open plekken aanwezig	0.1	Percentage	NA	%
101169_2023-08-16	IV2023090510340710	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	6.06268041237114	Percentage	NA	%
10129201_2023-08-10	IV2023090510340619	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10129201_2023-08-10	IV2023090510340619	square	Verstoring	exoten	bedekking overige exoten	6.15384615384615	Percentage	NA	%
10129201_2023-08-10	IV2023090510340619	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10129201_2023-08-10	IV2023090510340619	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	0	Percentage	NA	%
10129201_2023-08-10	IV2023090510340619	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10129201_2023-08-10	IV2023090510340619	square	Verstoring	vergrassing	bedekking vergrassing	12.2	Percentage	NA	%
10129201_2023-08-10	IV2023090510340619	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10129201_2023-08-10	IV2023090510340619	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10129201_2023-08-10	IV2023090510340619	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10129201_2120_2019-10-21	IV2020031623145130	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10129201_2120_2019-10-21	IV2020031623145130	square	Verstoring	exoten	bedekking overige exoten	2.5	Percentage	NA	%
10129201_2120_2019-10-21	IV2020031623083891	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10129201_2120_2019-10-21	IV2020031623145130	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	1.25	Percentage	NA	%
10129201_2120_2019-10-21	IV2020031623083891	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10129201_2120_2019-10-21	IV2020031623145130	square	Verstoring	vergrassing	bedekking vergrassing	46.25	Percentage	NA	%
10129201_2120_2019-10-21	IV2020031623145130	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10129201_2120_2019-10-21	IV2020031623145130	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10129201_2120_2019-10-21	IV2020031623083891	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10130609_2023-08-30	IV2023090510342621	square	Structuur	(korst)moslaag	bedekking alle mossen	16.6666666666667	Percentage	NA	%
10130609_2023-08-30	IV2023090510342621	square	Verstoring	exoten	bedekking overige exoten	0	Percentage	NA	%
10130609_2023-08-30	IV2023090510342621	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10130609_2023-08-30	IV2023090510342621	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	100	Percentage	NA	%
10130609_2023-08-30	IV2023090510342621	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10130609_2023-08-30	IV2023090510342621	square	Verstoring	vergrassing	bedekking vergrassing	84.4342857142857	Percentage	NA	%
10130609_2023-08-30	IV2023090510342621	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10130609_2023-08-30	IV2023090510342621	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10130609_2023-08-30	IV2023090510342621	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10130609_2120_2019-11-04	IV2020031521074867	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10130609_2120_2019-11-04	IV2020031521074867	square	Verstoring	exoten	bedekking overige exoten	10	Percentage	NA	%
10130609_2120_2019-11-04	IV2020031521030647	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10130609_2120_2019-11-04	IV2020031521074867	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	77.8278304000001	Percentage	NA	%
10130609_2120_2019-11-04	IV2020031521030647	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10130609_2120_2019-11-04	IV2020031521074867	square	Verstoring	vergrassing	bedekking vergrassing	79.3	Percentage	NA	%
10130609_2120_2019-11-04	IV2020031521074867	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10130609_2120_2019-11-04	IV2020031521074867	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10130609_2120_2019-11-04	IV2020031521030647	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10138801_2023-09-12	IV2023092116274841	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10138801_2023-09-12	IV2023092116274841	square	Verstoring	exoten	bedekking overige exoten	7.14285714285714	Percentage	NA	%
10138801_2023-09-12	IV2023092116274841	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10138801_2023-09-12	IV2023092116274841	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	7.14285714285714	Percentage	NA	%
10138801_2023-09-12	IV2023092116274841	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10138801_2023-09-12	IV2023092116274841	square	Verstoring	vergrassing	bedekking vergrassing	35.4285714285715	Percentage	NA	%
10138801_2023-09-12	IV2023092116274841	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10138801_2023-09-12	IV2023092116274841	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10138801_2023-09-12	IV2023092116274841	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10138801_2120_2019-10-31	IV2020031522385208	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10138801_2120_2019-10-31	IV2020031522385208	square	Verstoring	exoten	bedekking overige exoten	6.66666666666667	Percentage	NA	%
10138801_2120_2019-10-31	IV2020031522375705	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10138801_2120_2019-10-31	IV2020031522385208	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	19.8666666666667	Percentage	NA	%
10138801_2120_2019-10-31	IV2020031522375705	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10138801_2120_2019-10-31	IV2020031522385208	square	Verstoring	vergrassing	bedekking vergrassing	19.8666666666667	Percentage	NA	%
10138801_2120_2019-10-31	IV2020031522385208	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10138801_2120_2019-10-31	IV2020031522385208	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10138801_2120_2019-10-31	IV2020031522375705	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
1013937_2023-08-14	IV2023090510335160	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	17.4944329896907	Percentage	NA	%
1013937_2120_2019-10-25	IV2020031620214528	square	Structuur	(korst)moslaag	bedekking alle mossen	50	Percentage	NA	%
1013937_2120_2019-10-25	IV2020031620214528	square	Verstoring	exoten	bedekking overige exoten	0	Percentage	NA	%
1013937_2120_2019-10-25	IV2020031620141069	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
1013937_2120_2019-10-25	IV2020031620214528	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	100	Percentage	NA	%
1013937_2120_2019-10-25	IV2020031620141069	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
1013937_2120_2019-10-25	IV2020031620214528	square	Verstoring	vergrassing	bedekking vergrassing	100	Percentage	NA	%
1013937_2120_2019-10-25	IV2020031620214528	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
1013937_2120_2019-10-25	IV2020031620214528	square	Structuur	horizontale structuur	fijnmazige afwisseling	0	Ja/nee	NA	NA
1013937_2120_2019-10-25	IV2020031620141069	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
1013937_2130_hd_2019-10-25	IV2020041011550603	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	13.3494736842105	Percentage	NA	%
1015221_2023-08-07	IV2023090510340563	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	3.17021276595745	Percentage	NA	%
1015221_2130_hd_2019-10-16	IV2020041015454515	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	30.7	Percentage	NA	%
10153777_2023-08-22	IV2023090510335906	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10153777_2023-08-22	IV2023090510335906	square	Verstoring	exoten	bedekking overige exoten	40	Percentage	NA	%
10153777_2023-08-22	IV2023090510335906	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10153777_2023-08-22	IV2023090510335906	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	0	Percentage	NA	%
10153777_2023-08-22	IV2023090510335906	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0.5	Percentage	NA	%
10153777_2023-08-22	IV2023090510335906	square	Verstoring	vergrassing	bedekking vergrassing	39.8	Percentage	NA	%
10153777_2023-08-22	IV2023090510335906	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10153777_2023-08-22	IV2023090510335906	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10153777_2023-08-22	IV2023090510335906	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10153777_2120_2018-07-16	IV2019032212131981	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10153777_2120_2018-07-16	IV2019032212131981	square	Verstoring	exoten	bedekking overige exoten	0	Percentage	NA	%
10153777_2120_2018-07-16	IV2019032212064389	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10153777_2120_2018-07-16	IV2019032212131981	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	0	Percentage	NA	%
10153777_2120_2018-07-16	IV2019032212064389	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10153777_2120_2018-07-16	IV2019032212131981	square	Verstoring	vergrassing	bedekking vergrassing	0	Percentage	NA	%
10153777_2120_2018-07-16	IV2019032212131981	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10153777_2120_2018-07-16	IV2019032212131981	square	Structuur	horizontale structuur	fijnmazige afwisseling	1	Ja/nee	NA	NA
10153777_2120_2018-07-16	IV2019032212064389	circle	Structuur	dynamiek	spontane verstuiving aanwezig	0	Ja/nee	NA	NA
10157365_2023-09-05	IV2023092116274933	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	2.02020202020202	Percentage	NA	%
10157365_2130_hd_2019-10-28	IV2020033015003401	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	3.03071428571429	Percentage	NA	%
10157493_2023-08-01	IV2023090510341797	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	9.12443298969073	Percentage	NA	%
10157493_2130_hd_2019-10-17	IV2020032407141512	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	1.25	Percentage	NA	%
10157873_2023-08-10	IV2023090510342842	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	41.4224394089796	Percentage	NA	%
10157873_2130_hd_2019-10-23	IV2020040610071733	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	12.1852336842105	Percentage	NA	%
10160821_2130_hd_2019-10-14	IV2020041015045733	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	1.25	Percentage	NA	%
10172209_2023-08-16	IV2023090510343475	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	1.04166666666667	Percentage	NA	%
10172209_2130_hd_2019-10-22	IV2020040609463603	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	1.01010101010101	Percentage	NA	%
10184117_2023-08-01	IV2023090510335391	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	0	Percentage	NA	%
10184117_2130_HD_2019-10-17	IV2020032506350318	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	0	Percentage	NA	%
10186545_2023-08-11	IV2023090510341335	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	3.01010101010101	Percentage	NA	%
10186545_2120_2018-09-26	IV2019022013365235	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
10186545_2120_2018-09-26	IV2019022013365235	square	Verstoring	exoten	bedekking overige exoten	0	Percentage	NA	%
10186545_2120_2018-09-26	IV2019022013350210	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
10186545_2120_2018-09-26	IV2019022013365235	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	100	Percentage	NA	%
10186545_2120_2018-09-26	IV2019022013350210	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
10186545_2120_2018-09-26	IV2019022013365235	square	Verstoring	vergrassing	bedekking vergrassing	100	Percentage	NA	%
10186545_2120_2018-09-26	IV2019022013365235	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
10186545_2120_2018-09-26	IV2019022013365235	square	Structuur	horizontale structuur	fijnmazige afwisseling	0	Ja/nee	NA	NA
10186545_2120_2018-09-26	IV2019022013350210	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10186545_2130_hd_2018-08-23	IV2019021811185084	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	1.11111111111111	Percentage	NA	%
1021105_2022-10-11	IV2023010321144128	circle	Structuur	horizontale structuur	aantal struweelsoorten	4	Geheel getal	NA	NA
1021105_2022-10-11	IV2023010321144128	circle	Structuur	horizontale structuur	open plekken aanwezig	15	Percentage	NA	%
1021105_2023-08-30	IV2023090510343263	square	Structuur	(korst)moslaag	bedekking alle mossen	1.66666666666667	Percentage	NA	%
1021105_2023-08-30	IV2023090510343263	square	Verstoring	exoten	bedekking overige exoten	3.33333333333333	Percentage	NA	%
1021105_2023-08-30	IV2023090510343263	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
1021105_2023-08-30	IV2023090510343263	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	41.2189975893333	Percentage	NA	%
1021105_2023-08-30	IV2023090510343263	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
1021105_2023-08-30	IV2023090510343263	square	Verstoring	vergrassing	bedekking vergrassing	54.5493333333333	Percentage	NA	%
1021105_2023-08-30	IV2023090510343263	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
1021105_2023-08-30	IV2023090510343263	square	Structuur	horizontale structuur	fijnmazige afwisseling	0	Ja/nee	NA	NA
1021105_2023-08-30	IV2023090510343263	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
1021105_2120_2019-11-04	IV2020031520570307	square	Structuur	(korst)moslaag	bedekking alle mossen	0	Percentage	NA	%
1021105_2120_2019-11-04	IV2020031520570307	square	Verstoring	exoten	bedekking overige exoten	5	Percentage	NA	%
1021105_2120_2019-11-04	IV2020031520475153	circle	Verstoring	rijshout	bedekking rijshout	0	Percentage	NA	%
1021105_2120_2019-11-04	IV2020031520570307	square	Structuur	kruidlaag	bedekking soorten pionierduingrasland	80.43701	Percentage	NA	%
1021105_2120_2019-11-04	IV2020031520475153	circle	Verstoring	structuurverstoring	bedekking structuurverstoring	0	Percentage	NA	%
1021105_2120_2019-11-04	IV2020031520570307	square	Verstoring	vergrassing	bedekking vergrassing	67.55	Percentage	NA	%
1021105_2120_2019-11-04	IV2020031520570307	square	Verstoring	verruiging	bedekking verruiging	0	Percentage	NA	%
1021105_2120_2019-11-04	IV2020031520570307	square	Structuur	horizontale structuur	fijnmazige afwisseling	0	Ja/nee	NA	NA
1021105_2120_2019-11-04	IV2020031520475153	circle	Structuur	dynamiek	spontane verstuiving aanwezig	1	Ja/nee	NA	NA
10213553_2130_hd_2019-10-25	IV2020040711103110	square	Vegetatie	bedekking sleutelsoorten	bedekking sleutelsoorten	14.8	Percentage	NA	%
