ID	survey	record_id_square	record_id_circle	date	type_observed	subtype_defined	type_cover	type_cover_all	is_type_target	is_maintype_target	any_type_target	n_type_target	cover_target	Habitattype	link_mhq
1110750_2016-10-03	anb	1110750_2016-10-03	1110750_2016-10-03	17077	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1110750
111326_2014-08-19	anb	111326_2014-08-19	111326_2014-08-19	16301	4010	1	NA	NA	1	1	1	1	NA	4010	111326
111326_2022-09-13	anb	111326_2022-09-13	111326_2022-09-13	19248	4030	1	NA	NA	1	1	1	1	NA	4030	111326
1114582_2018-09-04	anb	1114582_2018-09-04	1114582_2018-09-04	17778	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1114582
111918_2018-09-05	anb	111918_2018-09-05	111918_2018-09-05	17779	4030	1	NA	NA	1	1	1	1	NA	4030	111918
11218_2014-09-10	anb	11218_2014-09-10	11218_2014-09-10	16323	4010	1	NA	NA	1	1	1	1	NA	4010	11218
11218_2022-09-16	anb	11218_2022-09-16	11218_2022-09-16	19251	4010	1	NA	NA	1	1	1	1	NA	4010	11218
112850_2018-07-26	anb	112850_2018-07-26	112850_2018-07-26	17738	4030	1	NA	NA	1	1	1	1	NA	4030	112850
1131446_2017-08-25	anb	1131446_2017-08-25	1131446_2017-08-25	17403	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1131446
1140086_2017-07-25	anb	1140086_2017-07-25	1140086_2017-07-25	17372	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1140086
1143734_2018-08-14	anb	1143734_2018-08-14	1143734_2018-08-14	17757	4030	1	NA	NA	1	1	1	1	NA	4030	1143734
115422_2015-06-23	anb	115422_2015-06-23	115422_2015-06-23	16609	2310	1	NA	NA	1	1	1	1	NA	2310	115422
115638_2017-08-23	anb	115638_2017-08-23	115638_2017-08-23	17401	4030	1	NA	NA	1	1	1	1	NA	4030	115638
116434_2018-08-08	anb	116434_2018-08-08	116434_2018-08-08	17751	2310	1	NA	NA	1	1	1	1	NA	2310	116434
116434_2024-07-05	anb	116434_2024-07-05	116434_2024-07-05	19909	2310	1	NA	NA	1	1	1	1	NA	2310	116434
117202_2014-09-10	anb	117202_2014-09-10	117202_2014-09-10	16323	2310	1	NA	NA	1	1	1	1	NA	2310	117202
117202_2022-09-16	anb	117202_2022-09-16	117202_2022-09-16	19251	2310	1	NA	NA	1	1	1	1	NA	2310	117202
1172854_2017-07-25	anb	1172854_2017-07-25	1172854_2017-07-25	17372	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1172854
11742_2016-10-27	anb	11742_2016-10-27	11742_2016-10-27	17101	4010	1	NA	NA	1	1	1	1	NA	4010	11742
11742_2023-06-28	anb	11742_2023-06-28	11742_2023-06-28	19536	4010	1	NA	NA	1	1	1	1	NA	4010	11742
1180534_2019-08-13	anb	1180534_2019-08-13	1180534_2019-08-13	18121	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1180534
1196982_2017-08-24	anb	1196982_2017-08-24	1196982_2017-08-24	17402	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1196982
120018_2014-09-15	anb	120018_2014-09-15	120018_2014-09-15	16328	4010	1	NA	NA	1	1	1	1	NA	4010	120018
120018_2022-09-22	N2000meetnet_Heide_BHM_2022	IV2022100611453248	IV2022100611443304	19257	4010	1	100	100% 4010	1	1	1	1	100	4010	120018
120110_2014-09-24	anb	120110_2014-09-24	120110_2014-09-24	16337	4010	1	NA	NA	1	1	1	1	NA	4010	120110
120110_2019-08-13	N2000meetnet_Heide_BHM	IV2020012909544249	IV2020012909393596	18121	4010	1	100	100% 4010	1	1	1	1	100	4010	120110
120478_2023-08-18	anb	120478_2023-08-18	120478_2023-08-18	19587	2330_dw	1	NA	NA	1	1	1	1	NA	2330_dw	120478
120530_2017-07-27	anb	120530_2017-07-27	120530_2017-07-27	17374	4030	1	NA	NA	1	1	1	1	NA	4030	120530
120530_2024-07-08	anb	120530_2024-07-08	120530_2024-07-08	19912	4030	1	NA	NA	1	1	1	1	NA	4030	120530
1209270_2018-08-16	anb	1209270_2018-08-16	1209270_2018-08-16	17759	2330	0	NA	NA	0	1	0	0	NA	2330_bu	1209270
1209270_2018-08-16	anb	1209270_2018-08-16	1209270_2018-08-16	17759	2330	0	NA	NA	0	1	0	0	NA	2330_dw	1209270
1213150_2017-08-14	anb	1213150_2017-08-14	1213150_2017-08-14	17392	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1213150
122578_2014-08-29	anb	122578_2014-08-29	122578_2014-08-29	16311	4010	1	NA	NA	1	1	1	1	NA	4010	122578
122578_2022-08-30	anb	122578_2022-08-30	122578_2022-08-30	19234	4010	1	NA	NA	1	1	1	1	NA	4010	122578
12274_2014-08-22	anb	12274_2014-08-22	12274_2014-08-22	16304	4030	1	NA	NA	1	1	1	1	NA	4030	12274
12274_2022-08-31	anb	12274_2022-08-31	12274_2022-08-31	19235	4030	1	NA	NA	1	1	1	1	NA	4030	12274
1234130_2018-08-08	anb	1234130_2018-08-08	1234130_2018-08-08	17751	4030	1	NA	NA	1	1	1	1	NA	4030	1234130
124278_2014-09-23	anb	124278_2014-09-23	124278_2014-09-23	16336	2310	1	NA	NA	1	1	1	1	NA	2310	124278
124278_2022-09-30	anb	124278_2022-09-30	124278_2022-09-30	19265	2330	0	NA	NA	0	1	0	0	NA	2330_bu	124278
124278_2022-09-30	anb	124278_2022-09-30	124278_2022-09-30	19265	2330	0	NA	NA	0	1	0	0	NA	2330_dw	124278
124382_2016-10-12	anb	124382_2016-10-12	124382_2016-10-12	17086	4010	1	NA	NA	1	1	1	1	NA	4010	124382
1250770_2017-07-06	anb	1250770_2017-07-06	1250770_2017-07-06	17353	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1250770
125394_2015-06-01	anb	125394_2015-06-01	125394_2015-06-01	16587	2310	1	NA	NA	1	1	1	1	NA	2310	125394
125394_2023-09-07	anb	125394_2023-09-07	125394_2023-09-07	19607	4030	1	NA	NA	1	1	1	1	NA	4030	125394
125998_2016-10-24	anb	125998_2016-10-24	125998_2016-10-24	17098	4030	1	NA	NA	1	1	1	1	NA	4030	125998
1272114_2017-06-29	anb	1272114_2017-06-29	1272114_2017-06-29	17346	2330_dw	1	NA	NA	1	1	1	1	NA	2330_dw	1272114
1272114_2023-09-06	anb	1272114_2023-09-06	1272114_2023-09-06	19606	2330_dw	1	NA	NA	1	1	1	1	NA	2330_dw	1272114
1274486_2018-07-19	anb	1274486_2018-07-19	1274486_2018-07-19	17731	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1274486
1274806_2018-08-23	anb	1274806_2018-08-23	1274806_2018-08-23	17766	4030	1	NA	NA	1	1	1	1	NA	4030	1274806
127710_2016-11-16	anb	127710_2016-11-16	127710_2016-11-16	17121	2310	1	NA	NA	1	1	1	1	NA	2310	127710
127710_2024-06-19	anb	127710_2024-06-19	127710_2024-06-19	19893	2310	1	NA	NA	1	1	1	1	NA	2310	127710
1284946_2017-07-13	anb	1284946_2017-07-13	1284946_2017-07-13	17360	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1284946
1285330_2018-07-31	anb	1285330_2018-07-31	1285330_2018-07-31	17743	2330	0	NA	NA	0	1	0	0	NA	2330_bu	1285330
1285330_2018-07-31	anb	1285330_2018-07-31	1285330_2018-07-31	17743	2330	0	NA	NA	0	1	0	0	NA	2330_dw	1285330
128722_2022-09-20	anb	128722_2022-09-20	128722_2022-09-20	19255	4030	1	NA	NA	1	1	1	1	NA	4030	128722
128786_2018-07-18	anb	128786_2018-07-18	128786_2018-07-18	17730	4030	1	NA	NA	1	1	1	1	NA	4030	128786
129234_2014-09-11	anb	129234_2014-09-11	129234_2014-09-11	16324	4010	1	NA	NA	1	1	1	1	NA	4010	129234
129234_2022-09-22	N2000meetnet_Heide_BHM_2022	IV2022100611453796	IV2022100611443608	19257	4010	1	100	100% 4010	1	1	1	1	100	4010	129234
1297718_2018-09-17	anb	1297718_2018-09-17	1297718_2018-09-17	17791	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1297718
1303926_2017-07-14	anb	1303926_2017-07-14	1303926_2017-07-14	17361	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1303926
1313142_2017-07-27	anb	1313142_2017-07-27	1313142_2017-07-27	17374	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1313142
131806_2016-10-20	anb	131806_2016-10-20	131806_2016-10-20	17094	4010	1	NA	NA	1	1	1	1	NA	4010	131806
131958_2023-09-13	anb	131958_2023-09-13	131958_2023-09-13	19613	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	131958
1328054_2017-08-22	anb	1328054_2017-08-22	1328054_2017-08-22	17400	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1328054
1340342_2018-09-11	anb	1340342_2018-09-11	1340342_2018-09-11	17785	2310	1	NA	NA	1	1	1	1	NA	2310	1340342
134098_2014-09-09	anb	134098_2014-09-09	134098_2014-09-09	16322	2310	1	NA	NA	1	1	1	1	NA	2310	134098
134098_2023-09-07	anb	134098_2023-09-07	134098_2023-09-07	19607	4030	1	NA	NA	1	1	1	1	NA	4030	134098
1344438_2017-07-28	anb	1344438_2017-07-28	1344438_2017-07-28	17375	4030	1	NA	NA	1	1	1	1	NA	4030	1344438
1350866_2018-07-31	anb	1350866_2018-07-31	1350866_2018-07-31	17743	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1350866
136402_2014-09-16	anb	136402_2014-09-16	136402_2014-09-16	16329	4030	1	NA	NA	1	1	1	1	NA	4030	136402
136402_2019-08-23	N2000meetnet_Heide_BHM	IV2020012911021126	IV2020012909572276	18131	4030	1	100	100% 4030	1	1	1	1	100	4030	136402
13686_2015-09-10	anb	13686_2015-09-10	13686_2015-09-10	16688	4030	1	NA	NA	1	1	1	1	NA	4030	13686
13686_2023-08-28	anb	13686_2023-08-28	13686_2023-08-28	19597	4030	1	NA	NA	1	1	1	1	NA	4030	13686
1380278_2018-07-31	anb	1380278_2018-07-31	1380278_2018-07-31	17743	2310	1	NA	NA	1	1	1	1	NA	2310	1380278
1381302_2018-08-20	anb	1381302_2018-08-20	1381302_2018-08-20	17763	2310	1	NA	NA	1	1	1	1	NA	2310	1381302
1402230_2017-07-26	anb	1402230_2017-07-26	1402230_2017-07-26	17373	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1402230
1405878_2018-08-16	anb	1405878_2018-08-16	1405878_2018-08-16	17759	2330	0	NA	NA	0	1	0	0	NA	2330_bu	1405878
1405878_2018-08-16	anb	1405878_2018-08-16	1405878_2018-08-16	17759	2330	0	NA	NA	0	1	0	0	NA	2330_dw	1405878
1407698_2017-08-03	anb	1407698_2017-08-03	1407698_2017-08-03	17381	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1407698
141778_2018-08-02	anb	141778_2018-08-02	141778_2018-08-02	17745	4010	1	NA	NA	1	1	1	1	NA	4010	141778
1422046_2017-09-05	anb	1422046_2017-09-05	1422046_2017-09-05	17414	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1422046
144094_2014-09-03	anb	144094_2014-09-03	144094_2014-09-03	16316	2310	1	NA	NA	1	1	1	1	NA	2310	144094
144094_2022-09-14	anb	144094_2022-09-14	144094_2022-09-14	19249	2330	0	NA	NA	0	1	0	0	NA	2330_bu	144094
144094_2022-09-14	anb	144094_2022-09-14	144094_2022-09-14	19249	2330	0	NA	NA	0	1	0	0	NA	2330_dw	144094
145106_2024-07-08	anb	145106_2024-07-08	145106_2024-07-08	19912	4030	1	NA	NA	1	1	1	1	NA	4030	145106
1452338_2024-07-09	anb	1452338_2024-07-09	1452338_2024-07-09	19913	2330_dw	1	NA	NA	1	1	1	1	NA	2330_dw	1452338
1454814_2017-09-06	anb	1454814_2017-09-06	1454814_2017-09-06	17415	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1454814
147062_2023-09-13	anb	147062_2023-09-13	147062_2023-09-13	19613	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	147062
1471094_2018-07-23	anb	1471094_2018-07-23	1471094_2018-07-23	17735	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1471094
1473234_2024-07-08	anb	1473234_2024-07-08	1473234_2024-07-08	19912	2330_dw	1	NA	NA	1	1	1	1	NA	2330_dw	1473234
1479890_2018-08-02	anb	1479890_2018-08-02	1479890_2018-08-02	17745	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1479890
148406_2017-08-24	anb	148406_2017-08-24	148406_2017-08-24	17402	4030	1	NA	NA	1	1	1	1	NA	4030	148406
1487798_2018-07-25	anb	1487798_2018-07-25	1487798_2018-07-25	17737	2310	1	NA	NA	1	1	1	1	NA	2310	1487798
1500534_2017-07-26	anb	1500534_2017-07-26	1500534_2017-07-26	17373	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1500534
1501490_2017-06-29	anb	1501490_2017-06-29	1501490_2017-06-29	17346	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1501490
15070_2015-06-26	anb	15070_2015-06-26	15070_2015-06-26	16612	4010	1	NA	NA	1	1	1	1	NA	4010	15070
15070_2023-08-18	anb	15070_2023-08-18	15070_2023-08-18	19587	4010	1	NA	NA	1	1	1	1	NA	4010	15070
1512374_2018-08-13	anb	1512374_2018-08-13	1512374_2018-08-13	17756	4030	1	NA	NA	1	1	1	1	NA	4030	1512374
151250_2014-09-08	anb	151250_2014-09-08	151250_2014-09-08	16321	2310	1	NA	NA	1	1	1	1	NA	2310	151250
151250_2022-09-06	anb	151250_2022-09-06	151250_2022-09-06	19241	4030	1	NA	NA	1	1	1	1	NA	4030	151250
152534_2023-08-24	anb	152534_2023-08-24	152534_2023-08-24	19593	4030	1	NA	NA	1	1	1	1	NA	4030	152534
152786_2014-09-19	anb	152786_2014-09-19	152786_2014-09-19	16332	2310	1	NA	NA	1	1	1	1	NA	2310	152786
152786_2022-09-09	N2000meetnet_Heide_BHM_2022	IV2022090915325688	IV2022090915315710	19244	2310	1	100	100% 2310	1	1	1	1	100	2310	152786
1536630_2018-07-20	anb	1536630_2018-07-20	1536630_2018-07-20	17732	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1536630
1536950_2018-08-23	anb	1536950_2018-08-23	1536950_2018-08-23	17766	4030	1	NA	NA	1	1	1	1	NA	4030	1536950
1547090_2017-07-13	anb	1547090_2017-07-13	1547090_2017-07-13	17360	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1547090
154834_2018-08-01	anb	154834_2018-08-01	154834_2018-08-01	17744	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	154834
1558738_2018-07-24	anb	1558738_2018-07-24	1558738_2018-07-24	17736	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1558738
156382_2017-09-05	anb	156382_2017-09-05	156382_2017-09-05	17414	2310	1	NA	NA	1	1	1	1	NA	2310	156382
156382_2024-06-25	anb	156382_2024-06-25	156382_2024-06-25	19899	2310	1	NA	NA	1	1	1	1	NA	2310	156382
1565906_2024-06-28	anb	1565906_2024-06-28	1565906_2024-06-28	19902	2330_dw	1	NA	NA	1	1	1	1	NA	2330_dw	1565906
1566070_2017-07-26	anb	1566070_2017-07-26	1566070_2017-07-26	17373	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1566070
1566166_2017-10-17	anb	1566166_2017-10-17	1566166_2017-10-17	17456	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1566166
158002_2017-06-30	anb	158002_2017-06-30	158002_2017-06-30	17347	2310	1	NA	NA	1	1	1	1	NA	2310	158002
158002_2024-07-09	anb	158002_2024-07-09	158002_2024-07-09	19913	2310	1	NA	NA	1	1	1	1	NA	2310	158002
1584722_2024-07-03	anb	1584722_2024-07-03	1584722_2024-07-03	19907	2330_dw	1	NA	NA	1	1	1	1	NA	2330_dw	1584722
1590198_2017-07-28	anb	1590198_2017-07-28	1590198_2017-07-28	17375	4030	1	NA	NA	1	1	1	1	NA	4030	1590198
159314_2017-07-25	anb	159314_2017-07-25	159314_2017-07-25	17372	4030	1	NA	NA	1	1	1	1	NA	4030	159314
159314_2024-07-02	anb	159314_2024-07-02	159314_2024-07-02	19906	4030	1	NA	NA	1	1	1	1	NA	4030	159314
1594578_2018-08-01	anb	1594578_2018-08-01	1594578_2018-08-01	17744	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1594578
1599794_2017-06-29	anb	1599794_2017-06-29	1599794_2017-06-29	17346	4010	1	NA	NA	1	1	1	1	NA	4010	1599794
1606582_2017-08-22	anb	1606582_2017-08-22	1606582_2017-08-22	17400	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1606582
160694_2018-08-14	anb	160694_2018-08-14	160694_2018-08-14	17757	4030	1	NA	NA	1	1	1	1	NA	4030	160694
160926_2023-08-18	anb	160926_2023-08-18	160926_2023-08-18	19587	4030	1	NA	NA	1	1	1	1	NA	4030	160926
1631606_2017-07-25	anb	1631606_2017-07-25	1631606_2017-07-25	17372	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1631606
1635038_2017-08-21	anb	1635038_2017-08-21	1635038_2017-08-21	17399	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1635038
163538_2018-07-30	anb	163538_2018-07-30	163538_2018-07-30	17742	2310	1	NA	NA	1	1	1	1	NA	2310	163538
165586_2018-08-08	anb	165586_2018-08-08	165586_2018-08-08	17751	4030	1	NA	NA	1	1	1	1	NA	4030	165586
1659862_2018-10-08	anb	1659862_2018-10-08	1659862_2018-10-08	17812	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1659862
1684406_2018-08-17	anb	1684406_2018-08-17	1684406_2018-08-17	17760	2310	1	NA	NA	1	1	1	1	NA	2310	1684406
168886_2018-08-24	anb	168886_2018-08-24	168886_2018-08-24	17767	4030	1	NA	NA	1	1	1	1	NA	4030	168886
169170_2018-08-02	anb	169170_2018-08-02	169170_2018-08-02	17745	4030	1	NA	NA	1	1	1	1	NA	4030	169170
170206_2017-09-07	anb	170206_2017-09-07	170206_2017-09-07	17416	4030	1	NA	NA	1	1	1	1	NA	4030	170206
170834_2017-07-07	anb	170834_2017-07-07	170834_2017-07-07	17354	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	170834
170834_2024-07-01	anb	170834_2024-07-01	170834_2024-07-01	19905	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	170834
1708982_2017-08-31	anb	1708982_2017-08-31	1708982_2017-08-31	17409	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1708982
1709266_2018-07-30	anb	1709266_2018-07-30	1709266_2018-07-30	17742	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1709266
174302_2023-06-16	anb	174302_2023-06-16	174302_2023-06-16	19524	4010	1	NA	NA	1	1	1	1	NA	4010	174302
1743698_2017-07-07	anb	1743698_2017-07-07	1743698_2017-07-07	17354	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1743698
174546_2018-08-03	anb	174546_2018-08-03	174546_2018-08-03	17746	2310	1	NA	NA	1	1	1	1	NA	2310	174546
175582_2023-06-28	anb	175582_2023-06-28	175582_2023-06-28	19536	4010	1	NA	NA	1	1	1	1	NA	4010	175582
175698_2017-07-25	anb	175698_2017-07-25	175698_2017-07-25	17372	4030	1	NA	NA	1	1	1	1	NA	4030	175698
175698_2024-07-02	anb	175698_2024-07-02	175698_2024-07-02	19906	4030	1	NA	NA	1	1	1	1	NA	4030	175698
1762774_2017-08-17	anb	1762774_2017-08-17	1762774_2017-08-17	17395	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1762774
176862_2017-09-05	anb	176862_2017-09-05	176862_2017-09-05	17414	4010	1	NA	NA	1	1	1	1	NA	4010	176862
177078_2014-09-10	anb	177078_2014-09-10	177078_2014-09-10	16323	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	177078
177078_2022-10-07	N2000meetnet_Heide_BHM_2022	IV2022111920552707	IV2022111920543467	19272	2330_bu	1	100	100% 2330_bu	1	1	1	1	100	2330_bu	177078
1775058_2017-07-06	anb	1775058_2017-07-06	1775058_2017-07-06	17353	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1775058
1786806_2017-08-28	anb	1786806_2017-08-28	1786806_2017-08-28	17406	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	1786806
1789878_2018-08-07	anb	1789878_2018-08-07	1789878_2018-08-07	17750	4010	1	NA	NA	1	1	1	1	NA	4010	1789878
179922_2018-08-01	anb	179922_2018-08-01	179922_2018-08-01	17744	2330_dw	1	NA	NA	1	1	1	1	NA	2330_dw	179922
181234_2017-07-03	anb	181234_2017-07-03	181234_2017-07-03	17350	4030	1	NA	NA	1	1	1	1	NA	4030	181234
181234_2024-07-03	anb	181234_2024-07-03	181234_2024-07-03	19907	4030	1	NA	NA	1	1	1	1	NA	4030	181234
182482_2018-07-25	anb	182482_2018-07-25	182482_2018-07-25	17737	4030	1	NA	NA	1	1	1	1	NA	4030	182482
190162_2017-07-27	anb	190162_2017-07-27	190162_2017-07-27	17374	4030	1	NA	NA	1	1	1	1	NA	4030	190162
190162_2024-07-05	anb	190162_2024-07-05	190162_2024-07-05	19909	4030	1	NA	NA	1	1	1	1	NA	4030	190162
191442_2018-08-06	anb	191442_2018-08-06	191442_2018-08-06	17749	2310	1	NA	NA	1	1	1	1	NA	2310	191442
191698_2017-07-28	anb	191698_2017-07-28	191698_2017-07-28	17375	4030	1	NA	NA	1	1	1	1	NA	4030	191698
191698_2024-06-21	anb	191698_2024-06-21	191698_2024-06-21	19895	4030	1	NA	NA	1	1	1	1	NA	4030	191698
191966_2018-09-07	anb	191966_2018-09-07	191966_2018-09-07	17781	4030	1	NA	NA	1	1	1	1	NA	4030	191966
193246_2019-08-08	anb	193246_2019-08-08	193246_2019-08-08	18116	4010	1	NA	NA	1	1	1	1	NA	4010	193246
194294_2023-08-24	anb	194294_2023-08-24	194294_2023-08-24	19593	2330	0	NA	NA	0	1	0	0	NA	2330_bu	194294
194294_2023-08-24	anb	194294_2023-08-24	194294_2023-08-24	19593	2330	0	NA	NA	0	1	0	0	NA	2330_dw	194294
196306_2018-08-03	anb	196306_2018-08-03	196306_2018-08-03	17746	2310	1	NA	NA	1	1	1	1	NA	2310	196306
199122_2018-08-07	anb	199122_2018-08-07	199122_2018-08-07	17750	2310	1	NA	NA	1	1	1	1	NA	2310	199122
200630_2018-07-31	anb	200630_2018-07-31	200630_2018-07-31	17743	4030	1	NA	NA	1	1	1	1	NA	4030	200630
20086_2023-09-13	anb	20086_2023-09-13	20086_2023-09-13	19613	2310	1	NA	NA	1	1	1	1	NA	2310	20086
20178_2014-09-08	anb	20178_2014-09-08	20178_2014-09-08	16321	2310	1	NA	NA	1	1	1	1	NA	2310	20178
20178_2022-09-07	anb	20178_2022-09-07	20178_2022-09-07	19242	2310	1	NA	NA	1	1	1	1	NA	2310	20178
20406_2014-09-16	anb	20406_2014-09-16	20406_2014-09-16	16329	4030	1	NA	NA	1	1	1	1	NA	4030	20406
20406_2022-10-07	N2000meetnet_Heide_BHM_2022	IV2022111920553778	IV2022111920543134	19272	4030	1	100	100% 4030	1	1	1	1	100	4030	20406
205501_2017-08-16	anb	205501_2017-08-16	205501_2017-08-16	17394	4030	1	NA	NA	1	1	1	1	NA	4030	205501
206546_2018-08-09	anb	206546_2018-08-09	206546_2018-08-09	17752	2310	1	NA	NA	1	1	1	1	NA	2310	206546
207314_2018-08-03	anb	207314_2018-08-03	207314_2018-08-03	17746	2310	1	NA	NA	1	1	1	1	NA	2310	207314
208350_2017-09-07	anb	208350_2017-09-07	208350_2017-09-07	17416	4010	1	NA	NA	1	1	1	1	NA	4010	208350
212062_2018-10-10	anb	212062_2018-10-10	212062_2018-10-10	17814	4030	1	NA	NA	1	1	1	1	NA	4030	212062
212446_2023-06-28	anb	212446_2023-06-28	212446_2023-06-28	19536	4010	1	NA	NA	1	1	1	1	NA	4010	212446
213366_2023-08-30	anb	213366_2023-08-30	213366_2023-08-30	19599	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	213366
213942_2014-09-05	anb	213942_2014-09-05	213942_2014-09-05	16318	2330_bu	1	NA	NA	1	1	1	1	NA	2330_bu	213942
