ID	record_id	Criterium	Indicator	Voorwaarde	Waarde	Type	Invoertype	Eenheid	plot_type
ZSCPQ159_2019-10-07	IV2020032310110217	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ159_2019-10-07	IV2020032310110217	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ159_2019-10-07	IV2020032310110217	Verstoring	rietontwikkeling	bedekking riet	76	Percentage	NA	%	schor
ZSCPQ159_2019-10-07	IV2020032310110217	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ159_2019-10-07	IV2020032310110217	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ159_2019-10-07	IV2020032310110217	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ160_2013-10-16	IV2014030312294301	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ160_2013-10-16	IV2014030312294301	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	97	Percentage	NA	%	schor
ZSCPQ160_2013-10-16	IV2014030312294301	Verstoring	rietontwikkeling	bedekking riet	75	Percentage	NA	%	schor
ZSCPQ160_2013-10-16	IV2014030312294301	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ160_2013-10-16	IV2014030312294301	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ160_2013-10-16	IV2014030312294301	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ160_2019-10-07	IV2020032310134076	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ160_2019-10-07	IV2020032310134076	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ160_2019-10-07	IV2020032310134076	Verstoring	rietontwikkeling	bedekking riet	76	Percentage	NA	%	schor
ZSCPQ160_2019-10-07	IV2020032310134076	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ160_2019-10-07	IV2020032310134076	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ160_2019-10-07	IV2020032310134076	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ162_2013-10-16	IV2014030314313598	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ162_2013-10-16	IV2014030314313598	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	97	Percentage	NA	%	schor
ZSCPQ162_2013-10-16	IV2014030314313598	Verstoring	rietontwikkeling	bedekking riet	75	Percentage	NA	%	schor
ZSCPQ162_2013-10-16	IV2014030314313598	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ162_2013-10-16	IV2014030314313598	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ162_2013-10-16	IV2014030314313598	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ162_2019-10-07	IV2020032310231060	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ162_2019-10-07	IV2020032310231060	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ162_2019-10-07	IV2020032310231060	Verstoring	rietontwikkeling	bedekking riet	76	Percentage	NA	%	schor
ZSCPQ162_2019-10-07	IV2020032310231060	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ162_2019-10-07	IV2020032310231060	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ162_2019-10-07	IV2020032310231060	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ171_2013-10-18	IV2014030410161165	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ171_2013-10-18	IV2014030410161165	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	97	Percentage	NA	%	schor
ZSCPQ171_2013-10-18	IV2014030410161165	Verstoring	rietontwikkeling	bedekking riet	75	Percentage	NA	%	schor
ZSCPQ171_2013-10-18	IV2014030410161165	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ171_2013-10-18	IV2014030410161165	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ171_2013-10-18	IV2014030410161165	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ171_2019-10-14	IV2020032513581265	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ171_2019-10-14	IV2020032513581265	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ171_2019-10-14	IV2020032513581265	Verstoring	rietontwikkeling	bedekking riet	76	Percentage	NA	%	schor
ZSCPQ171_2019-10-14	IV2020032513581265	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ171_2019-10-14	IV2020032513581265	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ171_2019-10-14	IV2020032513581265	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ172_2013-10-19	IV2014030411215613	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ172_2013-10-19	IV2014030411215613	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	100	Percentage	NA	%	schor
ZSCPQ172_2013-10-19	IV2014030411215613	Verstoring	rietontwikkeling	bedekking riet	78	Percentage	NA	%	schor
ZSCPQ172_2013-10-19	IV2014030411215613	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	0	Ja/nee	NA	NA	schor
ZSCPQ172_2013-10-19	IV2014030411215613	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ172_2013-10-19	IV2014030411215613	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ172_2019-10-15	IV2020032515314325	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ172_2019-10-15	IV2020032515314325	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ172_2019-10-15	IV2020032515314325	Verstoring	rietontwikkeling	bedekking riet	87	Percentage	NA	%	schor
ZSCPQ172_2019-10-15	IV2020032515314325	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ172_2019-10-15	IV2020032515314325	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ172_2019-10-15	IV2020032515314325	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ173_2013-10-19	IV2014030411242385	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ173_2013-10-19	IV2014030411242385	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	100	Percentage	NA	%	schor
ZSCPQ173_2013-10-19	IV2014030411242385	Verstoring	rietontwikkeling	bedekking riet	78	Percentage	NA	%	schor
ZSCPQ173_2013-10-19	IV2014030411242385	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	0	Ja/nee	NA	NA	schor
ZSCPQ173_2013-10-19	IV2014030411242385	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ173_2013-10-19	IV2014030411242385	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ173_2019-10-15	IV2020032515283633	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ173_2019-10-15	IV2020032515283633	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ173_2019-10-15	IV2020032515283633	Verstoring	rietontwikkeling	bedekking riet	87	Percentage	NA	%	schor
ZSCPQ173_2019-10-15	IV2020032515283633	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ173_2019-10-15	IV2020032515283633	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ173_2019-10-15	IV2020032515283633	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ174_2013-10-19	IV2014030411281773	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ174_2013-10-19	IV2014030411281773	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	100	Percentage	NA	%	schor
ZSCPQ174_2013-10-19	IV2014030411281773	Verstoring	rietontwikkeling	bedekking riet	78	Percentage	NA	%	schor
ZSCPQ174_2013-10-19	IV2014030411281773	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	0	Ja/nee	NA	NA	schor
ZSCPQ174_2013-10-19	IV2014030411281773	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ174_2013-10-19	IV2014030411281773	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ174_2019-10-15	IV2020032515092394	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ174_2019-10-15	IV2020032515092394	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ174_2019-10-15	IV2020032515092394	Verstoring	rietontwikkeling	bedekking riet	87	Percentage	NA	%	schor
ZSCPQ174_2019-10-15	IV2020032515092394	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ174_2019-10-15	IV2020032515092394	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ174_2019-10-15	IV2020032515092394	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ175_2013-10-19	IV2014030411305777	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ175_2013-10-19	IV2014030411305777	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	100	Percentage	NA	%	schor
ZSCPQ175_2013-10-19	IV2014030411305777	Verstoring	rietontwikkeling	bedekking riet	78	Percentage	NA	%	schor
ZSCPQ175_2013-10-19	IV2014030411305777	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	0	Ja/nee	NA	NA	schor
ZSCPQ175_2013-10-19	IV2014030411305777	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ175_2013-10-19	IV2014030411305777	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ175_2019-10-15	IV2020032514503255	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ175_2019-10-15	IV2020032514503255	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ175_2019-10-15	IV2020032514503255	Verstoring	rietontwikkeling	bedekking riet	87	Percentage	NA	%	schor
ZSCPQ175_2019-10-15	IV2020032514503255	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ175_2019-10-15	IV2020032514503255	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ175_2019-10-15	IV2020032514503255	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ176_2013-10-18	IV2014030411101491	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ176_2013-10-18	IV2014030411101491	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	100	Percentage	NA	%	schor
ZSCPQ176_2013-10-18	IV2014030411101491	Verstoring	rietontwikkeling	bedekking riet	78	Percentage	NA	%	schor
ZSCPQ176_2013-10-18	IV2014030411101491	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	0	Ja/nee	NA	NA	schor
ZSCPQ176_2013-10-18	IV2014030411101491	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ176_2013-10-18	IV2014030411101491	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ176_2019-10-14	IV2020032514014501	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ176_2019-10-14	IV2020032514014501	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ176_2019-10-14	IV2020032514014501	Verstoring	rietontwikkeling	bedekking riet	87	Percentage	NA	%	schor
ZSCPQ176_2019-10-14	IV2020032514014501	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ176_2019-10-14	IV2020032514014501	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ176_2019-10-14	IV2020032514014501	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ177_2013-10-18	IV2014030411130087	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ177_2013-10-18	IV2014030411130087	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	100	Percentage	NA	%	schor
ZSCPQ177_2013-10-18	IV2014030411130087	Verstoring	rietontwikkeling	bedekking riet	78	Percentage	NA	%	schor
ZSCPQ177_2013-10-18	IV2014030411130087	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	0	Ja/nee	NA	NA	schor
ZSCPQ177_2013-10-18	IV2014030411130087	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ177_2013-10-18	IV2014030411130087	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ177_2019-10-14	IV2020032514175395	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ177_2019-10-14	IV2020032514175395	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ177_2019-10-14	IV2020032514175395	Verstoring	rietontwikkeling	bedekking riet	87	Percentage	NA	%	schor
ZSCPQ177_2019-10-14	IV2020032514175395	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ177_2019-10-14	IV2020032514175395	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ177_2019-10-14	IV2020032514175395	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ178_2013-10-18	IV2014030411161844	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ178_2013-10-18	IV2014030411161844	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	100	Percentage	NA	%	schor
ZSCPQ178_2013-10-18	IV2014030411161844	Verstoring	rietontwikkeling	bedekking riet	78	Percentage	NA	%	schor
ZSCPQ178_2013-10-18	IV2014030411161844	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	0	Ja/nee	NA	NA	schor
ZSCPQ178_2013-10-18	IV2014030411161844	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ178_2013-10-18	IV2014030411161844	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ178_2019-10-14	IV2020032514154342	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ178_2019-10-14	IV2020032514154342	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ178_2019-10-14	IV2020032514154342	Verstoring	rietontwikkeling	bedekking riet	87	Percentage	NA	%	schor
ZSCPQ178_2019-10-14	IV2020032514154342	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ178_2019-10-14	IV2020032514154342	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ178_2019-10-14	IV2020032514154342	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ179_2013-10-18	IV2014030411195942	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ179_2013-10-18	IV2014030411195942	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	100	Percentage	NA	%	schor
ZSCPQ179_2013-10-18	IV2014030411195942	Verstoring	rietontwikkeling	bedekking riet	78	Percentage	NA	%	schor
ZSCPQ179_2013-10-18	IV2014030411195942	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	0	Ja/nee	NA	NA	schor
ZSCPQ179_2013-10-18	IV2014030411195942	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ179_2013-10-18	IV2014030411195942	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ179_2019-10-14	IV2020032514094179	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
ZSCPQ179_2019-10-14	IV2020032514094179	Structuur	schorklifvorming/breuksteenbestorting	aanwezigheid schorklif/breuksteenbestorting	98	Percentage	NA	%	schor
ZSCPQ179_2019-10-14	IV2020032514094179	Verstoring	rietontwikkeling	bedekking riet	87	Percentage	NA	%	schor
ZSCPQ179_2019-10-14	IV2020032514094179	Structuur	schorklifvorming/breuksteenbestorting	habitattype lager dan het klif	1	Ja/nee	NA	NA	schor
ZSCPQ179_2019-10-14	IV2020032514094179	Structuur	verticale gradiënt	intertidale ruimte aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ179_2019-10-14	IV2020032514094179	Structuur	horizontale structuur	zowel lage als hoge schorvegetaties aanwezig	1	Ja/nee	NA	NA	schor
ZSCPQ180_2013-10-19	IV2014030411342143	Structuur	kreken, oeverwallen en kommen	aanwezigheid kreken, oeverwallen en kommen	1	Ja/nee	NA	NA	schor
