record_id	Vegetatielaag	Kenmerk	TypeKenmerk	Waarde	Type	Eenheid	Invoertype	ID
IV2020032310110217	kruidlaag	Calystegia sepium (L.) R. Brown	Soort_Latijn	1	Percentage	%	NA	ZSCPQ159_2019-10-07
IV2020032310110217	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	92	Percentage	%	NA	ZSCPQ159_2019-10-07
IV2020032310110217	kruidlaag	Scirpus maritimus L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ159_2019-10-07
IV2014030312294301	kruidlaag	Calystegia sepium (L.) R. Brown	Soort_Latijn	4	Percentage	%	NA	ZSCPQ160_2013-10-16
IV2014030312294301	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	22	Percentage	%	NA	ZSCPQ160_2013-10-16
IV2014030312294301	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	80	Percentage	%	NA	ZSCPQ160_2013-10-16
IV2014030312294301	kruidlaag	Scirpus maritimus L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ160_2013-10-16
IV2020032310134076	kruidlaag	Atriplex prostrata Boucher ex DC.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ160_2019-10-07
IV2020032310134076	kruidlaag	Calystegia sepium (L.) R. Brown	Soort_Latijn	1	Percentage	%	NA	ZSCPQ160_2019-10-07
IV2020032310134076	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	2	Percentage	%	NA	ZSCPQ160_2019-10-07
IV2020032310134076	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	92	Percentage	%	NA	ZSCPQ160_2019-10-07
IV2014030314313598	kruidlaag	Aster tripolium L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ162_2013-10-16
IV2014030314313598	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	7	Percentage	%	NA	ZSCPQ162_2013-10-16
IV2014030314313598	kruidlaag	Festuca rubra L.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ162_2013-10-16
IV2014030314313598	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	72	Percentage	%	NA	ZSCPQ162_2013-10-16
IV2014030314313598	kruidlaag	Scirpus maritimus L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ162_2013-10-16
IV2014030314313598	kruidlaag	Triglochin maritima L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ162_2013-10-16
IV2020032310231060	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	1	Percentage	%	NA	ZSCPQ162_2019-10-07
IV2020032310231060	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	92	Percentage	%	NA	ZSCPQ162_2019-10-07
IV2014030410161165	kruidlaag	Calystegia sepium (L.) R. Brown	Soort_Latijn	1	Percentage	%	NA	ZSCPQ171_2013-10-18
IV2014030410161165	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	30	Percentage	%	NA	ZSCPQ171_2013-10-18
IV2014030410161165	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	72	Percentage	%	NA	ZSCPQ171_2013-10-18
IV2014030410161165	kruidlaag	Scirpus maritimus L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ171_2013-10-18
IV2020032513581265	kruidlaag	Aster tripolium L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ171_2019-10-14
IV2020032513581265	kruidlaag	Atriplex prostrata Boucher ex DC.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ171_2019-10-14
IV2020032513581265	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	7	Percentage	%	NA	ZSCPQ171_2019-10-14
IV2020032513581265	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	27	Percentage	%	NA	ZSCPQ171_2019-10-14
IV2014030411215613	kruidlaag	Salicornia procumbens Smith	Soort_Latijn	1	Percentage	%	NA	ZSCPQ172_2013-10-19
IV2014030411215613	kruidlaag	Scirpus maritimus L.	Soort_Latijn	42	Percentage	%	NA	ZSCPQ172_2013-10-19
IV2020032515314325	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	12	Percentage	%	NA	ZSCPQ172_2019-10-15
IV2020032515314325	kruidlaag	Scirpus maritimus L.	Soort_Latijn	62	Percentage	%	NA	ZSCPQ172_2019-10-15
IV2014030411242385	kruidlaag	Aster tripolium L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ173_2013-10-19
IV2014030411242385	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	20	Percentage	%	NA	ZSCPQ173_2013-10-19
IV2014030411242385	kruidlaag	Puccinellia maritima (Huds.) Parl.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ173_2013-10-19
IV2014030411242385	kruidlaag	Salicornia procumbens Smith	Soort_Latijn	2	Percentage	%	NA	ZSCPQ173_2013-10-19
IV2014030411242385	kruidlaag	Scirpus maritimus L.	Soort_Latijn	30	Percentage	%	NA	ZSCPQ173_2013-10-19
IV2020032515283633	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	52	Percentage	%	NA	ZSCPQ173_2019-10-15
IV2020032515283633	kruidlaag	Scirpus maritimus L.	Soort_Latijn	20	Percentage	%	NA	ZSCPQ173_2019-10-15
IV2014030411281773	kruidlaag	Aster tripolium L.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ174_2013-10-19
IV2014030411281773	kruidlaag	Glaux maritima L.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ174_2013-10-19
IV2014030411281773	kruidlaag	Juncus ambiguus Guss.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ174_2013-10-19
IV2014030411281773	kruidlaag	Plantago maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ174_2013-10-19
IV2014030411281773	kruidlaag	Puccinellia maritima (Huds.) Parl.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ174_2013-10-19
IV2014030411281773	kruidlaag	Salicornia europaea L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ174_2013-10-19
IV2014030411281773	kruidlaag	Salicornia procumbens Smith	Soort_Latijn	4	Percentage	%	NA	ZSCPQ174_2013-10-19
IV2014030411281773	kruidlaag	Scirpus maritimus L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ174_2013-10-19
IV2014030411281773	kruidlaag	Spartina townsendii H. et J. Groves	Soort_Latijn	20	Percentage	%	NA	ZSCPQ174_2013-10-19
IV2014030411281773	kruidlaag	Spergularia marina (L.) Besser	Soort_Latijn	2	Percentage	%	NA	ZSCPQ174_2013-10-19
IV2014030411281773	kruidlaag	Triglochin maritima L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ174_2013-10-19
IV2020032515092394	kruidlaag	Aster tripolium L.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2020032515092394	kruidlaag	Atriplex prostrata Boucher ex DC.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2020032515092394	kruidlaag	Cochlearia officinalis L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2020032515092394	kruidlaag	Festuca rubra L.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2020032515092394	kruidlaag	Glaux maritima L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2020032515092394	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2020032515092394	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2020032515092394	kruidlaag	Plantago maritima L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2020032515092394	kruidlaag	Puccinellia maritima (Huds.) Parl.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2020032515092394	kruidlaag	Scirpus maritimus L.	Soort_Latijn	30	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2020032515092394	kruidlaag	Spartina townsendii H. et J. Groves	Soort_Latijn	42	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2020032515092394	kruidlaag	Spergularia marina (L.) Besser	Soort_Latijn	1	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2020032515092394	kruidlaag	Triglochin maritima L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ174_2019-10-15
IV2014030411305777	kruidlaag	Aster tripolium L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ175_2013-10-19
IV2014030411305777	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ175_2013-10-19
IV2014030411305777	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	37	Percentage	%	NA	ZSCPQ175_2013-10-19
IV2014030411305777	kruidlaag	Puccinellia maritima (Huds.) Parl.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ175_2013-10-19
IV2014030411305777	kruidlaag	Scirpus maritimus L.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ175_2013-10-19
IV2014030411305777	kruidlaag	Spergularia marina (L.) Besser	Soort_Latijn	1	Percentage	%	NA	ZSCPQ175_2013-10-19
IV2014030411305777	kruidlaag	Triglochin maritima L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ175_2013-10-19
IV2020032514503255	kruidlaag	Aster tripolium L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ175_2019-10-15
IV2020032514503255	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	42	Percentage	%	NA	ZSCPQ175_2019-10-15
IV2020032514503255	kruidlaag	Scirpus maritimus L.	Soort_Latijn	22	Percentage	%	NA	ZSCPQ175_2019-10-15
IV2014030411101491	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	52	Percentage	%	NA	ZSCPQ176_2013-10-18
IV2014030411101491	kruidlaag	Aster tripolium L.	Soort_Latijn	17	Percentage	%	NA	ZSCPQ176_2013-10-18
IV2014030411101491	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	2	Percentage	%	NA	ZSCPQ176_2013-10-18
IV2014030411101491	kruidlaag	Festuca rubra L.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ176_2013-10-18
IV2014030411101491	kruidlaag	Glaux maritima L.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ176_2013-10-18
IV2014030411101491	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ176_2013-10-18
IV2014030411101491	kruidlaag	Puccinellia maritima (Huds.) Parl.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ176_2013-10-18
IV2014030411101491	kruidlaag	Scirpus maritimus L.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ176_2013-10-18
IV2014030411101491	kruidlaag	Triglochin maritima L.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ176_2013-10-18
IV2020032514014501	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ176_2019-10-14
IV2020032514014501	kruidlaag	Aster tripolium L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ176_2019-10-14
IV2020032514014501	kruidlaag	Atriplex prostrata Boucher ex DC.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ176_2019-10-14
IV2020032514014501	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	2	Percentage	%	NA	ZSCPQ176_2019-10-14
IV2020032514014501	kruidlaag	Festuca rubra L.	Soort_Latijn	32	Percentage	%	NA	ZSCPQ176_2019-10-14
IV2020032514014501	kruidlaag	Glaux maritima L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ176_2019-10-14
IV2020032514014501	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ176_2019-10-14
IV2020032514014501	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	42	Percentage	%	NA	ZSCPQ176_2019-10-14
IV2020032514014501	kruidlaag	Scirpus maritimus L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ176_2019-10-14
IV2020032514014501	kruidlaag	Triglochin maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ176_2019-10-14
IV2014030411130087	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	37	Percentage	%	NA	ZSCPQ177_2013-10-18
IV2014030411130087	kruidlaag	Aster tripolium L.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ177_2013-10-18
IV2014030411130087	kruidlaag	Festuca rubra L.	Soort_Latijn	22	Percentage	%	NA	ZSCPQ177_2013-10-18
IV2014030411130087	kruidlaag	Glaux maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ177_2013-10-18
IV2014030411130087	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	22	Percentage	%	NA	ZSCPQ177_2013-10-18
IV2014030411130087	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ177_2013-10-18
IV2014030411130087	kruidlaag	Plantago maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ177_2013-10-18
IV2014030411130087	kruidlaag	Triglochin maritima L.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ177_2013-10-18
IV2020032514175395	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ177_2019-10-14
IV2020032514175395	kruidlaag	Atriplex prostrata Boucher ex DC.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ177_2019-10-14
IV2020032514175395	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	7	Percentage	%	NA	ZSCPQ177_2019-10-14
IV2020032514175395	kruidlaag	Festuca rubra L.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ177_2019-10-14
IV2020032514175395	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	22	Percentage	%	NA	ZSCPQ177_2019-10-14
IV2020032514175395	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	52	Percentage	%	NA	ZSCPQ177_2019-10-14
IV2020032514175395	kruidlaag	Scirpus maritimus L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ177_2019-10-14
IV2020032514175395	kruidlaag	Triglochin maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ177_2019-10-14
IV2014030411161844	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	12	Percentage	%	NA	ZSCPQ178_2013-10-18
IV2014030411161844	kruidlaag	Aster tripolium L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ178_2013-10-18
IV2014030411161844	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	22	Percentage	%	NA	ZSCPQ178_2013-10-18
IV2014030411161844	kruidlaag	Festuca rubra L.	Soort_Latijn	47	Percentage	%	NA	ZSCPQ178_2013-10-18
IV2014030411161844	kruidlaag	Glaux maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ178_2013-10-18
IV2014030411161844	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	10	Percentage	%	NA	ZSCPQ178_2013-10-18
IV2014030411161844	kruidlaag	Puccinellia maritima (Huds.) Parl.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ178_2013-10-18
IV2014030411161844	kruidlaag	Scirpus maritimus L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ178_2013-10-18
IV2014030411161844	kruidlaag	Triglochin maritima L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ178_2013-10-18
IV2020032514154342	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	90	Percentage	%	NA	ZSCPQ178_2019-10-14
IV2020032514154342	kruidlaag	Festuca rubra L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ178_2019-10-14
IV2020032514154342	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ178_2019-10-14
IV2020032514154342	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ178_2019-10-14
IV2014030411195942	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	37	Percentage	%	NA	ZSCPQ179_2013-10-18
IV2014030411195942	kruidlaag	Aster tripolium L.	Soort_Latijn	22	Percentage	%	NA	ZSCPQ179_2013-10-18
IV2014030411195942	kruidlaag	Festuca rubra L.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ179_2013-10-18
IV2014030411195942	kruidlaag	Glaux maritima L.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ179_2013-10-18
IV2014030411195942	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	10	Percentage	%	NA	ZSCPQ179_2013-10-18
IV2014030411195942	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ179_2013-10-18
IV2014030411195942	kruidlaag	Plantago maritima L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ179_2013-10-18
IV2014030411195942	kruidlaag	Puccinellia maritima (Huds.) Parl.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ179_2013-10-18
IV2014030411195942	kruidlaag	Salicornia europaea L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ179_2013-10-18
IV2014030411195942	kruidlaag	Triglochin maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ179_2013-10-18
IV2020032514094179	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ179_2019-10-14
IV2020032514094179	kruidlaag	Atriplex prostrata Boucher ex DC.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ179_2019-10-14
IV2020032514094179	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	2	Percentage	%	NA	ZSCPQ179_2019-10-14
IV2020032514094179	kruidlaag	Festuca rubra L.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ179_2019-10-14
IV2020032514094179	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	87	Percentage	%	NA	ZSCPQ179_2019-10-14
IV2020032514094179	kruidlaag	Scirpus maritimus L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ179_2019-10-14
IV2020032514094179	kruidlaag	Triglochin maritima L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ179_2019-10-14
IV2014030411342143	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	47	Percentage	%	NA	ZSCPQ180_2013-10-19
IV2014030411342143	kruidlaag	Aster tripolium L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ180_2013-10-19
IV2014030411342143	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	4	Percentage	%	NA	ZSCPQ180_2013-10-19
IV2014030411342143	kruidlaag	Festuca rubra L.	Soort_Latijn	32	Percentage	%	NA	ZSCPQ180_2013-10-19
IV2014030411342143	kruidlaag	Glaux maritima L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ180_2013-10-19
IV2014030411342143	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	12	Percentage	%	NA	ZSCPQ180_2013-10-19
IV2014030411342143	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ180_2013-10-19
IV2014030411342143	kruidlaag	Plantago maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ180_2013-10-19
IV2014030411342143	kruidlaag	Puccinellia maritima (Huds.) Parl.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ180_2013-10-19
IV2014030411342143	kruidlaag	Triglochin maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ180_2013-10-19
IV2020032514270347	kruidlaag	Atriplex prostrata Boucher ex DC.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ180_2019-10-14
IV2020032514270347	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	12	Percentage	%	NA	ZSCPQ180_2019-10-14
IV2020032514270347	kruidlaag	Festuca rubra L.	Soort_Latijn	37	Percentage	%	NA	ZSCPQ180_2019-10-14
IV2020032514270347	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ180_2019-10-14
IV2020032514270347	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	52	Percentage	%	NA	ZSCPQ180_2019-10-14
IV2020032514270347	kruidlaag	Scirpus maritimus L.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ180_2019-10-14
IV2014030411471814	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	17	Percentage	%	NA	ZSCPQ181_2013-10-19
IV2014030411471814	kruidlaag	Aster tripolium L.	Soort_Latijn	4	Percentage	%	NA	ZSCPQ181_2013-10-19
IV2014030411471814	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	1	Percentage	%	NA	ZSCPQ181_2013-10-19
IV2014030411471814	kruidlaag	Festuca rubra L.	Soort_Latijn	67	Percentage	%	NA	ZSCPQ181_2013-10-19
IV2014030411471814	kruidlaag	Glaux maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ181_2013-10-19
IV2014030411471814	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ181_2013-10-19
IV2014030411471814	kruidlaag	Plantago maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ181_2013-10-19
IV2014030411471814	kruidlaag	Puccinellia maritima (Huds.) Parl.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ181_2013-10-19
IV2014030411471814	kruidlaag	Triglochin maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ181_2013-10-19
IV2020032514400472	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ181_2019-10-14
IV2020032514400472	kruidlaag	Aster tripolium L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ181_2019-10-14
IV2020032514400472	kruidlaag	Elymus athericus (Link) Kerguélen	Soort_Latijn	7	Percentage	%	NA	ZSCPQ181_2019-10-14
IV2020032514400472	kruidlaag	Festuca rubra L.	Soort_Latijn	62	Percentage	%	NA	ZSCPQ181_2019-10-14
IV2020032514400472	kruidlaag	Glaux maritima L.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ181_2019-10-14
IV2020032514400472	kruidlaag	Juncus gerardii Loisel.	Soort_Latijn	7	Percentage	%	NA	ZSCPQ181_2019-10-14
IV2020032514400472	kruidlaag	Phragmites australis (Cav.) Steud.	Soort_Latijn	17	Percentage	%	NA	ZSCPQ181_2019-10-14
IV2020032514400472	kruidlaag	Plantago maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ181_2019-10-14
IV2020032514400472	kruidlaag	Puccinellia maritima (Huds.) Parl.	Soort_Latijn	1	Percentage	%	NA	ZSCPQ181_2019-10-14
IV2020032514400472	kruidlaag	Triglochin maritima L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ181_2019-10-14
IV2014030411513397	kruidlaag	Agrostis stolonifera L.	Soort_Latijn	20	Percentage	%	NA	ZSCPQ182_2013-10-19
IV2014030411513397	kruidlaag	Aster tripolium L.	Soort_Latijn	2	Percentage	%	NA	ZSCPQ182_2013-10-19
