id	date	code_watersurfaces	in_sac	habitattype	habitatsubtype	lsvi	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind
IV2023082111165074	2019-07-04	WVLKNO0265	1	2190	3	ongunstig	RapportageHR	2	57.1428571428571	0.125595
IV2023082111154811	2019-07-04	WVLKNO0364	1	2190	3	gunstig	RapportageHR	0	85.7142857142857	0.771429
IV2024103113012908	2020-06-22	WVLKNO0022	1	2190	3	ongunstig	RapportageHR	1	85.7142857142857	0.492857
IV2024050817180034	2020-06-22	WVLKNO0058	1	2190	3	gunstig	RapportageHR	0	100	0.797619
IV2024050816160732	2020-06-25	WVLKNO0365	1	2190	3	ongunstig	RapportageHR	1	85.7142857142857	0.582143
IV2024050616295201	2020-06-29	WVLDEH0220	1	2190	3	gunstig	RapportageHR	0	100	0.944549
IV2024050817505134	2020-07-02	WVLDEP0070	1	2190	3	ongunstig	RapportageHR	2	71.4285714285714	0.567857
IV2024050817015004	2020-08-24	WVLKNO0205	1	2190	3	ongunstig	RapportageHR	1	83.3333333333333	0.666667
IV2024050817361534	2020-09-01	WVLBLA0206	1	2190	3	gunstig	RapportageHR	0	100	0.669048
IV2021103012361554	2015-06-25	LIMDST0108	1	3110	4	ongunstig	RapportageHR	1	83.3333333333333	0.325042
IV2018082413550581	2018-07-10	ANTTUR0296	1	3110	4	ongunstig	RapportageHR	2	66.6666666666667	0.322222
IV2019110514072203	2019-06-28	LIMZNH0338	1	3110	4	ongunstig	RapportageHR	1	66.6666666666667	0.183375
IV2021102812230455	2021-06-30	LIMDST0108	1	3110	4	ongunstig	RapportageHR	1	83.3333333333333	0.336153
IV2024011617081713	2022-06-27	LIMDST0108	1	3110	4	ongunstig	RapportageHR	2	66.6666666666667	0.186111
IV2023021917223249	2022-09-15	ANTTUR0296	1	3110	4	ongunstig	RapportageHR	3	50	-0.084259
IV2024011615375072	2023-10-02	ANTRAV0211	1	3110	4	ongunstig	RapportageHR	3	33.3333333333333	-0.178694
IV2024101009301586	2024-07-04	LIMZNH0379	1	3110	4	ongunstig	RapportageHR	3	33.3333333333333	-0.209524
IV2024101016063497	2024-07-10	LIMZNH0338	1	3110	4	ongunstig	RapportageHR	2	50	0.080556
IV2024101108161509	2024-07-15	LIMDST0108	1	3110	4	ongunstig	RapportageHR	1	83.3333333333333	0.269486
IV2021110111053005	2014-06-22	LIMHAS0462	1	3130	5	ongunstig	RapportageHR	1	83.3333333333333	0.522661
IV2021110111420298	2014-06-22	LIMHAS0541	1	3130	5	ongunstig	RapportageHR	1	83.3333333333333	0.31274
IV2021110118484771	2014-06-30	VBRSZI0235	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.181565
IV2021110118202844	2014-06-30	VBRSZI0277	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.174917
IV2021110116483324	2014-08-04	LIMZNH0238	1	3130	5	ongunstig	RapportageHR	4	33.3333333333333	-0.008069
IV2021102921453951	2014-08-10	LIMLUM0401	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.230597
IV2021110115180432	2014-08-27	LIMZNH0333	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.346867
IV2021110117385166	2014-09-05	ANTHST0507	1	3130	5	ongunstig	RapportageHR	3	50	0.220769
IV2021102612232857	2014-10-13	WVLJAB0174	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.30825
IV2021102611131279	2014-10-14	ANTMOL0720	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.361631
IV2021102614264540	2015-05-29	ANTTUR0301	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.380597
IV2021103012044059	2015-06-25	LIMDST0108	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.491708
IV2021110113293506	2015-08-21	VBRSZI0297	1	3130	5	ongunstig	RapportageHR	2	50	0.073148
IV2021102614135135	2016-06-30	LIMHHE0112	1	3130	5	ongunstig	RapportageHR	2	50	0.162608
IV2021102612312292	2016-07-19	LIMGNK0177	1	3130	5	ongunstig	RapportageHR	2	50	0.269089
IV2021102612572538	2016-07-22	LIMGNK0095	1	3130	5	ongunstig	RapportageHR	2	66.6666666666667	0.267634
IV2017120708015628	2016-07-25	LIMGNK0372	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.078968
IV2017062909012541	2016-08-04	LIMGNK0089	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.140163
IV2017042509124286	2016-08-25	ANTTUR0065	1	3130	5	ongunstig	RapportageHR	2	50	0.229764
IV2019042409415834	2016-08-26	WVLOSK0059	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.408375
IV2017032810082114	2016-08-31	LIMGNK0182	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.307804
IV2017032810490646	2016-09-09	ANTMOL0088	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.263097
IV2017040310093041	2016-09-12	ANTKAS0349	1	3130	5	ongunstig	RapportageHR	2	50	0.284565
IV2018082108175259	2016-09-13	LIMHAS0482	1	3130	5	ongunstig	RapportageHR	2	50	0.227778
IV2019042409264442	2016-09-14	WVLBRN0148	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.325835
IV2017042511154407	2016-09-15	ANTMOL0716	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.347264
IV2017040410525894	2016-09-15	ANTOTH0306	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.295677
IV2017072509005921	2016-09-16	LIMGNK0397	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.580597
IV2018082015012770	2016-09-20	LIMGNK0040	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.139898
IV2017121312021093	2016-09-20	LIMGNK0060	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.327694
IV2017040309554429	2016-09-21	ANTBSE0227	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	0.040386
IV2018030111095449	2016-09-21	LIMHAS0514	1	3130	5	ongunstig	RapportageHR	2	50	0.12
IV2017040310252958	2016-09-27	ANTMOL0607	1	3130	5	ongunstig	RapportageHR	2	50	0.135319
IV2017042510593494	2016-09-28	ANTHTS0151	1	3130	5	ongunstig	RapportageHR	2	50	0.044354
IV2021102611424540	2016-10-05	ANTKAS0467	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.127423
IV2017032010493372	2016-10-13	ANTLIL0547	1	3130	5	ongunstig	RapportageHR	2	50	0.068163
IV2017032011335845	2016-10-13	ANTMOL0555	1	3130	5	ongunstig	RapportageHR	3	50	0.044843
IV2017030215512887	2016-10-14	ANTLIL0362	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.550042
IV2018030109342549	2016-10-14	ANTLIL0528	1	3130	5	ongunstig	RapportageHR	2	66.6666666666667	0.285319
IV2017030812063258	2016-10-18	ANTKAS0030	1	3130	5	ongunstig	RapportageHR	2	50	-0.165824
IV2017032010360108	2016-10-20	ANTBSE0314	1	3130	5	ongunstig	RapportageHR	5	0	-0.496552
IV2017032010113891	2016-10-20	ANTOTH0015	1	3130	5	ongunstig	RapportageHR	2	50	0.28364
IV2017032011501490	2016-10-20	ANTTUR0082	1	3130	5	ongunstig	RapportageHR	2	50	-0.015514
IV2018030607421066	2017-06-23	ANTLIL0243	1	3130	5	ongunstig	RapportageHR	2	50	0.135317
IV2018102912480864	2017-06-29	ANTMEE0180	1	3130	5	ongunstig	RapportageHR	2	50	0.186905
IV2017120808375733	2017-07-07	VBRSZI0297	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.106111
IV2017120807491938	2017-07-14	ANTBSE0334	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.365875
IV2018090514203660	2017-07-17	ANTGEE0126	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.330635
IV2018120611280232	2017-07-20	LIMZNH0231	1	3130	5	ongunstig	RapportageHR	2	50	0.317593
IV2017120707423829	2017-07-26	ANTMOL0568	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.22213
IV2018022807290902	2017-08-04	OVLSTK0295	1	3130	5	ongunstig	RapportageHR	2	50	0.154546
IV2018083008425607	2017-08-08	LIMHEC0120	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.078745
IV2018120610203136	2017-08-11	LIMMSM0036	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.335665
IV2018020909145948	2017-08-18	ANTBCT0458	1	3130	5	ongunstig	RapportageHR	2	50	0.029679
IV2017120708120471	2017-08-28	LIMZNH0318	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.352423
IV2018082012595751	2017-08-28	LIMZNH0437	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.03845
IV2018020909312908	2017-09-06	ANTMOL0546	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	0.040714
IV2018020910244945	2017-09-06	ANTMOL0576	1	3130	5	ongunstig	RapportageHR	2	50	0.126944
IV2018120610032739	2017-09-11	LIMNEE0254	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.286111
IV2018110808573020	2017-09-13	ANTTUR0207	1	3130	5	ongunstig	RapportageHR	1	83.3333333333333	0.455597
IV2018022808000208	2017-09-15	ANTARE0025	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.427819
IV2018020911594119	2017-09-15	ANTRAV0230	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.037738
IV2018120608511578	2017-09-19	LIMHHE0315	1	3130	5	ongunstig	RapportageHR	2	50	0.103878
IV2018120609024241	2017-09-19	LIMMSK0113	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.372222
IV2018031612111040	2017-09-19	LIMZUT0080	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.366922
IV2018120608354839	2017-09-22	ANTBAL0715	1	3130	5	ongunstig	RapportageHR	2	50	0.212037
IV2017120707274258	2017-09-22	LIMMGR0376	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.460004
IV2017121311300313	2017-09-28	ANTRAV0052	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.106389
IV2018022809230402	2017-09-29	ANTBAA0036	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.243112
IV2018022808440555	2017-10-02	LIMHAS0281	0	3130	5	ongunstig	RapportageHR	2	50	0.003838
IV2018090510080311	2017-10-04	WVLRUI0009	1	3130	5	ongunstig	RapportageHR	1	83.3333333333333	0.39356
IV2018090510175155	2017-10-04	WVLWIN0255	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.236028
IV2018022808561819	2017-10-05	ANTKAS0463	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.191485
IV2018030110052976	2017-10-18	WVLBRN0392	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.383772
IV2018030110125920	2017-10-18	WVLBRN0422	1	3130	5	ongunstig	RapportageHR	2	66.6666666666667	0.302778
IV2018030110233140	2017-10-18	WVLOSK0273	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.469444
IV2017120807201262	2017-10-20	LIMZNH0477	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.303562
IV2018030109571495	2017-10-20	WVLBRN0148	1	3130	5	ongunstig	RapportageHR	2	50	0.148016
IV2018082110485943	2018-06-04	ANTRAV0369	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.291708
IV2018101613004118	2018-06-05	LIMLOM0234	1	3130	5	ongunstig	RapportageHR	2	50	0.190873
IV2018082215075182	2018-06-05	LIMLOM0239	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.135053
IV2018083010065136	2018-06-18	ANTOLE0052	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.208375
IV2018082308241033	2018-06-21	ANTHGS0622	0	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.099603
IV2018082311251393	2018-06-22	VBRDIE0443	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.028704
IV2018082412023259	2018-06-28	LIMHHE0008	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.224554
IV2018082414191907	2018-07-10	ANTTUR0296	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.522264
IV2018082708514386	2018-07-13	ANTTUR0304	1	3130	5	ongunstig	RapportageHR	2	50	0.287222
IV2018082712222671	2018-07-17	LIMLOM0030	0	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.419486
IV2018082808303101	2018-07-19	LIMHHE0002	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.380556
IV2018101514360810	2018-07-25	ANTWUU0153	1	3130	5	ongunstig	RapportageHR	2	50	0.346389
IV2018101611385572	2018-07-26	ANTRIJ0041	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.625042
IV2018083009353126	2018-08-01	LIMGNK0156	1	3130	5	ongunstig	RapportageHR	1	83.3333333333333	0.465915
IV2018090508595162	2018-08-01	LIMKIN0192	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.395189
IV2018090608472872	2018-08-03	LIMBIL0097	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.502819
IV2018091014594933	2018-08-24	ANTHTS0090	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.183466
IV2021110215074297	2018-09-06	OVLALT0332	1	3130	5	ongunstig	RapportageHR	2	50	0.126028
IV2018101613254663	2018-09-14	ANTKAS0008	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.026096
IV2018101613064311	2018-09-17	ANTKAS0501	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.075917
IV2018120609152559	2018-09-18	LIMHHE0322	1	3130	5	ongunstig	RapportageHR	2	50	0.11446
IV2018101612012319	2018-09-20	ANTBRS0068	0	3130	5	ongunstig	RapportageHR	2	50	0.255556
IV2018101005532264	2018-09-21	ANTARE0200	1	3130	5	ongunstig	RapportageHR	1	83.3333333333333	0.502819
IV2018101722034851	2018-09-24	ANTMEE0178	1	3130	5	ongunstig	RapportageHR	2	66.6666666666667	0.156788
IV2018101515285131	2018-09-24	VBRARS0052	1	3130	5	ongunstig	RapportageHR	2	50	0.134444
IV2018101613204036	2018-09-25	ANTESS0009	0	3130	5	ongunstig	RapportageHR	2	50	0.226944
IV2018101514513628	2018-09-28	ANTLIL0415	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	0.041759
IV2018101722193842	2018-10-03	OVLALT0344	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.257819
IV2018101206401783	2018-10-05	LIMMSK0007	1	3130	5	ongunstig	RapportageHR	2	50	0.149083
IV2019110513274182	2019-05-16	LIMLNK0245	1	3130	5	ongunstig	RapportageHR	3	50	0.159433
IV2019103119582918	2019-05-21	ANTBRS0179	1	3130	5	ongunstig	RapportageHR	2	50	0.290741
IV2019112914463370	2019-05-22	ANTKAS0474	1	3130	5	ongunstig	RapportageHR	2	50	0.08774
IV2019110510174735	2019-05-24	ANTHGS0569	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.215726
IV2019110510064438	2019-05-29	ANTKAS0268	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.188005
IV2019110508240678	2019-06-19	ANTLIL0293	1	3130	5	ongunstig	RapportageHR	2	50	-0.068602
IV2019110508292047	2019-06-20	ANTBSE0132	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.138492
IV2019103119474811	2019-06-20	ANTLIL0303	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.313806
IV2019110515035863	2019-06-24	LIMMSM0167	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.489104
IV2019110514294765	2019-06-27	LIMZNH0563	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.422264
IV2019110508094879	2019-07-01	ANTRAV0293	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	0.032143
IV2019110508522557	2019-07-01	ANTRAV0296	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.327646
IV2019111309075445	2019-07-02	WVLZNB0856	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.332581
IV2019103119325130	2019-07-03	ANTHGS0010	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.284607
IV2019103119284977	2019-07-03	ANTHGS0029	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.563931
IV2019111308423568	2019-07-03	ANTHST0479	1	3130	5	ongunstig	RapportageHR	2	50	0.255159
IV2019111308550924	2019-07-03	ANTHUL0218	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.458375
IV2019102916124425	2019-07-23	ANTGEE0854	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.18556
IV2019080912374366	2019-07-23	ANTLIL0004	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.394486
IV2019080913310713	2019-07-29	LIMHAS0619	1	3130	5	ongunstig	RapportageHR	1	83.3333333333333	0.398454
IV2019080913170487	2019-07-30	LIMZNH0065	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.022173
IV2019080913483666	2019-08-01	ANTMOL0152	1	3130	5	ongunstig	RapportageHR	1	83.3333333333333	0.463097
IV2019080910510887	2019-08-07	ANTMAL0060	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.480556
IV2019080914355110	2019-08-09	ANTWUU0140	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.33774
IV2019082910171726	2019-08-20	LIMGNK0103	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.37901
IV2019082913333356	2019-08-21	LIMHEC0537	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.288931
IV2019102914385814	2019-09-13	LIMGNK0142	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.202372
IV2019100112164262	2019-09-16	ANTRIJ0308	1	3130	5	ongunstig	RapportageHR	2	50	0.263889
IV2019100111311608	2019-09-18	ANTBSE0338	1	3130	5	ongunstig	RapportageHR	2	50	0.089917
IV2019100112032024	2019-09-25	VBRARS0370	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.283201
IV2019100407044021	2019-09-27	ANTBRS0178	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.261153
IV2019100407203298	2019-10-02	LIMLNK0237	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.150397
IV2020100215294974	2019-10-07	LIMBRE0285	1	3130	5	ongunstig	RapportageHR	2	50	0.0825
IV2019102909140237	2019-10-08	ANTBSE0215	1	3130	5	ongunstig	RapportageHR	2	50	0.210278
IV2019102908381915	2019-10-21	ANTSIL0322	0	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.230597
IV2020100710090942	2020-08-04	LIMHHE0330	1	3130	5	ongunstig	RapportageHR	2	50	0.056266
IV2020092915410663	2020-08-12	LIMHHE0114	0	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.519444
IV2021031216023741	2020-09-07	LIMHHE0286	0	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.098452
IV2020092215474759	2020-09-15	ANTMOL0143	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.271708
IV2020101917263372	2020-10-16	ANTMOL0068	0	3130	5	ongunstig	RapportageHR	2	50	0.146583
IV2021102812130840	2021-06-30	LIMDST0108	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.569486
IV2021102616213333	2021-08-02	WVLHOU0552	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	0.000397
IV2021102616120779	2021-08-02	WVLHOU0561	1	3130	5	ongunstig	RapportageHR	2	50	0.170637
IV2021102616572165	2021-10-08	ANTBSE0159	1	3130	5	ongunstig	RapportageHR	2	50	0.144444
IV2021102616452377	2021-10-08	ANTBSE0227	1	3130	5	ongunstig	RapportageHR	2	50	-0.039509
IV2021102616365243	2021-10-08	ANTBSE0399	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.277819
IV2022062815495429	2022-06-27	LIMDST0108	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.413931
IV2023022217015420	2022-07-29	ANTTUR0046	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.245412
IV2023013118230580	2022-08-31	ANTRAV0230	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.497264
IV2023011815411225	2022-09-02	ANTTUR0305	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.139019
IV2023011816353523	2022-09-05	ANTMRK0177	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.15921
IV2023013118450570	2022-09-05	ANTTUR0287	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.120454
IV2023013118354057	2022-09-06	ANTTUR0079	0	3130	5	gunstig	RapportageHR	0	100	0.663931
IV2023021916583657	2022-09-15	ANTTUR0296	1	3130	5	ongunstig	RapportageHR	2	66.6666666666667	0.175306
IV2023021918121597	2022-09-23	ANTTUR0018	1	3130	5	ongunstig	RapportageHR	2	50	-0.016353
IV2023022021291831	2022-10-05	ANTTUR0065	1	3130	5	ongunstig	RapportageHR	2	50	0.112171
IV2023022014013448	2022-10-10	ANTTUR0301	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.319486
IV2023022012171902	2022-10-11	ANTTUR0304	1	3130	5	ongunstig	RapportageHR	2	50	0.163931
IV2023080815234865	2023-06-12	ANTTUR0292	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.169974
IV2023080416412548	2023-06-16	ANTTUR0282	1	3130	5	ongunstig	RapportageHR	2	66.6666666666667	0.19528
IV2023080815183867	2023-06-27	ANTTUR0257	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.213806
IV2023080415543240	2023-06-30	ANTTUR0295	1	3130	5	ongunstig	RapportageHR	2	50	0.251629
IV2023080114160589	2023-07-03	ANTTUR0270	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.252819
IV2023080114033170	2023-07-04	ANTTUR0273	1	3130	5	ongunstig	RapportageHR	2	50	-0.003417
IV2023080111442513	2023-07-10	ANTRAV0122	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.202694
IV2023081715093855	2023-07-12	ANTTUR0077	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.181391
IV2023080114302616	2023-07-15	ANTTUR0022	1	3130	5	ongunstig	RapportageHR	2	50	-0.135401
IV2023080814421597	2023-07-18	ANTOTH0306	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.267105
IV2023080416335934	2023-07-18	ANTTUR0299	1	3130	5	ongunstig	RapportageHR	2	50	0.025042
IV2023080814544190	2023-07-19	ANTTUR0082	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.369486
IV2023080416151193	2023-07-19	ANTTUR0300	1	3130	5	gunstig	RapportageHR	0	83.3333333333333	0.572264
IV2023080115000115	2023-07-19	ANTTUR0302	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.287921
IV2023080814565876	2023-07-26	ANTRAV0134	0	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.236153
IV2023080416161818	2023-07-26	ANTRAV0293	1	3130	5	ongunstig	RapportageHR	2	50	0.101232
IV2023083109032178	2023-08-25	ANTKAL0344	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.095858
IV2024011713062687	2023-09-20	ANTRAV0052	1	3130	5	ongunstig	RapportageHR	4	16.6666666666667	-0.297831
IV2023112914101130	2023-09-28	LIMHHE0002	1	3130	5	gunstig	RapportageHR	0	100	0.686153
IV2024011616134474	2023-10-02	ANTRAV0211	1	3130	5	ongunstig	RapportageHR	1	66.6666666666667	0.404764
IV2024120416361179	2023-10-09	ANTOTH0324	1	3130	5	ongunstig	RapportageHR	3	33.3333333333333	-0.114683
