id	date	segment_id	x	y	in_sac	habitattype	habitatsubtype	lsvi	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind
IV2017103112000030	2017-07-18	1_4_603	184630.44163253	208996.030208089	1	3	3	ongunstig	RapportageHR	2	40	-0.208168
IV2017103112000034	2017-08-17	1_4_1198	208236.035624923	210749.239289765	0	3	3	ongunstig	RapportageHR	2	40	-0.083902
IV2017103112000033	2017-08-17	1_4_565	203662.999533218	209629.004510741	0	3	3	ongunstig	RapportageHR	2	40	-0.121701
IV2017103112000035	2017-08-21	1_4_1811	243005.00704556	176670.640180612	1	3	3	ongunstig	RapportageHR	2	40	-0.055239
IV2017103112000036	2017-08-21	1_4_1824	243401.527652322	177860.968257019	1	3	3	ongunstig	RapportageHR	1	60	0.19009
IV2017103112000037	2017-09-05	1_4_188	248161.712292655	188823.141646463	1	3	3	ongunstig	RapportageHR	2	40	-0.053238
IV2017103112000039	2017-09-05	1_4_191	248134.10734008	188525.677971488	1	3	3	ongunstig	RapportageHR	2	40	-0.198568
IV2017103112000040	2017-09-05	1_4_207	247213.856669733	187245.571708029	1	3	3	ongunstig	RapportageHR	1	60	0.293428
IV2017103112000038	2017-09-05	1_4_208	247171.926117005	187154.854190945	1	3	3	ongunstig	RapportageHR	2	40	0.02007
IV2018120312000001	2018-05-24	1_4_1320	197019.227887365	218119.850846635	0	3	3	ongunstig	RapportageHR	2	40	-0.291901
IV2018120312000008	2018-07-17	1_4_1320	197019.227887365	218119.850846635	0	3	3	ongunstig	RapportageHR	1	60	0.071667
IV2018120312000007	2018-07-17	1_4_1458	202424.074688945	217095.369177338	1	3	3	ongunstig	RapportageHR	2	40	-0.162568
IV2018120312000011	2018-07-18	1_4_882	211215.154915481	204948.331567222	1	3	3	ongunstig	RapportageHR	2	40	-0.211381
IV2018120312000019	2018-08-06	1_4_359	245580.983018907	161040.007576011	1	3	3	gunstig	RapportageHR	0	100	0.413333
IV2018120312000021	2018-08-08	1_4_114	248392.999160942	195090.373700464	1	3	3	ongunstig	RapportageHR	1	60	0.291432
IV2018120312000023	2018-08-08	1_4_118	248393.357851388	194692.692489856	1	3	3	ongunstig	RapportageHR	1	60	0.173333
IV2018120312000024	2018-08-08	1_4_200	247577.681163701	187835.593127091	1	3	3	ongunstig	RapportageHR	1	60	0.126867
IV2018120312000032	2018-10-04	1_4_1815	243237.792239143	176989.838560956	1	3	3	ongunstig	RapportageHR	2	60	0.192922
IV2018120312000030	2018-10-04	1_4_1859	245486.05956522	179315.691653374	1	3	3	ongunstig	RapportageHR	3	20	-0.312853
IV2018120312000029	2018-10-04	1_4_270	246741.718490189	184338.787756978	1	3	3	ongunstig	RapportageHR	1	60	0.143408
IV2018120312000031	2018-10-04	1_4_292	247113.582403564	182946.610133904	1	3	3	ongunstig	RapportageHR	2	40	0.256098
IV2019091112000002	2019-05-24	1_4_1535	207480.521955453	205708.701729862	1	3	3	ongunstig	RapportageHR	1	60	0.24
IV2019091112000009	2019-05-27	1_4_404	229115.957464714	209081.378646948	0	3	3	gunstig	RapportageHR	0	100	0.66
IV2019091112000011	2019-05-28	1_4_1008	74266.9406012702	200677.338872489	1	3	3	ongunstig	RapportageHR	2	40	-0.144524
IV2019091112000021	2019-07-02	1_4_1041	250076.544194578	161383.866310515	1	3	3	ongunstig	RapportageHR	1	80	0.453333
IV2019091112000019	2019-07-02	1_4_9	246975.485625697	162158.35522127	1	3	3	ongunstig	RapportageHR	1	80	0.353333
IV2019091112000023	2019-07-03	1_4_1535	207480.521955453	205708.701729862	1	3	3	ongunstig	RapportageHR	2	60	0.144766
IV2019091112000027	2019-07-04	1_4_404	229115.957464714	209081.378646948	0	3	3	ongunstig	RapportageHR	1	80	0.558095
IV2019091112000041	2019-08-14	1_4_1810	242930.5889602	176604.622903519	1	3	3	ongunstig	RapportageHR	2	40	-0.330234
IV2019091112000040	2019-08-14	1_4_1852	245288.116320778	178665.027795414	1	3	3	ongunstig	RapportageHR	3	20	-0.272286
IV2019091112000042	2019-08-14	1_4_259	245884.08758324	183716.280784997	1	3	3	ongunstig	RapportageHR	1	60	0.36
IV2019091112000039	2019-08-14	1_4_317	242803.093440893	161362.519688315	1	3	3	ongunstig	RapportageHR	2	40	-0.108468
IV2019091112000044	2019-08-16	1_4_128	248118.522157928	193739.044438496	1	3	3	ongunstig	RapportageHR	3	20	-0.321425
IV2019091112000046	2019-08-16	1_4_173	248250.006393243	190286.279402453	1	3	3	ongunstig	RapportageHR	1	60	0.026867
IV2019091112000043	2019-08-16	1_4_969	253229.999812524	203955.004681312	1	3	3	gunstig	RapportageHR	0	80	0.66
IV2020092312000000	2020-06-10	1_4_1556	209016.199565875	206116.504254056	1	3	3	ongunstig	RapportageHR	2	40	-0.065234
IV2020092312000002	2020-06-11	1_7_31111	206939.699920378	205395.404548859	1	3	3	ongunstig	RapportageHR	2	40	-0.168568
IV2020092312000003	2020-06-11	1_7_3419	228740.399491338	210508.004553716	1	3	3	ongunstig	RapportageHR	1	80	0.52
IV2020092312000004	2020-06-11	1_7_3424	228669.999455934	210970.004557601	1	3	3	ongunstig	RapportageHR	1	60	0.0602
IV2020092312000009	2020-06-26	1_7_121104	74883.2597695951	200027.504915406	1	3	3	gunstig	RapportageHR	0	100	0.333333
IV2020092312000014	2020-07-06	1_7_171136	203227.999448416	191966.004467277	1	3	3	ongunstig	RapportageHR	1	60	0.156667
IV2020092312000015	2020-07-06	1_7_171136	203151.899314915	191903.105093004	1	3	3	ongunstig	RapportageHR	2	40	-0.004286
IV2020092312000013	2020-07-06	1_7_31125	207856.999806714	203884.005055716	1	3	3	ongunstig	RapportageHR	1	60	0.031667
IV2020092312000020	2020-07-09	1_7_114570	238857.399913657	181178.504814877	1	3	3	gunstig	RapportageHR	0	100	0.476667
IV2020092312000016	2020-07-09	1_7_19326	221617.599575304	201378.404691552	1	3	3	ongunstig	RapportageHR	2	60	0.05
IV2020092312000017	2020-07-09	1_7_19473	221778.89937298	201796.204322035	1	3	3	ongunstig	RapportageHR	2	60	0.251429
IV2020092312000019	2020-07-09	1_7_27889	239548.999548622	201875.504711662	1	3	3	ongunstig	RapportageHR	2	40	0.094766
IV2020092312000021	2020-07-10	1_4_1037	249827.999812856	161505.004936386	1	3	3	ongunstig	RapportageHR	1	80	0.444766
IV2020092312000025	2020-07-30	1_7_11707	178305.299976167	209663.604591756	1	3	3	ongunstig	RapportageHR	3	20	-0.363091
IV2020092312000026	2020-07-30	1_7_20555	223963.099779015	218233.304279397	1	3	3	ongunstig	RapportageHR	2	40	0.026752
IV2020092312000028	2020-08-03	1_4_1556	209016.199565875	206116.504254056	1	3	3	ongunstig	RapportageHR	3	20	-0.318853
IV2020092312000029	2020-08-03	1_7_31111	206939.699920378	205395.404548859	1	3	3	ongunstig	RapportageHR	3	20	-0.12571
IV2020092312000030	2020-08-03	1_7_3419	228740.399491338	210508.004553716	1	3	3	gunstig	RapportageHR	0	100	0.51
IV2020092312000031	2020-08-03	1_7_3424	228669.999455934	210970.004557601	1	3	3	ongunstig	RapportageHR	1	60	-0.006467
IV2020092312000034	2020-08-19	1_7_20150	246529.999330423	181616.30462075	1	3	3	ongunstig	RapportageHR	1	60	0.102
IV2020092312000033	2020-08-19	1_7_20152	246593.699796126	181806.004278121	1	3	3	ongunstig	RapportageHR	1	60	0.005
IV2020092312000032	2020-08-19	1_7_20153	246631.499744348	181898.804533043	1	3	3	ongunstig	RapportageHR	3	20	-0.193091
IV2020092312000036	2020-08-20	1_7_7733	249112.599793168	195569.205201367	1	3	3	ongunstig	RapportageHR	2	40	-0.001901
IV2020092312000038	2020-08-20	1_7_7743	250024.699442763	195291.005119487	1	3	3	ongunstig	RapportageHR	2	40	0.057381
IV2020092312000039	2020-08-20	1_7_8851	251076.099310557	199397.30484582	1	3	3	ongunstig	RapportageHR	2	40	0.051432
IV2020092312000037	2020-08-20	1_7_8855	251440.49939094	199236.104316685	1	3	3	ongunstig	RapportageHR	1	60	0.326667
IV2021082512000000	2021-07-05	1_4_593	231009.529205517	187438.782337049	0	3	3	ongunstig	RapportageHR	1	80	0.586667
IV2021082512000001	2021-07-05	1_4_73	225718.976975038	199456.457882241	0	3	3	ongunstig	RapportageHR	3	20	-0.393282
IV2021082512000003	2021-07-05	1_7_140445	229060.088425872	208054.861939956	0	3	3	ongunstig	RapportageHR	1	60	0.130667
IV2021082512000005	2021-07-06	1_7_55005	215671.397633918	208736.26734862	0	3	3	ongunstig	RapportageHR	2	40	0.084762
IV2021082512000004	2021-07-06	1_7_55007	215473.637151449	208705.018826024	0	3	3	ongunstig	RapportageHR	2	40	0.204762
IV2021082512000010	2021-07-07	1_4_1179	206504.781095699	210593.401228245	0	3	3	ongunstig	RapportageHR	1	80	0.408099
IV2021082512000012	2021-07-07	1_7_34547	205018.216476157	210236.212437557	0	3	3	ongunstig	RapportageHR	1	60	0.168667
IV2021082512000014	2021-07-08	1_7_30980	197118.089755845	218240.133759731	0	3	3	ongunstig	RapportageHR	1	60	0.086667
IV2021082512000015	2021-07-19	1_4_1139	153281.339441791	226346.73724815	0	3	3	ongunstig	RapportageHR	2	60	0.187659
IV2021082512000020	2021-07-22	1_4_1434	200186.63843492	220139.402002167	0	3	3	ongunstig	RapportageHR	3	20	-0.237615
IV2021082512000022	2021-07-23	1_4_24	251834.149776505	160681.434783337	0	3	3	ongunstig	RapportageHR	1	80	0.493333
IV2021082512000023	2021-07-26	1_4_63	226051.814666313	200386.046359104	0	3	3	ongunstig	RapportageHR	2	40	-0.092181
IV2021082512000026	2021-07-27	1_4_1358	86343.4148653179	208726.841257649	0	3	3	ongunstig	RapportageHR	2	40	-0.086568
IV2021082512000027	2021-07-27	1_4_1466	81260.7713080942	212915.406608718	0	3	3	ongunstig	RapportageHR	3	40	-0.074282
IV2022082412000002	2022-05-31	1_4_516	239836.854088884	202028.930752886	1	3	3	gunstig	RapportageHR	0	100	0.76
IV2022082412000004	2022-06-02	1_4_1172	205843.099520552	210444.904076182	0	3	3	ongunstig	RapportageHR	2	60	0.178099
IV2022082412000003	2022-06-02	1_4_1189	207415.883227345	210723.594188728	0	3	3	ongunstig	RapportageHR	1	80	0.398099
IV2022082412000006	2022-06-03	1_4_772_a	228215.265245635	179698.594904362	0	3	3	ongunstig	RapportageHR	1	60	0.123333
IV2022082412000016	2022-07-05	1_4_31	252131.102006097	160063.71104376	0	3	3	ongunstig	RapportageHR	2	40	-0.195034
IV2022082412000017	2022-07-06	1_4_1088	186946.12741887	232226.780156411	1	3	3	ongunstig	RapportageHR	3	20	-0.394082
IV2022082412000021	2022-07-15	1_4_1110	223798.599953163	217741.604918798	1	3	3	ongunstig	RapportageHR	2	40	-0.045234
IV2022082412000020	2022-07-15	1_4_1117	223461.299676664	217154.104729515	1	3	3	ongunstig	RapportageHR	2	40	0.018099
IV2022082412000019	2022-07-15	1_4_783	223429.041085204	215625.674822221	1	3	3	ongunstig	RapportageHR	2	40	0.033099
IV2022082412000025	2022-07-28	1_7_8873	252574.753651564	200036.229087009	1	3	3	ongunstig	RapportageHR	3	40	0.015146
IV2022082412000024	2022-07-28	1_7_8876	252528.255896466	200330.52972809	1	3	3	ongunstig	RapportageHR	3	40	0.147147
IV2022082412000023	2022-07-28	1_7_8910	252911.499589914	203305.804826157	1	3	3	ongunstig	RapportageHR	1	60	0.306667
IV2023082312000000	2023-06-22	1_4_1515	175351.36	236847.31	0	3	3	ongunstig	RapportageHR	3	20	-0.398996
IV2023082312000005	2023-06-28	1_4_55	242952.86	197998.7	1	3	3	ongunstig	RapportageHR	1	60	0.162
IV2023082312000008	2023-07-03	1_4_1041	250076.54	161383.86	1	3	3	ongunstig	RapportageHR	1	80	0.46
IV2023082312000011	2023-07-04	1_4_1166	205330.59	210333.08	0	3	3	ongunstig	RapportageHR	3	20	-0.072853
IV2023082312000012	2023-07-04	1_4_1198	208236.04	210749.24	0	3	3	ongunstig	RapportageHR	4	0	-0.439044
IV2023082312000010	2023-07-04	1_4_565	203779.35	209650.2	0	3	3	ongunstig	RapportageHR	2	40	-0.010234
IV2023082312000016	2023-08-11	1_4_1393	199781.7	203276.77	1	3	3	ongunstig	RapportageHR	2	40	0.029766
IV2023082312000015	2023-08-11	1_4_603	184630.44	208996.03	1	3	3	ongunstig	RapportageHR	1	60	0.066867
IV2023082312000021	2023-08-14	1_4_1810	242930.59	176604.62	1	3	3	ongunstig	RapportageHR	3	20	-0.298844
IV2023082312000020	2023-08-14	1_4_1811	243004.99994164	176670.604450895	1	3	3	ongunstig	RapportageHR	3	20	-0.355987
IV2023082312000018	2023-08-14	1_4_1815	243237.79	176989.83	1	3	3	ongunstig	RapportageHR	3	20	-0.277891
IV2023082312000019	2023-08-14	1_4_1824	243401.499567028	177861.004470349	1	3	3	ongunstig	RapportageHR	1	60	0.458099
IV2023082312000025	2023-08-16	1_4_1859	245486.06	179315.69	1	3	3	ongunstig	RapportageHR	2	40	-0.149124
IV2023082312000024	2023-08-16	1_4_259	245884.09	183716.28	1	3	3	ongunstig	RapportageHR	1	60	0.386667
IV2023082312000023	2023-08-16	1_4_270	246741.72	184338.78	1	3	3	ongunstig	RapportageHR	2	40	-0.008368
IV2023082312000022	2023-08-16	1_4_292	247113.58	182946.61	1	3	3	ongunstig	RapportageHR	1	60	0.188667
IV2023082312000026	2023-08-17	1_4_188	248161.71	188823.14	1	3	3	ongunstig	RapportageHR	2	40	0.076432
IV2023082312000027	2023-08-17	1_4_191	248134.11	188525.67	1	3	3	ongunstig	RapportageHR	2	40	-0.015034
IV2023082312000030	2023-08-17	1_4_207	247213.86	187245.57	1	3	3	ongunstig	RapportageHR	2	40	0.024766
IV2023082312000029	2023-08-17	1_4_208	247171.93	187154.85	1	3	3	ongunstig	RapportageHR	2	40	0.238099
IV2023082312000031	2023-08-18	1_4_114	248393	195090.37	1	3	3	ongunstig	RapportageHR	1	60	0.390095
IV2023082312000032	2023-08-18	1_4_118	248393.36	194692.69	1	3	3	ongunstig	RapportageHR	2	40	0.038099
IV2023082312000033	2023-08-18	1_4_128	248118.52	193739.04	1	3	3	ongunstig	RapportageHR	2	40	0.144766
IV2023082312000034	2023-08-18	1_4_173	248250.01	190286.27	1	3	3	ongunstig	RapportageHR	2	40	-0.074634
IV2024091612000002	2024-06-07	1_7_121104	74883.4911603575	200028.320236701	1	3	3	gunstig	RapportageHR	0	100	0.666667
IV2024091612000003	2024-06-10	1_4_1143	153679.299391214	226383.305010704	0	3	3	ongunstig	RapportageHR	1	60	0.402096
IV2024091612000008	2024-06-25	1_7_34547	205018.216476157	210236.212437557	0	3	3	ongunstig	RapportageHR	1	60	0.206667
IV2024091612000007	2024-06-25	1_7_55005	215671.397633918	208736.26734862	0	3	3	ongunstig	RapportageHR	1	60	0.070667
IV2024091612000006	2024-06-25	1_7_55007	215473.637151449	208705.018826024	0	3	3	ongunstig	RapportageHR	1	60	0.056667
IV2024091612000010	2024-07-04	1_4_593	231009.529205517	187438.782337049	0	3	3	ongunstig	RapportageHR	1	60	0.386667
IV2024091612000013	2024-07-05	1_7_19326	221618.027088845	201378.072129377	1	3	3	ongunstig	RapportageHR	3	20	0.017143
IV2024091612000015	2024-07-05	1_7_3419	228740.907289993	210507.627281138	1	3	3	ongunstig	RapportageHR	1	60	0.176667
IV2024091612000016	2024-07-08	1_4_838	199502.51226118	215644.861950796	1	3	3	ongunstig	RapportageHR	1	60	0.262
IV2024091612000019	2024-08-13	1_4_1037	249828.149179748	161504.405209271	1	3	3	ongunstig	RapportageHR	1	60	0.068667
IV2024091612000023	2024-08-13	1_4_1556	209016.648993599	206116.276276665	1	3	3	ongunstig	RapportageHR	3	20	-0.30171
IV2024091612000020	2024-08-13	1_7_114570	238857.399913657	181178.504814877	1	3	3	gunstig	RapportageHR	0	100	0.626667
IV2024091612000021	2024-08-13	1_7_27889	239549.452541166	201875.032847825	1	3	3	gunstig	RapportageHR	0	100	0.666667
IV2024091612000022	2024-08-13	1_7_3424	228670.510829264	210969.628445173	1	3	3	ongunstig	RapportageHR	1	60	0.130667
IV2024091612000026	2024-08-14	1_7_11707	178305.739187148	209663.620786816	1	3	3	ongunstig	RapportageHR	1	60	0.186667
IV2024091612000024	2024-08-14	1_7_31111	206940.140803342	205395.191541378	1	3	3	ongunstig	RapportageHR	2	40	0.091429
IV2024091612000027	2024-08-21	1_4_969	253229.999812524	203955.004681312	1	3	3	gunstig	RapportageHR	0	80	0.506667
IV2024091612000029	2024-08-21	1_7_8845	250498.545409694	199298.644447339	1	3	3	ongunstig	RapportageHR	1	60	0.226667
IV2024091612000028	2024-08-21	1_7_8899	251874.176541968	203065.538115813	1	3	3	ongunstig	RapportageHR	1	60	0.484766
