ID	survey	record_id_square	record_id_circle	date	type_observed	subtype_defined	type_cover	type_cover_all	is_type_target	is_maintype_target	any_type_target	n_type_target	cover_target	Habitattype
107830_2018-05-30	N2000meetnet_Moeras_BHM	IV2019020510571326	IV2019020510392459	17681	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
10840262_2019-07-08	N2000meetnet_Grasland_BHM	IV2020032117454182	IV2020032117163034	18085	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1085366_2017-07-31	N2000meetnet_Grasland_BHM	IV2018030415500950	IV2018030414484080	17378	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1087350_2016-09-20	N2000meetnet_Moerassen	IV2017021710262223	IV2017021710141595	17064	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1095890_2018-07-12	N2000meetnet_Grasland_BHM	IV2019030509590498	IV2019030509454267	17724	6230_ha	1	50	50% 6230_ha; 50% 6230_hn	1	1	1	2	100	6230_ha
1095890_2018-07-12	N2000meetnet_Grasland_BHM	IV2019030509590498	IV2019030509454267	17724	6230_hn	1	50	50% 6230_ha; 50% 6230_hn	1	1	1	2	100	6230_hn
1097222_2018-06-05	anb	1097222_2018-06-05	1097222_2018-06-05	17687	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1107666_2018-06-19	N2000meetnet_Grasland_BHM	IV2019031108341174	IV2019031108122062	17701	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
11142674_2019-07-03	N2000meetnet_Grasland_BHM	IV2020031709214044	IV2020031709322618	18080	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1115122_2016-08-25	N2000meetnet_Grasland	IV2017013015085454	IV2017013013460448	17038	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1117877_2015-08-20	N2000meetnet_Grasland	IV2017010616415877	IV2017010616345212	16667	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1117877_2022-09-20	N2000meetnet_Grasland_BHM	IV2022092721014029	IV2022092720593559	19255	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1119506_2016-06-14	anb	1119506_2016-06-14	1119506_2016-06-14	16966	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
1119506_2023-06-06	anb	1119506_2023-06-06	1119506_2023-06-06	19514	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
11228210_2019-06-19	N2000meetnet_Grasland_BHM	IV2020031211135033	IV2020031211271709	18066	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1132201_2017-07-10	N2000meetnet_Moeras_BHM	IV2020032712091388	IV2020032711173507	17357	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1132201_2024-06-26	N2000meetnet_Moeras_BHM	IV2024062806502664	IV2024062806492433	19900	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1132838_2018-05-23	anb	1132838_2018-05-23	1132838_2018-05-23	17674	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
11343122_2020-05-26	anb	11343122_2020-05-26	11343122_2020-05-26	18408	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
1135826_2018-07-12	N2000meetnet_Grasland_BHM	IV2019030510520410	IV2019030510462717	17724	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
11394098_2019-07-05	N2000meetnet_Grasland_BHM	IV2020032310004475	IV2020032308205723	18082	6410	0	100	100% 6410	0	1	0	0	0	6410_mo
1140434_2017-07-04	N2000meetnet_Moeras_BHM	IV2018030719244841	IV2018030719161925	17351	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
11466886_2019-07-08	N2000meetnet_Grasland_BHM	IV2020032010352445	IV2020032010333167	18085	6410	0	100	100% 6410	0	1	0	0	0	6410_mo
1150886_2016-07-19	N2000meetnet_Grasland	IV2017012620054742	IV2017012615432844	17001	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1150886_2023-06-28	N2000meetnet_Grasland_BHM	IV2023062814065927	IV2023062813235982	19536	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1152657_2014-05-30	anb	1152657_2014-05-30	1152657_2014-05-30	16220	6510_huk	1	NA	NA	1	1	1	1	NA	6510_huk
1152657_2022-05-31	anb	1152657_2022-05-31	1152657_2022-05-31	19143	6510_hua	1	NA	NA	1	1	1	1	NA	6510_hua
1156230_2015-06-09	N2000meetnet_Grasland	IV2017022213011877	IV2017022212325377	16595	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1156230_2022-06-24	N2000meetnet_Grasland_BHM	IV2022062707580424	IV2022062707565650	19167	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1163750_2018-05-25	anb	1163750_2018-05-25	1163750_2018-05-25	17676	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
116950_2016-09-06	N2000meetnet_Grasland	IV2017012013095674	IV2017012013020416	17050	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
116950_2023-07-16	N2000meetnet_Grasland_BHM	IV2023112418265488	IV2023112418254905	19554	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1175794_2018-06-11	anb	1175794_2018-06-11	1175794_2018-06-11	17693	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1177233_2022-06-20	anb	1177233_2022-06-20	1177233_2022-06-20	19163	6510_hua	1	NA	NA	1	1	1	1	NA	6510_hua
118441_2016-06-13	anb	118441_2016-06-13	118441_2016-06-13	16965	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
118441_2022-06-09	anb	118441_2022-06-09	118441_2022-06-09	19152	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1185042_2020-05-18	anb	1185042_2020-05-18	1185042_2020-05-18	18400	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1201345_2018-06-13	anb	1201345_2018-06-13	1201345_2018-06-13	17695	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1212382_2018-06-27	N2000meetnet_Grasland_BHM	IV2019010306500942	IV2019010306473673	17709	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1216422_2016-07-19	N2000meetnet_Grasland	IV2017012620573892	IV2017012620463014	17001	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1217746_2018-07-12	N2000meetnet_Grasland_BHM	IV2019030507115159	IV2019030506553128	17724	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
12229422_2019-08-01	N2000meetnet_Grasland_BHM	IV2020021414132240	IV2020021413575834	18109	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
122549_2022-07-31	N2000meetnet_Grasland_BHM	IV2022092721103784	IV2022092721093873	19204	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1227910_2018-05-30	anb	1227910_2018-05-30	1227910_2018-05-30	17681	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
12457234_2020-05-18	anb	12457234_2020-05-18	12457234_2020-05-18	18400	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
1249582_2018-06-13	N2000meetnet_Grasland_BHM	IV2018121815460288	IV2018121815134218	17695	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1254486_2018-06-27	N2000meetnet_Grasland_BHM	IV2019022012591316	IV2019022012091414	17709	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1255122_2018-06-19	N2000meetnet_Grasland_BHM	IV2019020808585406	IV2019020716030884	17701	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1258422_2018-07-10	N2000meetnet_Moeras_BHM	IV2019020120260519	IV2019020120070464	17722	7140_meso	1	50	50% gh; 50% 7140_meso	1	1	1	1	50	7140_meso
1260481_2018-06-08	anb	1260481_2018-06-08	1260481_2018-06-08	17690	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1266738_2018-06-11	anb	1266738_2018-06-11	1266738_2018-06-11	17693	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1269030_2016-06-21	anb	1269030_2016-06-21	1269030_2016-06-21	16973	6510_huk	1	NA	NA	1	1	1	1	NA	6510_huk
1269458_2018-06-19	N2000meetnet_Grasland_BHM	IV2019020809510944	IV2019020809404178	17701	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1271122_2018-06-18	anb	1271122_2018-06-18	1271122_2018-06-18	17700	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
127218_2014-05-19	anb	127218_2014-05-19	127218_2014-05-19	16209	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
127218_2020-05-15	N2000_6510_droogte	IV2022052511293970	IV2022052511273430	18397	6510	0	100	100% 6510	0	1	0	0	0	6510_hu
127218_2020-05-15	N2000_6510_droogte	IV2022052511293970	IV2022052511273430	18397	6510	0	100	100% 6510	0	1	0	0	0	6510_hua
127218_2020-05-15	N2000_6510_droogte	IV2022052511293970	IV2022052511273430	18397	6510	0	100	100% 6510	0	1	0	0	0	6510_huk
127218_2020-05-15	N2000_6510_droogte	IV2022052511293970	IV2022052511273430	18397	6510	0	100	100% 6510	0	1	0	0	0	6510_hus
1280278_2014-05-27	anb	1280278_2014-05-27	1280278_2014-05-27	16217	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
1280278_2022-05-24	anb	1280278_2022-05-24	1280278_2022-05-24	19136	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
1286278_2015-06-25	N2000meetnet_Grasland	IV2017021018144986	IV2017021018002273	16611	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1286278_2022-07-04	N2000meetnet_Grasland_BHM	IV2022091211054406	IV2022091211043669	19177	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
128657_2022-06-20	anb	128657_2022-06-20	128657_2022-06-20	19163	6510_hua	1	NA	NA	1	1	1	1	NA	6510_hua
1300962_2018-06-20	anb	1300962_2018-06-20	1300962_2018-06-20	17702	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1305334_2021-08-19	N2000meetnet_Grasland_BHM	IV2022031013332985	IV2022031012392819	18858	6410	0	100	100% 6410	0	1	0	0	0	6410_mo
1322614_2018-07-05	N2000meetnet_Moeras_BHM	IV2019010407330134	IV2019010407172748	17717	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1328710_2018-06-06	anb	1328710_2018-06-06	1328710_2018-06-06	17688	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1346134_2016-08-24	N2000meetnet_Grasland	IV2017021416161173	IV2017021416061568	17037	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1348277_2017-09-29	N2000meetnet_Grasland_BHM	IV2017120108115051	IV2017120107565546	17438	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1355014_2018-06-06	anb	1355014_2018-06-06	1355014_2018-06-06	17688	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1359838_2018-06-27	N2000meetnet_Grasland_BHM	IV2019010219295713	IV2019010219160277	17709	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
136466_2016-06-15	anb	136466_2016-06-15	136466_2016-06-15	16967	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
136466_2023-06-06	anb	136466_2023-06-06	136466_2023-06-06	19514	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1367026_2017-06-30	N2000meetnet_Moeras_BHM	IV2018031009213148	IV2018031009120638	17347	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
1375542_2018-05-29	anb	1375542_2018-05-29	1375542_2018-05-29	17680	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1381569_2018-06-06	anb	1381569_2018-06-06	1381569_2018-06-06	17688	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1381569_2018-06-12	N2000meetnet_Grasland_BHM	IV2019021214520710	IV2019021214331564	17694	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1388150_2015-06-29	N2000meetnet_Moerassen	IV2017021513582966	IV2017021513460105	16615	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1388150_2022-08-18	N2000meetnet_Moeras_BHM	IV2022091211054136	IV2022091211043763	19222	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1390706_2020-05-28	anb	1390706_2020-05-28	1390706_2020-05-28	18410	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1392705_2018-06-12	N2000meetnet_Grasland_BHM	IV2018121218533825	IV2018121216433080	17694	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1395766_2019-05-27	N2000meetnet_Grasland_BHM	IV2020022714202521	IV2020022714073095	18043	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1397810_2018-06-07	anb	1397810_2018-06-07	1397810_2018-06-07	17689	6510	0	NA	NA	0	1	0	0	NA	6510_hu
1397810_2018-06-07	anb	1397810_2018-06-07	1397810_2018-06-07	17689	6510	0	NA	NA	0	1	0	0	NA	6510_hua
1397810_2018-06-07	anb	1397810_2018-06-07	1397810_2018-06-07	17689	6510	0	NA	NA	0	1	0	0	NA	6510_huk
1397810_2018-06-07	anb	1397810_2018-06-07	1397810_2018-06-07	17689	6510	0	NA	NA	0	1	0	0	NA	6510_hus
140241_2022-08-22	N2000meetnet_Grasland_BHM	IV2022092721054512	IV2022092721033629	19226	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1403657_2017-09-29	N2000meetnet_Grasland_BHM	IV2017120111004036	IV2017120109300668	17438	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1404382_2017-06-30	N2000meetnet_Moeras_BHM	IV2020032711023789	IV2020032710574043	17347	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
1405382_2018-06-05	anb	1405382_2018-06-05	1405382_2018-06-05	17687	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1409089_2018-06-12	N2000meetnet_Grasland_BHM	IV2018121817031507	IV2018121816405213	17694	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
141010_2016-08-18	N2000meetnet_Grasland	IV2017012521104081	IV2017012521020429	17031	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
141010_2023-07-05	N2000meetnet_Grasland_BHM	IV2023112211594876	IV2023112211585475	19543	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1414354_2018-07-12	N2000meetnet_Grasland_BHM	IV2019030507434490	IV2019030507344542	17724	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1425286_2019-07-08	N2000meetnet_Grasland_BHM	IV2020032014100838	IV2020032013483546	18085	6410	0	100	100% 6410	0	1	0	0	0	6410_mo
1428270_2017-06-26	N2000meetnet_Grasland_BHM	IV2017112913583445	IV2017112913404044	17343	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
143382_2016-05-30	anb	143382_2016-05-30	143382_2016-05-30	16951	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
143602_2016-07-01	N2000meetnet_Grasland	IV2017022415353736	IV2017022415170190	16983	6410	0	100	100% 6410	0	1	0	0	0	6410_mo
143602_2023-07-06	N2000meetnet_Grasland_BHM	IV2023112211595328	IV2023112211585000	19544	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1436718_2016-06-20	N2000meetnet_Grasland	IV2017012714021766	IV2017012713261758	16972	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1436718_2024-06-25	N2000meetnet_Grasland_BHM	IV2024062806512366	IV2024062806502611	19899	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1436882_2016-09-02	N2000meetnet_Grasland	IV2017011817212208	IV2017011816484258	17046	6230_hmo	1	50	40% 4030; 50% 6230_hmo; 10% 6230_hn	1	1	1	2	60	6230_hmo
1436882_2016-09-02	N2000meetnet_Grasland	IV2017011817212208	IV2017011816484258	17046	6230_hn	1	10	40% 4030; 50% 6230_hmo; 10% 6230_hn	1	1	1	2	60	6230_hn
1442745_2019-06-18	anb	1442745_2019-06-18	1442745_2019-06-18	18065	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1443378_2017-07-27	N2000meetnet_Grasland_BHM	IV2018030220035638	IV2018022813474152	17374	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1448238_2020-08-06	N2000meetnet_Grasland_BHM	IV2020092312173451	IV2020092312070259	18480	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1457206_2019-05-24	N2000meetnet_Grasland_BHM	IV2020022714040075	IV2020022713561914	18040	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1461001_2018-06-14	N2000meetnet_Grasland_BHM	IV2019011415092985	IV2019011414351048	17696	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1461001_2023-10-04	N2000meetnet_Grasland_BHM	IV2023112418265759	IV2023112418255019	19634	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1461302_2019-05-27	N2000meetnet_Grasland_BHM	IV2020022715135992	IV2020022715014341	18043	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1464626_2019-07-02	N2000meetnet_Grasland_BHM	IV2020031216444711	IV2020031216591855	18079	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1465330_2020-09-24	N2000meetnet_Moeras_BHM	IV2021010715314671	IV2021010715182964	18529	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
1468114_2017-07-10	N2000meetnet_Moeras_BHM	IV2018030719484292	IV2018030719311738	17357	7140_oli	1	70	30% 4010; 70% 7140_oli	1	1	1	1	70	7140_oli
1470454_2021-08-18	N2000meetnet_Moeras_BHM	IV2022030716265191	IV2022030716050881	18857	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
1470918_2018-06-05	anb	1470918_2018-06-05	1470918_2018-06-05	17687	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1474033_2018-06-14	anb	1474033_2018-06-14	1474033_2018-06-14	17696	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
1474526_2016-08-04	N2000meetnet_Grasland	IV2017021416585251	IV2017021416262329	17017	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1478129_2018-05-23	anb	1478129_2018-05-23	1478129_2018-05-23	17674	6510_hua	1	NA	NA	1	1	1	1	NA	6510_hua
1487746_2014-06-03	anb	1487746_2014-06-03	1487746_2014-06-03	16224	6510_huk	1	NA	NA	1	1	1	1	NA	6510_huk
1487746_2022-06-03	anb	1487746_2022-06-03	1487746_2022-06-03	19146	6510_huk	1	NA	NA	1	1	1	1	NA	6510_huk
1498102_2018-06-06	N2000meetnet_Moeras_BHM	IV2019010406365884	IV2019010406260429	17688	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1498102_2023-07-16	N2000meetnet_Moeras_BHM	IV2023112418270554	IV2023112418254861	19554	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1498805_1330_hpr_2019-10-29	N2000meetnet_Grasland_BHM	IV2020041112490749	IV2020041112405710	18198	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1498805_2023-10-12	N2000meetnet_Grasland_BHM	IV2023112418265285	IV2023112418244914	19642	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1500498_2018-06-18	anb	1500498_2018-06-18	1500498_2018-06-18	17700	6510_huk	1	NA	NA	1	1	1	1	NA	6510_huk
1504306_2018-06-07	anb	1504306_2018-06-07	1504306_2018-06-07	17689	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1508278_2019-07-10	N2000meetnet_Grasland_BHM	IV2020031911190774	IV2020031911322474	18087	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1512322_2019-06-19	anb	1512322_2019-06-19	1512322_2019-06-19	18066	6510	0	NA	NA	0	1	0	0	NA	6510_hu
1512322_2019-06-19	anb	1512322_2019-06-19	1512322_2019-06-19	18066	6510	0	NA	NA	0	1	0	0	NA	6510_hua
1512322_2019-06-19	anb	1512322_2019-06-19	1512322_2019-06-19	18066	6510	0	NA	NA	0	1	0	0	NA	6510_huk
1512322_2019-06-19	anb	1512322_2019-06-19	1512322_2019-06-19	18066	6510	0	NA	NA	0	1	0	0	NA	6510_hus
1512530_2018-06-19	anb	1512530_2018-06-19	1512530_2018-06-19	17701	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1512886_2018-05-30	N2000meetnet_Moeras_BHM	IV2019020512553396	IV2019020512391292	17681	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
151318_2018-06-11	anb	151318_2018-06-11	151318_2018-06-11	17693	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
151318_2022-05-24	anb	151318_2022-05-24	151318_2022-05-24	19136	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1529025_2018-06-07	anb	1529025_2018-06-07	1529025_2018-06-07	17689	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1531602_2019-07-04	N2000meetnet_Grasland_BHM	IV2020032311450360	IV2020032311340008	18081	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1532081_2020-08-26	N2000meetnet_Grasland_BHM	IV2021012615132923	IV2021012615095338	18500	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1533266_2018-06-18	anb	1533266_2018-06-18	1533266_2018-06-18	17700	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1535001_2020-05-26	anb	1535001_2020-05-26	1535001_2020-05-26	18408	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1540082_2020-10-14	N2000meetnet_Moeras_BHM	IV2021010414332262	IV2021010414204563	18549	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
1542626_2018-06-20	anb	1542626_2018-06-20	1542626_2018-06-20	17702	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
1547265_2018-06-29	N2000meetnet_Grasland_BHM	IV2019011414294981	IV2019011414090895	17711	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1547570_2018-06-11	anb	1547570_2018-06-11	1547570_2018-06-11	17693	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1549622_2018-05-29	anb	1549622_2018-05-29	1549622_2018-05-29	17680	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1566033_2016-09-05	N2000meetnet_Grasland	IV2017012709294069	IV2017012709211647	17049	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
