"";"ID";"Criterium";"Indicator";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid"
"57";"IV2017032011501490";"Structuur";"verticale structuur";"bedekking helofyten";"25";"Percentage";NA;"%"
"58";"IV2017032011501490";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"85";"Percentage";NA;"%"
"59";"IV2017032011501490";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"1";"Percentage";NA;"%"
"60";"IV2017032011501490";"Verstoring";"verzuring";"bedekking verzuring";"10";"Percentage";NA;"%"
"61";"IV2017032809493991";"Structuur";"verticale structuur";"bedekking helofyten";"92";"Percentage";NA;"%"
"62";"IV2017032809493991";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"15";"Percentage";NA;"%"
"63";"IV2017032809493991";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"5";"Percentage";NA;"%"
"64";"IV2017032809570000";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"35";"Percentage";NA;"%"
"65";"IV2017032809570000";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"5";"Percentage";NA;"%"
"66";"IV2017032809570000";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"0";"Percentage";NA;"%"
"67";"IV2017032809570000";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"68";"IV2017032810082114";"Structuur";"verticale structuur";"bedekking helofyten";"92";"Percentage";NA;"%"
"69";"IV2017032810082114";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"50";"Percentage";NA;"%"
"70";"IV2017032810082114";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"5";"Percentage";NA;"%"
"71";"IV2017032810082114";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"72";"IV2017032810192681";"Structuur";"verticale structuur";"bedekking helofyten";"80";"Percentage";NA;"%"
"73";"IV2017032810192681";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"1";"Percentage";NA;"%"
"74";"IV2017032810192681";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"1";"Percentage";NA;"%"
"75";"IV2017032810361983";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"4";"Percentage";NA;"%"
"76";"IV2017032810361983";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"77";"IV2017032810361983";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"1";"Percentage";NA;"%"
"78";"IV2017032810361983";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"79";"IV2017032810490646";"Structuur";"verticale structuur";"bedekking helofyten";"7";"Percentage";NA;"%"
"80";"IV2017032810490646";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"4";"Percentage";NA;"%"
"81";"IV2017032810490646";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"82";"IV2017032810490646";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"83";"IV2017040309190179";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"15";"Percentage";NA;"%"
"84";"IV2017040309190179";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"3";"Percentage";NA;"%"
"85";"IV2017040309190179";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"1";"Percentage";NA;"%"
"86";"IV2017040309190179";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"87";"IV2017040309253000";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"10";"Percentage";NA;"%"
"88";"IV2017040309253000";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"89";"IV2017040309253000";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"90";"IV2017040309413235";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"1";"Percentage";NA;"%"
"91";"IV2017040309413235";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"80";"Percentage";NA;"%"
"92";"IV2017040309413235";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"30";"Percentage";NA;"%"
"93";"IV2017040309413235";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"94";"IV2017040309554429";"Structuur";"verticale structuur";"bedekking helofyten";"40";"Percentage";NA;"%"
"95";"IV2017040309554429";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"15";"Percentage";NA;"%"
"96";"IV2017040309554429";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"97";"IV2017040309554429";"Verstoring";"verzuring";"bedekking verzuring";"40";"Percentage";NA;"%"
"98";"IV2017040310093041";"Structuur";"verticale structuur";"bedekking helofyten";"40";"Percentage";NA;"%"
"99";"IV2017040310093041";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"13";"Percentage";NA;"%"
"100";"IV2017040310093041";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"101";"IV2017040310093041";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"102";"IV2017040310252958";"Structuur";"verticale structuur";"bedekking helofyten";"20";"Percentage";NA;"%"
"103";"IV2017040310252958";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"10";"Percentage";NA;"%"
"104";"IV2017040310252958";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"105";"IV2017040310252958";"Verstoring";"verzuring";"bedekking verzuring";"3";"Percentage";NA;"%"
"106";"IV2017040410373172";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"50";"Percentage";NA;"%"
"107";"IV2017040410373172";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"108";"IV2017040410373172";"Verstoring";"verzuring";"bedekking verzuring";"45";"Percentage";NA;"%"
"109";"IV2017040410453770";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"20";"Percentage";NA;"%"
"110";"IV2017040410453770";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"111";"IV2017040410453770";"Verstoring";"verzuring";"bedekking verzuring";"5";"Percentage";NA;"%"
"112";"IV2017040410525894";"Structuur";"verticale structuur";"bedekking helofyten";"40";"Percentage";NA;"%"
"113";"IV2017040410525894";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"5";"Percentage";NA;"%"
"114";"IV2017040410525894";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"115";"IV2017040410525894";"Verstoring";"verzuring";"bedekking verzuring";"5";"Percentage";NA;"%"
"116";"IV2017042509124286";"Structuur";"verticale structuur";"bedekking helofyten";"5";"Percentage";NA;"%"
"117";"IV2017042509124286";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"10";"Percentage";NA;"%"
"118";"IV2017042509124286";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"119";"IV2017042509124286";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"120";"IV2017042509274762";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"1";"Percentage";NA;"%"
"121";"IV2017042509274762";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"122";"IV2017042509274762";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"0";"Percentage";NA;"%"
"123";"IV2017042509274762";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"124";"IV2017042509374052";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"25";"Percentage";NA;"%"
"125";"IV2017042509374052";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"126";"IV2017042509374052";"Verstoring";"verzuring";"bedekking verzuring";"20";"Percentage";NA;"%"
"127";"IV2017042509472815";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"25";"Percentage";NA;"%"
"128";"IV2017042509472815";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"129";"IV2017042509472815";"Verstoring";"verzuring";"bedekking verzuring";"2";"Percentage";NA;"%"
"130";"IV2017042509542011";"Structuur";"verticale structuur";"bedekking helofyten";"40";"Percentage";NA;"%"
"131";"IV2017042509542011";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"5";"Percentage";NA;"%"
"132";"IV2017042509542011";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"133";"IV2017042509585340";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"5";"Percentage";NA;"%"
"134";"IV2017042509585340";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"135";"IV2017042509585340";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"50";"Percentage";NA;"%"
"136";"IV2017042509585340";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"137";"IV2017042510052573";"Structuur";"verticale structuur";"bedekking helofyten";"1";"Percentage";NA;"%"
"138";"IV2017042510052573";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"2";"Percentage";NA;"%"
"139";"IV2017042510052573";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"2";"Percentage";NA;"%"
"140";"IV2017042510131430";"Structuur";"verticale structuur";"bedekking helofyten";"0";"Percentage";NA;"%"
"141";"IV2017042510131430";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"2";"Percentage";NA;"%"
"142";"IV2017042510131430";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"2";"Percentage";NA;"%"
"143";"IV2017042510565778";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"31";"Percentage";NA;"%"
"144";"IV2017042510565778";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"145";"IV2017042510565778";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"146";"IV2017042510593494";"Structuur";"verticale structuur";"bedekking helofyten";"60";"Percentage";NA;"%"
"147";"IV2017042510593494";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"30";"Percentage";NA;"%"
"148";"IV2017042510593494";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"149";"IV2017042510593494";"Verstoring";"verzuring";"bedekking verzuring";"30";"Percentage";NA;"%"
"150";"IV2017042511032923";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"2";"Percentage";NA;"%"
"151";"IV2017042511032923";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"152";"IV2017042511032923";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"153";"IV2017042511154407";"Structuur";"verticale structuur";"bedekking helofyten";"15";"Percentage";NA;"%"
"154";"IV2017042511154407";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"5";"Percentage";NA;"%"
"155";"IV2017042511154407";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"156";"IV2017042511154407";"Verstoring";"verzuring";"bedekking verzuring";"25";"Percentage";NA;"%"
"157";"IV2017042511431890";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"5";"Percentage";NA;"%"
"158";"IV2017042511431890";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"159";"IV2017042511431890";"Verstoring";"verzuring";"bedekking verzuring";"10";"Percentage";NA;"%"
"160";"IV2017042511540583";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"15";"Percentage";NA;"%"
"161";"IV2017042511540583";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"162";"IV2017042511540583";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"98";"Percentage";NA;"%"
"163";"IV2017042511540583";"Verstoring";"verzuring";"bedekking verzuring";"15";"Percentage";NA;"%"
"164";"IV2017042513300849";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"5";"Percentage";NA;"%"
"165";"IV2017042513300849";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"166";"IV2017042513300849";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"5";"Percentage";NA;"%"
"167";"IV2017042513300849";"Verstoring";"verzuring";"bedekking verzuring";"0";"Percentage";NA;"%"
"168";"IV2017062909012541";"Structuur";"verticale structuur";"bedekking helofyten";"90";"Percentage";NA;"%"
"169";"IV2017062909012541";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"10";"Percentage";NA;"%"
"170";"IV2017062909012541";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"171";"IV2017062909012541";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"172";"IV2017072508474428";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"173";"IV2017072508474428";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"174";"IV2017072508474428";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"1";"Percentage";NA;"%"
"175";"IV2017072508474428";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"176";"IV2017072509005921";"Structuur";"verticale structuur";"bedekking helofyten";"0.5";"Percentage";NA;"%"
"177";"IV2017072509005921";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"178";"IV2017072509005921";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"179";"IV2017072509005921";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"180";"IV2017120618361898";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"70";"Percentage";NA;"%"
"181";"IV2017120618361898";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"182";"IV2017120618361898";"Verstoring";"verzuring";"bedekking verzuring";"25";"Percentage";NA;"%"
"183";"IV2017120618385593";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"70";"Percentage";NA;"%"
"184";"IV2017120618385593";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"185";"IV2017120618385593";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"186";"IV2017120707274258";"Structuur";"verticale structuur";"bedekking helofyten";"70";"Percentage";NA;"%"
"187";"IV2017120707274258";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"70";"Percentage";NA;"%"
"188";"IV2017120707274258";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"189";"IV2017120707274258";"Verstoring";"verzuring";"bedekking verzuring";"70";"Percentage";NA;"%"
"190";"IV2017120707423829";"Structuur";"verticale structuur";"bedekking helofyten";"7";"Percentage";NA;"%"
"191";"IV2017120707423829";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"95";"Percentage";NA;"%"
"192";"IV2017120707423829";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"193";"IV2017120707423829";"Verstoring";"verzuring";"bedekking verzuring";"21";"Percentage";NA;"%"
"194";"IV2017120707501887";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"7";"Percentage";NA;"%"
"195";"IV2017120707501887";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"196";"IV2017120707501887";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"0.5";"Percentage";NA;"%"
"197";"IV2017120707501887";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"198";"IV2017120708015628";"Structuur";"verticale structuur";"bedekking helofyten";"90";"Percentage";NA;"%"
"199";"IV2017120708015628";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"10";"Percentage";NA;"%"
"200";"IV2017120708015628";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"201";"IV2017120708015628";"Verstoring";"verzuring";"bedekking verzuring";"25";"Percentage";NA;"%"
"202";"IV2017120708120471";"Structuur";"verticale structuur";"bedekking helofyten";"17";"Percentage";NA;"%"
"203";"IV2017120708120471";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"204";"IV2017120708120471";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"205";"IV2017120708120471";"Verstoring";"verzuring";"bedekking verzuring";"43";"Percentage";NA;"%"
"206";"IV2017120708235225";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"15";"Percentage";NA;"%"
"207";"IV2017120708235225";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"208";"IV2017120708235225";"Verstoring";"verzuring";"bedekking verzuring";"3";"Percentage";NA;"%"
"209";"IV2017120807095988";"Structuur";"verticale structuur";"bedekking helofyten";"35";"Percentage";NA;"%"
"210";"IV2017120807095988";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"67";"Percentage";NA;"%"
"211";"IV2017120807095988";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"212";"IV2017120807160378";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"28";"Percentage";NA;"%"
"213";"IV2017120807160378";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"214";"IV2017120807160378";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"0";"Percentage";NA;"%"
"215";"IV2017120807160378";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"216";"IV2017120807201262";"Structuur";"verticale structuur";"bedekking helofyten";"35";"Percentage";NA;"%"
"217";"IV2017120807201262";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"80";"Percentage";NA;"%"
"218";"IV2017120807201262";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"219";"IV2017120807201262";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"220";"IV2017120807491938";"Structuur";"verticale structuur";"bedekking helofyten";"5";"Percentage";NA;"%"
"221";"IV2017120807491938";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"2";"Percentage";NA;"%"
"222";"IV2017120807491938";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"223";"IV2017120807491938";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"224";"IV2017120807593495";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"2";"Percentage";NA;"%"
"225";"IV2017120807593495";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"226";"IV2017120807593495";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"0";"Percentage";NA;"%"
"227";"IV2017120807593495";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"228";"IV2017120808142110";"Structuur";"verticale structuur";"bedekking helofyten";"3";"Percentage";NA;"%"
"229";"IV2017120808142110";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"25";"Percentage";NA;"%"
"230";"IV2017120808142110";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"231";"IV2017120808302127";"Structuur";"verticale structuur";"bedekking helofyten";"20";"Percentage";NA;"%"
"232";"IV2017120808302127";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"75";"Percentage";NA;"%"
"233";"IV2017120808302127";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"2";"Percentage";NA;"%"
"234";"IV2017120808375733";"Structuur";"verticale structuur";"bedekking helofyten";"20";"Percentage";NA;"%"
"235";"IV2017120808375733";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"85";"Percentage";NA;"%"
"236";"IV2017120808375733";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"2";"Percentage";NA;"%"
"237";"IV2017120808375733";"Verstoring";"verzuring";"bedekking verzuring";"0";"Percentage";NA;"%"
"238";"IV2017120813404463";"Structuur";"verticale structuur";"bedekking helofyten";"70";"Percentage";NA;"%"
"239";"IV2017120813404463";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"1";"Percentage";NA;"%"
"240";"IV2017120813404463";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"241";"IV2017120813445226";"Structuur";"verticale structuur";"bedekking helofyten";"40";"Percentage";NA;"%"
"242";"IV2017120813445226";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"243";"IV2017120813445226";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"244";"IV2017120813484970";"Structuur";"verticale structuur";"bedekking helofyten";"40";"Percentage";NA;"%"
"245";"IV2017120813484970";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
