survey	recording_givid	user_reference	value_code	value	comment
HT3260	IV2016121211520788	MunLo_01_20160819	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016121212030936	GouLo_03_20160819	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016121212144933	GouLo_08_20160819	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016121212251275	GouLo_12_20160819	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2016121212400945	GouLo_13_20160819	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2017010311384515	WalBo_01_20150619	RelLo	Betrouwbaarheid opname: laag	NA
HT3260	IV2017010312332288	WalBo_01_20150828	RelHi	Betrouwbaarheid opname: hoog	NA
HT3260	IV2017010313371312	Stiemer_01_20150625	Pnt	Geen opname: permanent ongeschikt	NA
HT3260	IV2017010313400487	BosBe_01_20150625	Pnt	Geen opname: permanent ongeschikt	NA
HT3260	IV2017010315532909	KleNe_06_20150626	RelMe	Betrouwbaarheid opname: matig	NA
HT3260	IV2017010510542710	Berwijn_01_20150713	Pnt	Geen opname: permanent ongeschikt	NA
HT31xx_Plassen	IV2017020313494548	AN_KAL_002_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020313592544	AN_KAL_002_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020314162747	AN_KAL_002_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020316134529	AN_KAL_002_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020316462411	AN_KAL_002_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020316532169	AN_KAL_002_06_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020609094244	AN_TUR_001_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020609234517	AN_TUR_001_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020609393797	AN_TUR_001_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020715281004	AN_TUR_001_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020715581382	AN_TUR_001_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020716073085	AN_TUR_001_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020716193586	AN_TUR_001_06_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020716295160	AN_TUR_001_07_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020716462396	AN_TUR_001_08_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020716545405	AN_TUR_001_09_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020816025208	AN_GKH_002_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020908453727	AN_GKH_002_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020909071396	AN_GKH_002_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020909232253	AN_GKH_002_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020909550375	AN_GKH_002_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020910211737	AN_GKH_002_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020910363726	AN_GKH_002_06_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020911085146	AN_LIL_001_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020912103350	LI_WIK_006_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020912222912	AN_LIL_001_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020913250230	AN_LIL_001_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020913581880	AN_LIL_001_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017020914472390	LI_WIK_006_01_2016	RelMe	Betrouwbaarheid opname: matig	NA
HT31xx_Plassen	IV2017022009261658	AN_TVG_003_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022009332643	AN_TVG_003_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022010084348	AN_TVG_003_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022010274310	AN_TVG_003_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022010494455	AN_TVG_003_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022011112405	AN_SLH_001_2016	RelMe	Betrouwbaarheid opname: matig	NA
HT31xx_Plassen	IV2017022011212848	AN_SLH_001_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022011400382	AN_SLH_001_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022015520287	AN_DVH_003_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022016003952	AN_DVH_003_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022016284655	AN_DVH_003_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022016365601	AN_DVH_003_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022016415281	AN_DVH_003_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022016521600	AN_DVH_003_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022117495677	AN_DVH_003_07_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022118003549	AN_DVH_003_06_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022211202421	LI_WIK_006_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022211212425	LI_WIK_006_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022311064330	LI_WIK_006_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022408474590	AN_LDL_002_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022409052249	AN_LDL_002_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022409113950	AN_LDL_002_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022409223308	AN_LDL_002_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022409531754	AN_LDL_002_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022410522587	LI_MEC_001_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022410582348	LI_MEC_001_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022411061944	LI_MEC_001_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022411214186	LI_MEC_001_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022411294875	LI_MEC_001_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022413111790	AN_DVH_004_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022413181592	AN_DVH_004_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022413321764	AN_DVH_004_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022413471007	AN_SNE_004_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022413472415	AN_SNE_004_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022413591115	AN_SNE_004_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022414385958	LI_MEC_002_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022414455505	LI_MEC_002_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022414491912	LI_MEC_002_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022415003233	LI_MEC_002_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022415062028	LI_MEC_002_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022415362577	LI_MEC_002_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022415464404	LI_MEC_002_06_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022415555188	LI_MEC_002_07_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022709203941	LI_WIK_002_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022709284715	LI_WIK_002_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022709411047	LI_WIK_002_02_2016	RelMe	Betrouwbaarheid opname: matig	NA
HT31xx_Plassen	IV2017022713092832	LI_WIK_006_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022713103041	LI_WIK_006_06_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022713271935	LI_WIK_006_07_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022716005595	AN_TIE_003_2016	RelMe	Betrouwbaarheid opname: matig	NA
HT31xx_Plassen	IV2017022716020967	AN_TIE_003_01_2016	RelMe	Betrouwbaarheid opname: matig	NA
HT31xx_Plassen	IV2017022716383626	AN_TIE_003_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022810430456	AN_NOL_001_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022810501024	AN_NOL_001_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022811001537	AN_NOL_001_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022811165939	AN_NOL_001_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022813194160	AN_NOL_001_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017022815481854	AN_NOL_001_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030110171712	AN_KDN_002_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030111193544	AN_KDN_002_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030111585407	AN_KDN_002_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030115591706	AN_KDN_002_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030211544346	LI_LAN_008_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030212013542	LI_LAN_008_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030212132833	LI_LAN_008_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030213262477	LI_LAN_008_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030213405298	LI_LAN_008_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030213570009	LI_LAN_008_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030214535656	LI_LAN_008_06_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030215084505	LI_LAN_008_07_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030215221287	LI_LAN_008_08_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030215512887	AN_KDN_002_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030216035187	AN_KDN_002_3140_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030610474757	LI_MAT_007_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030610532097	LI_MAT_007_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030611090146	LI_MAT_007_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030611405754	LI_MAT_007_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030709342164	LI_MAT_007_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017030811225488	LI_MAT_007_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	LI_MAT_003_3150_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	AN_KAL_004_3130a_16	RelMe	Betrouwbaarheid opname: matig	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	LI_MAT_001_3130n_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011233563	AN_MOL_003_3140_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011335845	AN_MOL_003_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011441776	AN_MOL_003_3160_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011501490	AN_TVG_004_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032809493991	LI_MAT_002_3140_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032809570000	LI_MAT_002_3130n_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032810082114	LI_MAT_002_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032810192681	LI_LAN_008_3150_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032810361983	AN_RPT_002_3130n_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032810490646	AN_RPT_002_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017040309190179	LI_MAT_009_3130n_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017040309253000	AN_KAL_003_3160_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017040309413235	AN_DVH_003_3130n_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017040309554429	AN_BEE_002_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017040310093041	AN_TIK_002_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017040310252958	AN_VOL_001_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017040410373172	AN_LDL_001_3160_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017040410453770	AN_LDL_003_3160_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_LSVI_StilstaandeWateren	IV2017040410525894	AN_LDL_002_3130a_16	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041209554893	AN_GSV_002_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041210084004	AN_GSV_002_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041210230044	AN_GSV_002_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041210283117	AN_GSV_002_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041210341060	AN_GSV_002_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041210420161	AN_GSV_002_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041210525405	AN_GSV_002_06_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041211000319	AN_GSV_002_07_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041211070322	AN_GSV_002_08_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041211375766	AN_GSV_002_09_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041211441094	AN_GSV_002_10_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041215204607	AN_SNE_003_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041215334927	AN_SNE_003_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041215503368	AN_SNE_003_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041216195200	AN_SNE_003_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041216290057	AN_SNE_003_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041308340189	AN_SNE_003_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041308414204	AN_SNE_003_06_2016	RelMe	Betrouwbaarheid opname: matig	NA
HT31xx_Plassen	IV2017041309015394	AN_KAL_003_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041309104007	AN_KAL_003_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041309145917	AN_KAL_003_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041309252169	AN_KAL_003_03_2016	RelMe	Betrouwbaarheid opname: matig	NA
HT31xx_Plassen	IV2017041309352518	AN_KAL_003_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041309464037	AN_KAL_003_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041309551291	AN_KAL_003_06_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041310002540	AN_KAL_003_07_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041310062847	LI_MAT_002_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041310284308	LI_MAT_002_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041311034271	LI_MAT_002_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041311165088	LI_MAT_002_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041311331124	LI_MAT_002_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041311383565	LI_MAT_002_05_2016	RelMe	Betrouwbaarheid opname: matig	NA
HT31xx_Plassen	IV2017041311512043	LI_MAT_002_06_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041311552720	LI_MAT_002_07_2016	RelMe	Betrouwbaarheid opname: matig	NA
HT31xx_Plassen	IV2017041312065844	LI_MAT_002_08_2016	RelMe	Betrouwbaarheid opname: matig	NA
HT31xx_Plassen	IV2017041312204087	LI_MAT_002_09_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041312420786	LI_MAT_003_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041312502463	LI_MAT_003_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041312560729	LI_MAT_003_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041313004957	LI_MAT_003_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041313062519	LI_MAT_003_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041313502131	LI_MAT_003_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041314000526	LI_MAT_003_06_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041408090133	LI_MAT_001_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041408261275	LI_MAT_001_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041408360909	LI_MAT_001_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041408462468	LI_MAT_001_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041408575815	LI_MAT_001_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041409034781	LI_MAT_001_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041409152308	LI_MAT_001_06_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041409442578	LI_MAT_004_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041409581739	LI_MAT_004_01_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041410025204	LI_MAT_004_02_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041410104564	LI_MAT_004_03_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041410173853	LI_MAT_004_04_2016	RelHi	Betrouwbaarheid opname: hoog	NA
HT31xx_Plassen	IV2017041410235748	LI_MAT_004_05_2016	RelHi	Betrouwbaarheid opname: hoog	NA
