"";"survey";"recording_givid";"user_reference";"var_code";"var";"value";"value_description";"value_numeric";"is_below_LOQ";"is_above_LOQ";"is_numeric";"unit"
"21";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009171774";"LI_MAT_003_3150_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"22";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009171774";"LI_MAT_003_3150_16";"horst";"horizontalestructuur";"10m2";"> 1m& - < 10m²";NA;FALSE;FALSE;FALSE;"class"
"23";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009171774";"LI_MAT_003_3150_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"24";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009323636";"AN_KAL_007_3160_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"25";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009323636";"AN_KAL_007_3160_16";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"26";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009323636";"AN_KAL_007_3160_16";"7140o";"rechtstreeks contact 7140_oli (3160)";"nee";"rechtstreeks contact 7140_oli (3160)";NA;FALSE;FALSE;FALSE;"class"
"27";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009323636";"AN_KAL_007_3160_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"28";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009392259";"LI_OPH_005_3160_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"29";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009392259";"LI_OPH_005_3160_16";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"30";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009392259";"LI_OPH_005_3160_16";"7140o";"rechtstreeks contact 7140_oli (3160)";"nee";"rechtstreeks contact 7140_oli (3160)";NA;FALSE;FALSE;FALSE;"class"
"31";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009392259";"LI_OPH_005_3160_16";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"32";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"AN_KAL_004_3130a_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"33";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"AN_KAL_004_3130a_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"34";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"AN_KAL_004_3130a_16";"boom";"boom";"m2xho";">= 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"35";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"AN_KAL_004_3130a_16";"horst";"horizontalestructuur";"1m2";"<= 1m²";NA;FALSE;FALSE;FALSE;"class"
"36";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"AN_KAL_004_3130a_16";"peil";"peil";"droog";"Droogstaand (groot deel)";NA;FALSE;FALSE;FALSE;"class"
"37";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009592467";"LI_MAT_001_3130n_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"38";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009592467";"LI_MAT_001_3130n_16";"helde";"helderheid";"gboz";"Vrij helder, geen bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"39";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009592467";"LI_MAT_001_3130n_16";"helde";"helderheid";"trand";"Troebel anders";NA;FALSE;FALSE;FALSE;"class"
"40";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009592467";"LI_MAT_001_3130n_16";"horst";"horizontalestructuur";"1m2";"<= 1m²";NA;FALSE;FALSE;FALSE;"class"
"41";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009592467";"LI_MAT_001_3130n_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"42";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"AN_TUR_001_3130a_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"43";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"AN_TUR_001_3130a_16";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"44";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"AN_TUR_001_3130a_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"45";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"AN_TUR_001_3130a_16";"boom";"boom";"booev";"bomen tot op de oever";NA;FALSE;FALSE;FALSE;"class"
"46";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"AN_TUR_001_3130a_16";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"47";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"AN_TUR_001_3130a_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"48";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"AN_BEE_001_3130n_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"49";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"AN_BEE_001_3130n_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"50";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"AN_BEE_001_3130n_16";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"51";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"AN_BEE_001_3130n_16";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"52";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"AN_BEE_001_3130a_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"53";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"AN_BEE_001_3130a_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"54";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"AN_BEE_001_3130a_16";"boom";"boom";"m2xho";">= 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"55";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"AN_BEE_001_3130a_16";"horst";"horizontalestructuur";"1m2";"<= 1m²";NA;FALSE;FALSE;FALSE;"class"
"56";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"AN_BEE_001_3130a_16";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"57";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"AN_LIL_001_3130a_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"58";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"AN_LIL_001_3130a_16";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"59";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"AN_LIL_001_3130a_16";"boom";"boom";"booev";"bomen tot op de oever";NA;FALSE;FALSE;FALSE;"class"
"60";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"AN_LIL_001_3130a_16";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"61";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"AN_LIL_001_3130a_16";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"62";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011215641";"AN_VVM_002_3160_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"63";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011215641";"AN_VVM_002_3160_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"64";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011215641";"AN_VVM_002_3160_16";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"65";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011215641";"AN_VVM_002_3160_16";"7140o";"rechtstreeks contact 7140_oli (3160)";"nee";"rechtstreeks contact 7140_oli (3160)";NA;FALSE;FALSE;FALSE;"class"
"66";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011215641";"AN_VVM_002_3160_16";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"67";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011233563";"AN_MOL_003_3140_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"68";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011233563";"AN_MOL_003_3140_16";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"69";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011233563";"AN_MOL_003_3140_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"70";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011233563";"AN_MOL_003_3140_16";"chara";"chara";"51ss";"> 50% bestaat uit sleutelsoorten";NA;FALSE;FALSE;FALSE;"class"
"71";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011233563";"AN_MOL_003_3140_16";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"72";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011233563";"AN_MOL_003_3140_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"73";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"AN_MOL_003_3130a_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"74";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"AN_MOL_003_3130a_16";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"75";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"AN_MOL_003_3130a_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"76";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"AN_MOL_003_3130a_16";"boom";"boom";"m2xho";">= 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"77";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"AN_MOL_003_3130a_16";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"78";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"AN_MOL_003_3130a_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"79";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"AN_MOL_003_3160_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"80";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"AN_MOL_003_3160_16";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"81";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"AN_MOL_003_3160_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"82";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"AN_MOL_003_3160_16";"7140o";"rechtstreeks contact 7140_oli (3160)";"ja";"rechtstreeks contact 7140_oli (3160)";NA;FALSE;FALSE;FALSE;"class"
"83";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"AN_MOL_003_3160_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"84";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"AN_TVG_004_3130a_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"85";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"AN_TVG_004_3130a_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"86";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"AN_TVG_004_3130a_16";"boom";"boom";"m2xho";">= 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"87";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"AN_TVG_004_3130a_16";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"88";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"AN_TVG_004_3130a_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"89";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809493991";"LI_MAT_002_3140_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"90";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809493991";"LI_MAT_002_3140_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"91";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809493991";"LI_MAT_002_3140_16";"chara";"chara";"51ss";"> 50% bestaat uit sleutelsoorten";NA;FALSE;FALSE;FALSE;"class"
"92";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809493991";"LI_MAT_002_3140_16";"horst";"horizontalestructuur";"10m2";"> 1m& - < 10m²";NA;FALSE;FALSE;FALSE;"class"
"93";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809493991";"LI_MAT_002_3140_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"94";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"LI_MAT_002_3130n_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"95";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"LI_MAT_002_3130n_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"96";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"LI_MAT_002_3130n_16";"horst";"horizontalestructuur";"10m2";"> 1m& - < 10m²";NA;FALSE;FALSE;FALSE;"class"
"97";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"LI_MAT_002_3130n_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"98";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"LI_MAT_002_3130a_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"99";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"LI_MAT_002_3130a_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"100";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"LI_MAT_002_3130a_16";"boom";"boom";"m2xho";">= 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"101";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"LI_MAT_002_3130a_16";"horst";"horizontalestructuur";"10m2";"> 1m& - < 10m²";NA;FALSE;FALSE;FALSE;"class"
"102";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"LI_MAT_002_3130a_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"103";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810192681";"LI_LAN_008_3150_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"104";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810192681";"LI_LAN_008_3150_16";"helde";"helderheid";"trand";"Troebel anders";NA;FALSE;FALSE;FALSE;"class"
"105";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810192681";"LI_LAN_008_3150_16";"horst";"horizontalestructuur";"1m2";"<= 1m²";NA;FALSE;FALSE;FALSE;"class"
"106";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810192681";"LI_LAN_008_3150_16";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"107";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"AN_RPT_002_3130n_16";"diept";"diepteklasse";"2-4m";">= 2m - < 4m";NA;FALSE;FALSE;FALSE;"class"
"108";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"AN_RPT_002_3130n_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"109";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"AN_RPT_002_3130n_16";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"110";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"AN_RPT_002_3130n_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"111";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"AN_RPT_002_3130a_16";"diept";"diepteklasse";"2-4m";">= 2m - < 4m";NA;FALSE;FALSE;FALSE;"class"
"112";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"AN_RPT_002_3130a_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"113";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"AN_RPT_002_3130a_16";"boom";"boom";"m2xho";">= 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"114";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"AN_RPT_002_3130a_16";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"115";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"AN_RPT_002_3130a_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"116";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"LI_MAT_009_3130n_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"117";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"LI_MAT_009_3130n_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"118";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"LI_MAT_009_3130n_16";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"119";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"LI_MAT_009_3130n_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"120";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309253000";"AN_KAL_003_3160_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"121";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309253000";"AN_KAL_003_3160_16";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"122";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309253000";"AN_KAL_003_3160_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"123";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309253000";"AN_KAL_003_3160_16";"7140o";"rechtstreeks contact 7140_oli (3160)";"ja";"rechtstreeks contact 7140_oli (3160)";NA;FALSE;FALSE;FALSE;"class"
"124";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309253000";"AN_KAL_003_3160_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"125";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309413235";"AN_DVH_003_3130n_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"126";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309413235";"AN_DVH_003_3130n_16";"helde";"helderheid";"gboz";"Vrij helder, geen bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"127";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309413235";"AN_DVH_003_3130n_16";"helde";"helderheid";"fytog";"Gekleurd door fytoplankton - groen";NA;FALSE;FALSE;FALSE;"class"
"128";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309413235";"AN_DVH_003_3130n_16";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"129";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309413235";"AN_DVH_003_3130n_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"130";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309554429";"AN_BEE_002_3130a_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"131";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309554429";"AN_BEE_002_3130a_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"132";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309554429";"AN_BEE_002_3130a_16";"boom";"boom";"m2xho";">= 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"133";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309554429";"AN_BEE_002_3130a_16";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"134";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309554429";"AN_BEE_002_3130a_16";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"135";"HT31xx_LSVI_StilstaandeWateren";"IV2017040310093041";"AN_TIK_002_3130a_16";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"136";"HT31xx_LSVI_StilstaandeWateren";"IV2017040310093041";"AN_TIK_002_3130a_16";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"137";"HT31xx_LSVI_StilstaandeWateren";"IV2017040310093041";"AN_TIK_002_3130a_16";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"138";"HT31xx_LSVI_StilstaandeWateren";"IV2017040310093041";"AN_TIK_002_3130a_16";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"139";"HT31xx_LSVI_StilstaandeWateren";"IV2017040310093041";"AN_TIK_002_3130a_16";"boom";"boom";"2xho";"< 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
