survey	recording_givid	user_reference	var_code	var	value	value_perc
HT31xx_Plassen	IV2017020314162747	AN_KAL_002_02_2016	Subm	Submers	95	95.0
HT31xx_Plassen	IV2017020314162747	AN_KAL_002_02_2016	Tot	totale bedekking	95	95.0
HT31xx_Plassen	IV2017020314162747	AN_KAL_002_02_2016	Zwev	Zwevend	0	0.0
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	A	Algenlaag	0	0.0
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	B	Boomlaag	0	0.0
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	Drijv	Drijvend	0	0.0
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	Helo	Helofyt	45	45.0
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	Chara	Kranswieren	0	0.0
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	Kroos	Kroos	0	0.0
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	K	Kruidlaag	85	85.0
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	M	Moslaag	30	30.0
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	S	Struiklaag	0	0.0
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	Subm	Submers	70	70.0
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	Tot	totale bedekking	95	95.0
HT31xx_Plassen	IV2017020314263108	AN_KAL_002_03_2016	Zwev	Zwevend	0	0.0
HT31xx_Plassen	IV2017020316134529	AN_KAL_002_04_2016	A	Algenlaag	0	0.0
HT31xx_Plassen	IV2017020316134529	AN_KAL_002_04_2016	B	Boomlaag	0	0.0
HT31xx_Plassen	IV2017020316134529	AN_KAL_002_04_2016	Drijv	Drijvend	0	0.0
HT31xx_Plassen	IV2017020316134529	AN_KAL_002_04_2016	Helo	Helofyt	95	95.0
HT31xx_Plassen	IV2017020316134529	AN_KAL_002_04_2016	Chara	Kranswieren	0	0.0
HT31xx_Plassen	IV2017020316134529	AN_KAL_002_04_2016	Kroos	Kroos	0	0.0
HT31xx_Plassen	IV2017020316134529	AN_KAL_002_04_2016	K	Kruidlaag	95	95.0
HT31xx_Plassen	IV2017020316134529	AN_KAL_002_04_2016	M	Moslaag	3	3.0
HT31xx_Plassen	IV2017020316134529	AN_KAL_002_04_2016	S	Struiklaag	35	35.0
HT31xx_Plassen	IV2017020316134529	AN_KAL_002_04_2016	Subm	Submers	3	3.0
