recording_givid	survey	type_observed	classif_key	type_cover
IV2017022016284655	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022016365601	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022016415281	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022016521600	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022117495677	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017022118003549	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022211202421	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022211212425	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022311064330	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022408474590	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017022408474590	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022409052249	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022409113950	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022409223308	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022409531754	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022410522587	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022410582348	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022411061944	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022411214186	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022411294875	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022413111790	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017022413111790	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022413111790	HT31xx_Plassen	3140	Habitatsleutel v5	NA
IV2017022413181592	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022413181592	HT31xx_Plassen	3140	Habitatsleutel v5	NA
IV2017022413321764	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017022413321764	HT31xx_Plassen	3140	Habitatsleutel v5	NA
IV2017022413471007	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017022413471007	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022413471007	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022413472415	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022413472415	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022413591115	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022414385958	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022414455505	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022414491912	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022415003233	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022415062028	HT31xx_Plassen	7140_oli	Habitatsleutel v5	NA
IV2017022415362577	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022415464404	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022415555188	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022709203941	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017022709203941	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022709284715	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022709411047	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022713092832	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022713103041	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022713271935	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017022716005595	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017022716005595	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022716005595	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022716020967	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022716020967	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022716383626	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017022716383626	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022810430456	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022810501024	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022811001537	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022811165939	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022813194160	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017022815481854	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017030110171712	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017030110171712	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017030110171712	HT31xx_Plassen	3140	Habitatsleutel v5	NA
IV2017030111193544	HT31xx_Plassen	3140	Habitatsleutel v5	NA
IV2017030111585407	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017030115591706	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017030211544346	HT31xx_Plassen	3150	Habitatsleutel v5	NA
IV2017030212013542	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017030212132833	HT31xx_Plassen	3150	Habitatsleutel v5	NA
IV2017030212132833	HT31xx_Plassen	7140_meso	Habitatsleutel v5	NA
IV2017030213262477	HT31xx_Plassen	7140_meso	Habitatsleutel v5	NA
IV2017030213405298	HT31xx_Plassen	7140_meso	Habitatsleutel v5	NA
IV2017030213570009	HT31xx_Plassen	7140_meso	Habitatsleutel v5	NA
IV2017030214535656	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017030215084505	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017030215221287	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017030215512887	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017030216035187	HT31xx_LSVI_StilstaandeWateren	3140	Habitatsleutel v5	NA
IV2017030610474757	HT31xx_Plassen	3140	Habitatsleutel v5	NA
IV2017030610532097	HT31xx_Plassen	3140	Habitatsleutel v5	NA
IV2017030611090146	HT31xx_Plassen	0	Habitatsleutel v5	NA
IV2017030611405754	HT31xx_Plassen	3140	Habitatsleutel v5	NA
IV2017030709342164	HT31xx_Plassen	3140	Habitatsleutel v5	NA
IV2017030811225488	HT31xx_Plassen	0	Habitatsleutel v5	NA
IV2017030812063258	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017030812170830	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017032009171774	HT31xx_LSVI_StilstaandeWateren	3150	Habitatsleutel v5	NA
IV2017032009323636	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017032009392259	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017032009542119	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017032009592467	HT31xx_LSVI_StilstaandeWateren	3130_na	Habitatsleutel v5	NA
IV2017032010113891	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017032010205954	HT31xx_LSVI_StilstaandeWateren	3130_na	Habitatsleutel v5	NA
IV2017032010360108	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017032010493372	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017032011215641	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017032011233563	HT31xx_LSVI_StilstaandeWateren	3140	Habitatsleutel v5	NA
IV2017032011335845	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017032011441776	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017032011501490	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017032809493991	HT31xx_LSVI_StilstaandeWateren	3140	Habitatsleutel v5	NA
IV2017032809570000	HT31xx_LSVI_StilstaandeWateren	3130_na	Habitatsleutel v5	NA
IV2017032810082114	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017032810192681	HT31xx_LSVI_StilstaandeWateren	3150	Habitatsleutel v5	NA
IV2017032810361983	HT31xx_LSVI_StilstaandeWateren	3130_na	Habitatsleutel v5	NA
IV2017032810490646	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017040309190179	HT31xx_LSVI_StilstaandeWateren	3130_na	Habitatsleutel v5	NA
IV2017040309253000	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017040309413235	HT31xx_LSVI_StilstaandeWateren	3130_na	Habitatsleutel v5	NA
IV2017040309554429	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017040310093041	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017040310252958	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017040410373172	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017040410453770	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017040410525894	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017041209554893	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017041209554893	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041210084004	HT31xx_Plassen	0	Habitatsleutel v5	NA
IV2017041210230044	HT31xx_Plassen	0	Habitatsleutel v5	NA
IV2017041210283117	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041210341060	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041210420161	HT31xx_Plassen	0	Habitatsleutel v5	NA
IV2017041210525405	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041211000319	HT31xx_Plassen	0	Habitatsleutel v5	NA
IV2017041211070322	HT31xx_Plassen	0	Habitatsleutel v5	NA
IV2017041211375766	HT31xx_Plassen	0	Habitatsleutel v5	NA
IV2017041211441094	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041215204607	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017041215204607	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041215204607	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041215334927	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041215334927	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041215334927	HT31xx_Plassen	7140_oli	Habitatsleutel v5	NA
IV2017041215503368	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041215503368	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041216195200	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041216195200	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041216290057	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041216290057	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041216290057	HT31xx_Plassen	7140_oli	Habitatsleutel v5	NA
IV2017041308340189	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041308414204	HT31xx_Plassen	rbbsm	Habitatsleutel v5	NA
IV2017041309015394	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041309104007	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041309145917	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041309252169	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041309352518	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041309352518	HT31xx_Plassen	7140_oli	Habitatsleutel v5	NA
IV2017041309464037	HT31xx_Plassen	4010	Habitatsleutel v5	NA
IV2017041309551291	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041310002540	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041310062847	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017041310062847	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041310062847	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041310062847	HT31xx_Plassen	3140	Habitatsleutel v5	NA
IV2017041310284308	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041311034271	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041311034271	HT31xx_Plassen	3140	Habitatsleutel v5	NA
IV2017041311165088	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041311331124	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041311383565	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041311383565	HT31xx_Plassen	3140	Habitatsleutel v5	NA
IV2017041311512043	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041311512043	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041311552720	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041312065844	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041312204087	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041312420786	HT31xx_Plassen	3150	Habitatsleutel v5	NA
IV2017041312502463	HT31xx_Plassen	3150	Habitatsleutel v5	NA
IV2017041312560729	HT31xx_Plassen	3150	Habitatsleutel v5	NA
IV2017041313004957	HT31xx_Plassen	3150	Habitatsleutel v5	NA
IV2017041313062519	HT31xx_Plassen	3150	Habitatsleutel v5	NA
IV2017041313502131	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041314000526	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041408090133	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017041408090133	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041408261275	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041408360909	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041408462468	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041408575815	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041409034781	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041409152308	HT31xx_Plassen	rbbsm	Habitatsleutel v5	NA
IV2017041409442578	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017041409442578	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041409581739	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041410025204	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041410104564	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041410173853	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041410235748	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041410324015	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041411052144	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017041411052144	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041411052144	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041411091347	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041411091347	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041411410013	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041411502135	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041411502135	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041413320379	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041413320379	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041413470751	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041413470751	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041414011430	HT31xx_Plassen	4010	Habitatsleutel v5	NA
IV2017041414160723	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041414222077	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041414321618	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041414321618	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041414443265	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041414443265	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041415465993	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041415520005	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041416040339	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041416324005	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041416404925	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041416502501	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041416551908	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041417072764	HT31xx_Plassen	3130_na	Habitatsleutel v5	NA
IV2017041909322711	HT31xx_Plassen	3130	Habitatsleutel v5	NA
IV2017041909322711	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041909423891	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041909573784	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041910140116	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041910220678	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017041910283052	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041910385968	HT31xx_Plassen	3130_aom	Habitatsleutel v5	NA
IV2017041910581951	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041911042687	HT31xx_Plassen	3160	Habitatsleutel v5	NA
IV2017041911174917	HT31xx_Plassen	7140_oli	Habitatsleutel v5	NA
IV2017041911274458	HT31xx_Plassen	7140_oli	Habitatsleutel v5	NA
IV2017041911421516	HT31xx_Plassen	4010	Habitatsleutel v5	NA
IV2017041911510163	HT31xx_Plassen	4010	Habitatsleutel v5	NA
IV2017041912004543	HT31xx_Plassen	4010	Habitatsleutel v5	NA
IV2017042009322304	HT31xx_Plassen	rbbmr	Habitatsleutel v5	NA
IV2017042009354712	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017042009510572	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017042010161831	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017042010251304	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017042010325338	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017042010374572	HT31xx_Plassen	rbbmr	Habitatsleutel v5	NA
IV2017042011022029	HT31xx_Plassen	rbbmr	Habitatsleutel v5	NA
IV2017042011141037	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017042011511414	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017042012074142	HT31xx_Plassen	7140_meso	Habitatsleutel v5	NA
IV2017042012154020	HT31xx_Plassen	rbbsm	Habitatsleutel v5	NA
IV2017042012254971	HT31xx_Plassen	-9	Habitatsleutel v5	NA
IV2017042509124286	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017042509274762	HT31xx_LSVI_StilstaandeWateren	3130_na	Habitatsleutel v5	NA
IV2017042509374052	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017042509472815	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017042509542011	HT31xx_LSVI_StilstaandeWateren	3140	Habitatsleutel v5	NA
IV2017042509585340	HT31xx_LSVI_StilstaandeWateren	3130_na	Habitatsleutel v5	NA
IV2017042510052573	HT31xx_LSVI_StilstaandeWateren	3150	Habitatsleutel v5	NA
IV2017042510131430	HT31xx_LSVI_StilstaandeWateren	3140	Habitatsleutel v5	NA
IV2017042510565778	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017042510593494	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017042511032923	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017042511154407	HT31xx_LSVI_StilstaandeWateren	3130_aom	Habitatsleutel v5	NA
IV2017042511431890	HT31xx_LSVI_StilstaandeWateren	3160	Habitatsleutel v5	NA
IV2017042511540583	HT31xx_LSVI_StilstaandeWateren	3130_na	Habitatsleutel v5	NA
IV2017042513300849	HT31xx_LSVI_StilstaandeWateren	3130_na	Habitatsleutel v5	NA
