survey	recording_givid	user_reference	var_code	var	value	value_numeric	is_below_LOQ	is_above_LOQ	is_numeric	unit	value_description
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	Seccd	diepte van secchibepaling	0,35	0.35	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	Eutro	eutrofiëring	20	20	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	helde	helderheid	humuz	NA	0	0	0	class	Gekleurd door humuszuren
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	horst	horizontalestructuur	1m2	NA	0	0	0	class	<= 1m²
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	Invas	invasieve exoten	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	peil	peil	ulaag	NA	0	0	0	class	Uitzonderlijk laag
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	Schom	schommeling winter/zomer	0,40	0.4	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	Secch	secchi-diepte	0,17	0.17	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	Vgras	vergrassing	20	20	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812063258	AN_SNE_004_3130a_16	Vzuur	verzuring	30	30	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	Seccd	diepte van secchibepaling	0,35	0.35	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	Eutro	eutrofiëring	20	20	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	EutSS	eutrofiering_3160	0-x-1	0.5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	helde	helderheid	humuz	NA	0	0	0	class	Gekleurd door humuszuren
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	Invas	invasieve exoten	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	peil	peil	ulaag	NA	0	0	0	class	Uitzonderlijk laag
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	7140o	rechtstreeks contact 7140_oli (3160)	nee	NA	0	0	0	class	rechtstreeks contact 7140_oli (3160)
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	Schom	schommeling winter/zomer	0,40	0.4	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	Secch	secchi-diepte	0,17	0.17	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	Vgras	vergrassing	20	20	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	Vzuur	verzuring	3	3	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017030812170830	AN_SNE_004_3160_16	VZuSS	verzuring_3160	3	3	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	LI_MAT_003_3150_16	Helo	bedekking helofyten	95	95	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	LI_MAT_003_3150_16	Seccd	diepte van secchibepaling	1,50	1.5	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	LI_MAT_003_3150_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	LI_MAT_003_3150_16	Eutro	eutrofiëring	22	22	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	LI_MAT_003_3150_16	helde	helderheid	bozi	NA	0	0	0	class	Bodemzicht
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	LI_MAT_003_3150_16	horst	horizontalestructuur	10m2	NA	0	0	0	class	> 1m& - < 10m²
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	LI_MAT_003_3150_16	Invas	invasieve exoten	15	15	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	LI_MAT_003_3150_16	peil	peil	norm	NA	0	0	0	class	Normaal
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	LI_MAT_003_3150_16	Schom	schommeling winter/zomer	0,30	0.3	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009171774	LI_MAT_003_3150_16	Secch	secchi-diepte	1,50	1.5	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	Seccd	diepte van secchibepaling	1,35	1.35	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	Eutro	eutrofiëring	13	13	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	EutSS	eutrofiering_3160	10	10	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	helde	helderheid	humuz	NA	0	0	0	class	Gekleurd door humuszuren
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	Invas	invasieve exoten	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	peil	peil	norm	NA	0	0	0	class	Normaal
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	7140o	rechtstreeks contact 7140_oli (3160)	nee	NA	0	0	0	class	rechtstreeks contact 7140_oli (3160)
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	Schom	schommeling winter/zomer	0,25	0.25	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	Secch	secchi-diepte	0,30	0.3	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	Vgras	vergrassing	3	3	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	Vzuur	verzuring	10	10	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009323636	AN_KAL_007_3160_16	VZuSS	verzuring_3160	1	1	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	Seccd	diepte van secchibepaling	0,17	0.17	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	Eutro	eutrofiëring	60	60	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	EutSS	eutrofiering_3160	1	1	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	helde	helderheid	humuz	NA	0	0	0	class	Gekleurd door humuszuren
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	Invas	invasieve exoten	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	peil	peil	ulaag	NA	0	0	0	class	Uitzonderlijk laag
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	7140o	rechtstreeks contact 7140_oli (3160)	nee	NA	0	0	0	class	rechtstreeks contact 7140_oli (3160)
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	Schom	schommeling winter/zomer	0,20	0.2	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	Secch	secchi-diepte	0,10	0.1	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	Vgras	vergrassing	60	60	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	Vzuur	verzuring	5	5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009392259	LI_OPH_005_3160_16	VZuSS	verzuring_3160	5	5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	AN_KAL_004_3130a_16	Helo	bedekking helofyten	90	90	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	AN_KAL_004_3130a_16	boom	boom	m2xho	NA	0	0	0	class	>= 2x hoogte van bomen
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	AN_KAL_004_3130a_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	AN_KAL_004_3130a_16	Eutro	eutrofiëring	50	50	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	AN_KAL_004_3130a_16	helde	helderheid	bozi	NA	0	0	0	class	Bodemzicht
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	AN_KAL_004_3130a_16	horst	horizontalestructuur	1m2	NA	0	0	0	class	<= 1m²
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	AN_KAL_004_3130a_16	Invas	invasieve exoten	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	AN_KAL_004_3130a_16	peil	peil	droog	NA	0	0	0	class	Droogstaand (groot deel)
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	AN_KAL_004_3130a_16	Schom	schommeling winter/zomer	0,10	0.1	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	AN_KAL_004_3130a_16	Vgras	vergrassing	49	49	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009542119	AN_KAL_004_3130a_16	Vzuur	verzuring	40	40	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	LI_MAT_001_3130n_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	LI_MAT_001_3130n_16	Eutro	eutrofiëring	5	5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	LI_MAT_001_3130n_16	helde	helderheid	gboz	NA	0	0	0	class	Vrij helder, geen bodemzicht
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	LI_MAT_001_3130n_16	helde	helderheid	trand	NA	0	0	0	class	Troebel anders
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	LI_MAT_001_3130n_16	horst	horizontalestructuur	1m2	NA	0	0	0	class	<= 1m²
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	LI_MAT_001_3130n_16	Invas	invasieve exoten	2	2	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	LI_MAT_001_3130n_16	HabVl	opgaande vegetatie > 15 cm	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	LI_MAT_001_3130n_16	peil	peil	norm	NA	0	0	0	class	Normaal
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	LI_MAT_001_3130n_16	Schom	schommeling winter/zomer	0,35	0.35	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	LI_MAT_001_3130n_16	Vgras	vergrassing	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032009592467	LI_MAT_001_3130n_16	Vzuur	verzuring	10	10	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	Helo	bedekking helofyten	40	40	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	boom	boom	booev	NA	0	0	0	class	bomen tot op de oever
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	Seccd	diepte van secchibepaling	0,50	0.5	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	Eutro	eutrofiëring	15	15	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	helde	helderheid	bozi	NA	0	0	0	class	Bodemzicht
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	helde	helderheid	humuz	NA	0	0	0	class	Gekleurd door humuszuren
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	horst	horizontalestructuur	g10m²	NA	0	0	0	class	>= 10m²
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	Invas	invasieve exoten	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	peil	peil	norm	NA	0	0	0	class	Normaal
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	Schom	schommeling winter/zomer	0,40	0.4	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	Secch	secchi-diepte	0,50	0.5	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	Vgras	vergrassing	0-x-1	0.5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010113891	AN_TUR_001_3130a_16	Vzuur	verzuring	0-x-1	0.5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	Seccd	diepte van secchibepaling	1,90	1.9	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	Eutro	eutrofiëring	20	20	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	helde	helderheid	bozi	NA	0	0	0	class	Bodemzicht
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	horst	horizontalestructuur	g10m²	NA	0	0	0	class	>= 10m²
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	Invas	invasieve exoten	0-x-1	0.5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	HabVl	opgaande vegetatie > 15 cm	1	1	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	peil	peil	ulaag	NA	0	0	0	class	Uitzonderlijk laag
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	Schom	schommeling winter/zomer	0,20	0.2	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	Secch	secchi-diepte	1,90	1.9	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	Vgras	vergrassing	0-x-1	0.5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010205954	AN_BEE_001_3130n_16	Vzuur	verzuring	40	40	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	Helo	bedekking helofyten	80	80	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	boom	boom	m2xho	NA	0	0	0	class	>= 2x hoogte van bomen
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	Seccd	diepte van secchibepaling	1,90	1.9	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	Eutro	eutrofiëring	25	25	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	helde	helderheid	bozi	NA	0	0	0	class	Bodemzicht
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	horst	horizontalestructuur	1m2	NA	0	0	0	class	<= 1m²
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	Invas	invasieve exoten	0-x-1	0.5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	peil	peil	ulaag	NA	0	0	0	class	Uitzonderlijk laag
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	Schom	schommeling winter/zomer	0,20	0.2	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	Secch	secchi-diepte	1,90	1.9	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	Vgras	vergrassing	0-x-1	0.5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010360108	AN_BEE_001_3130a_16	Vzuur	verzuring	40	40	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	Helo	bedekking helofyten	50	50	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	boom	boom	booev	NA	0	0	0	class	bomen tot op de oever
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	Seccd	diepte van secchibepaling	0,60	0.6	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	Eutro	eutrofiëring	45	45	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	helde	helderheid	trsub	NA	0	0	0	class	Troebel door substraat
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	horst	horizontalestructuur	g10m²	NA	0	0	0	class	>= 10m²
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	Invas	invasieve exoten	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	diepte_max	maximale diepte	1,00	1	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	peil	peil	ulaag	NA	0	0	0	class	Uitzonderlijk laag
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	Schom	schommeling winter/zomer	0,40	0.4	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	Secch	secchi-diepte	0,15	0.15	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	Vgras	vergrassing	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032010493372	AN_LIL_001_3130a_16	Vzuur	verzuring	15	15	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	Seccd	diepte van secchibepaling	0,55	0.55	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	Eutro	eutrofiëring	30	30	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	EutSS	eutrofiering_3160	20	20	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	helde	helderheid	bozi	NA	0	0	0	class	Bodemzicht
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	helde	helderheid	humuz	NA	0	0	0	class	Gekleurd door humuszuren
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	Invas	invasieve exoten	0	0	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	peil	peil	ulaag	NA	0	0	0	class	Uitzonderlijk laag
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	7140o	rechtstreeks contact 7140_oli (3160)	nee	NA	0	0	0	class	rechtstreeks contact 7140_oli (3160)
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	Schom	schommeling winter/zomer	0,35	0.35	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	Secch	secchi-diepte	0,55	0.55	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	Vgras	vergrassing	10	10	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	Vzuur	verzuring	23	23	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011215641	AN_VVM_002_3160_16	VZuSS	verzuring_3160	3	3	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011233563	AN_MOL_003_3140_16	Helo	bedekking helofyten	10	10	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011233563	AN_MOL_003_3140_16	chara	chara	51ss	NA	0	0	0	class	> 50% bestaat uit sleutelsoorten
HT31xx_LSVI_StilstaandeWateren	IV2017032011233563	AN_MOL_003_3140_16	Seccd	diepte van secchibepaling	0,60	0.6	0	0	1	m	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011233563	AN_MOL_003_3140_16	diept	diepteklasse	0-2m	NA	0	0	0	class	0 - < 2m
HT31xx_LSVI_StilstaandeWateren	IV2017032011233563	AN_MOL_003_3140_16	Eutro	eutrofiëring	0-x-1	0.5	0	0	1	%	NA
HT31xx_LSVI_StilstaandeWateren	IV2017032011233563	AN_MOL_003_3140_16	helde	helderheid	bozi	NA	0	0	0	class	Bodemzicht
