"";"recording_givid";"survey";"user_reference";"location";"date";"latitude";"longitude";"type_observed";"reliability";"suitable_mhq";"measured"
"690";"IV2024102113082142";"HT31xx_LSVI_StilstaandeWateren";"ANTBAA0048_3130n_24";"ANTBAA0048";"2024-08-30";500;500;"3130_na";"hoog";TRUE;TRUE
"691";"IV2024102113110695";"HT31xx_LSVI_StilstaandeWateren";"ANTBAA0048_3140_24";"ANTBAA0048";"2024-08-30";500;500;"3140";"hoog";TRUE;TRUE
"692";"IV2024102113193779";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0386a_3130a_24";"ANTKAL0386a";"2024-09-02";500;500;"3130_aom";"hoog";TRUE;TRUE
"693";"IV2024102113232608";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0386a_3160_24";"ANTKAL0386a";"2024-09-02";500;500;"3160";"hoog";TRUE;TRUE
"694";"IV2024102115013502";"HT31xx_LSVI_StilstaandeWateren";"LIMGNK0062_3130n_24";"LIMGNK0062";"2024-09-03";500;500;"3130_na";"hoog";TRUE;TRUE
"695";"IV2024102115133564";"HT31xx_LSVI_StilstaandeWateren";"LIMGNK0062_3130a_24";"LIMGNK0062";"2024-09-03";500;500;"3130_aom";"hoog";TRUE;TRUE
"696";"IV2024102115233855";"HT31xx_LSVI_StilstaandeWateren";"LIMGNK0182_3130n_24";"LIMGNK0182";"2024-09-03";500;500;"3130_na";"matig";TRUE;TRUE
"697";"IV2024102115490522";"HT31xx_LSVI_StilstaandeWateren";"ANTKAS0501_3160_24";"ANTKAS0501";"2024-09-04";500;500;"3160";"hoog";TRUE;TRUE
"698";"IV2024102115573343";"HT31xx_LSVI_StilstaandeWateren";"ANTKAS0501_3130n_24";"ANTKAS0501";"2024-09-04";500;500;"3130_na";"hoog";TRUE;TRUE
"699";"IV2024102116015327";"HT31xx_LSVI_StilstaandeWateren";"ANTKAS0501_3130a_24";"ANTKAS0501";"2024-09-04";500;500;"3130_aom";"hoog";TRUE;TRUE
"700";"IV2024102916145910";"HT31xx_LSVI_StilstaandeWateren";"LIMHAS0165_3130n_24";"LIMHAS0165";"2024-09-05";500;500;"3130_na";"hoog";TRUE;TRUE
"701";"IV2024102916211971";"HT31xx_LSVI_StilstaandeWateren";"LIMHAS0165_3130a_24";"LIMHAS0165";"2024-09-05";500;500;"3130_aom";"hoog";TRUE;TRUE
"702";"IV2024102916273348";"HT31xx_LSVI_StilstaandeWateren";"LIMHAS0462_3130a_24";"LIMHAS0462";"2024-09-05";500;500;"3130_aom";"hoog";TRUE;TRUE
"703";"IV2024102916363975";"HT31xx_LSVI_StilstaandeWateren";"LIMHAS0462_3130n_24";"LIMHAS0462";"2024-09-05";500;500;"3130_na";"hoog";TRUE;TRUE
"704";"IV2024103007214333";"HT31xx_LSVI_StilstaandeWateren";"LIMMGR0376_3160_24";"LIMMGR0376";"2024-09-06";500;500;"3160";"hoog";TRUE;TRUE
"705";"IV2024103007275411";"HT31xx_LSVI_StilstaandeWateren";"LIMBOC0019_3130n_24";"LIMBOC0019";"2024-09-09";500;500;"3130_na";"hoog";TRUE;TRUE
"706";"IV2024103007363138";"HT31xx_LSVI_StilstaandeWateren";"LIMBOC0019_3140_24";"LIMBOC0019";"2024-09-09";500;500;"3140";"hoog";TRUE;TRUE
"707";"IV2024103007415234";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0576_3130n_24";"LIMZNH0576";"2024-09-10";500;500;"3130_na";"matig";TRUE;TRUE
"708";"IV2024103007510788";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0576_3130a_24";"LIMZNH0576";"2024-09-10";500;500;"3130_aom";"matig";TRUE;TRUE
"709";"IV2024103011243475";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0516_3130a_24";"LIMZNH0516";"2024-09-10";500;500;"3130_aom";"hoog";TRUE;TRUE
"710";"IV2024103011385514";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0516_3140_24";"LIMZNH0516";"2024-09-10";500;500;"3140";"hoog";TRUE;TRUE
"711";"IV2024103011443885";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0516_3130n_24";"LIMZNH0516";"2024-09-10";500;500;"3130_na";"hoog";TRUE;TRUE
"712";"IV2024103011501464";"HT31xx_LSVI_StilstaandeWateren";"ANTBCT0275_3160_24";"ANTBCT0275";"2024-09-11";500;500;"3160";"hoog";TRUE;TRUE
"713";"IV2024103013174404";"HT31xx_LSVI_StilstaandeWateren";"LIMDPB0311_3150_24";"LIMDPB0311";"2024-09-12";500;500;"3150";"hoog";TRUE;TRUE
"714";"IV2024103013230064";"HT31xx_LSVI_StilstaandeWateren";"LIMDPB0315_3150_24";"LIMDPB0315";"2024-09-12";500;500;"3150";"hoog";TRUE;TRUE
"715";"IV2024103013483911";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0318_3130a_24";"LIMZNH0318";"2024-09-13";500;500;"3130_aom";"hoog";TRUE;TRUE
"716";"IV2024103013531318";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0318_3160_24";"LIMZNH0318";"2024-09-13";500;500;"3160";"hoog";TRUE;TRUE
"717";"IV2024103109505276";"HT31xx_LSVI_StilstaandeWateren";"LIMLOM0067_3130a_24";"LIMLOM0067";"2024-09-16";500;500;"3130_aom";"hoog";TRUE;TRUE
"718";"IV2024103109575023";"HT31xx_LSVI_StilstaandeWateren";"LIMLOM0067_3130n_24";"LIMLOM0067";"2024-09-16";500;500;"3130_na";"hoog";TRUE;TRUE
"719";"IV2024103111193960";"HT31xx_LSVI_StilstaandeWateren";"ANTBCT0019_3160_24";"ANTBCT0019";"2024-09-19";500;500;"3160";"hoog";FALSE;TRUE
"720";"IV2024103111323262";"HT31xx_LSVI_StilstaandeWateren";"ANTBCT0019w_3160_24";"ANTBCT0019";"2024-09-19";500;500;"3160";"hoog";TRUE;TRUE
"721";"IV2024103111373637";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0384_3160_24";"ANTKAL0384";"2024-09-20";500;500;"3160";"hoog";TRUE;TRUE
"722";"IV2024103113012908";"HT2190_a_LSVI_StilstaandeWateren";"WV_ZWI_006_2190a_20";"WV_ZWI_006";"2020-06-22";500;500;"2190_a";NA;TRUE;TRUE
"723";"IV2024103113162816";"HT31xx_LSVI_StilstaandeWateren";"LIMLUM0210_3150_24";"LIMLUM0210";"2024-09-24";500;500;"3150";"hoog";TRUE;TRUE
"724";"IV2024103113221143";"HT31xx_LSVI_StilstaandeWateren";"ANTMOL0068_3140_24";"ANTMOL0068";"2024-09-25";500;500;"3140";"hoog";TRUE;TRUE
"725";"IV2024103113260929";"HT31xx_LSVI_StilstaandeWateren";"ANTMOL0068_3130a_24";"ANTMOL0068";"2024-09-25";500;500;"3130_aom";"hoog";TRUE;TRUE
"726";"IV2024103113440448";"HT31xx_LSVI_StilstaandeWateren";"LIMKIN0231_3150_24";"LIMKIN0231";"2024-09-26";500;500;"3150";"matig";TRUE;TRUE
"727";"IV2024103113472220";"HT31xx_LSVI_StilstaandeWateren";"LIMKIN0231_3140_24";"LIMKIN0231";"2024-09-26";500;500;"3140";"matig";TRUE;TRUE
"728";"IV2024110408002650";"HT31xx_LSVI_StilstaandeWateren";"ANTMRK0228_3150_24";"ANTMRK0228";"2024-10-03";500;500;"3150";"hoog";TRUE;TRUE
"729";"IV2024110408043212";"HT31xx_LSVI_StilstaandeWateren";"ANTMRK0228_3140_24";"ANTMRK0228";"2024-10-03";500;500;"3140";"hoog";TRUE;TRUE
"730";"IV2024110408093124";"HT31xx_LSVI_StilstaandeWateren";"ANTMRK0228_3130n_24";"ANTMRK0228";"2024-10-03";500;500;"3130_na";"hoog";TRUE;TRUE
"731";"IV2024111214344240";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0011_3160_23";"ANTKAL0011";"2023-09-15";500;500;"3160";"hoog";FALSE;TRUE
"732";"IV2024112010420092";"HT31xx_LSVI_StilstaandeWateren";"ANTMOL0747_3140_24";"ANTMOL0747";"2024-08-29";500;500;"3140";"hoog";TRUE;TRUE
"733";"IV2024120314123342";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0446_3130a_24";"LIMZNH0446";"2024-06-12";500;500;"3130_aom";"hoog";TRUE;TRUE
"734";"IV2024120314351026";"HT31xx_LSVI_StilstaandeWateren";"LIMZNH0446_3130n_24";"LIMZNH0446";"2024-06-12";500;500;"3130_na";"hoog";TRUE;TRUE
"735";"IV2024120315580665";"HT31xx_LSVI_StilstaandeWateren";"ANTHTS0151_3130a_24";"ANTHTS0151";"2024-08-23";500;500;"3130_aom";"laag";TRUE;TRUE
"736";"IV2024120316140532";"HT31xx_LSVI_StilstaandeWateren";"ANTHTS0151_3160_24";"ANTHTS0151";"2024-08-23";500;500;"3160";"laag";TRUE;TRUE
"737";"IV2024120317285656";"HT31xx_LSVI_StilstaandeWateren";"ANTKAS0610_3160_24";"ANTKAS0610";"2024-08-23";500;500;"3160";"hoog";TRUE;TRUE
"738";"IV2024120317370208";"HT31xx_LSVI_StilstaandeWateren";"LIMZUT0080_3130a_24";"LIMZUT0080";"2024-08-05";500;500;"3130_aom";"matig";TRUE;TRUE
"739";"IV2024120317531856";"HT31xx_LSVI_StilstaandeWateren";"OVLBVN0462_3140_24";"OVLBVN0462";"2024-09-12";500;500;"3140";"hoog";TRUE;TRUE
"740";"IV2024120415205432";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0492_3130a_23";"ANTKAL0492";"2023-09-13";500;500;"3130_aom";NA;TRUE;TRUE
"741";"IV2024120415323809";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0492_3160_23";"ANTKAL0492";"2023-09-13";500;500;"3160";"hoog";TRUE;TRUE
"742";"IV2024120415492353";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0385_3160_24";"ANTKAL0385";"2024-08-21";500;500;"3160";"hoog";TRUE;TRUE
"743";"IV2024120415554368";"HT31xx_LSVI_StilstaandeWateren";"ANTMOL0092_3130n_24";"ANTMOL0092";"2024-07-08";500;500;"3130_na";"hoog";TRUE;TRUE
"744";"IV2024120416170638";"HT31xx_LSVI_StilstaandeWateren";"ANTOTH0271_3160_23";"ANTOTH0271";"2023-10-11";500;500;"3160";"hoog";TRUE;TRUE
"745";"IV2024120416172354";"HT31xx_LSVI_StilstaandeWateren";"ANTMOL0092_3130a_24";"ANTMOL0092";"2024-07-08";500;500;"3130_aom";"hoog";TRUE;TRUE
"746";"IV2024120416303103";"HT31xx_LSVI_StilstaandeWateren";"ANTMOL0092_3150_24";"ANTMOL0092";"2024-07-08";500;500;"3150";"hoog";TRUE;TRUE
"747";"IV2024120416361179";"HT31xx_LSVI_StilstaandeWateren";"ANTOTH0324_3130a_23";"ANTOTH0324";"2023-10-09";500;500;"3130_aom";"hoog";TRUE;TRUE
"748";"IV2024120508334531";"HT31xx_LSVI_StilstaandeWateren";"OVLBVN0461_3140_24";"OVLBVN0461";"2024-08-30";500;500;"3140";"matig";TRUE;TRUE
"749";"IV2024120509335207";"HT31xx_LSVI_StilstaandeWateren";"OVLBVN0463_3140_24";"OVLBVN0463";"2024-08-30";500;500;"3140";"matig";TRUE;TRUE
"750";"IV2024120509470854";"HT31xx_LSVI_StilstaandeWateren";"OVLBVN0465_3140_24";"OVLBVN0465";"2024-09-12";500;500;"3140";"hoog";TRUE;TRUE
"751";"IV2024120511231676";"HT31xx_LSVI_StilstaandeWateren";"OVLMOE0016_3150_24";"OVLMOE0016";"2024-07-24";500;500;"3150";"hoog";TRUE;TRUE
"752";"IV2024120511541167";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0386b_3130a_24";"ANTKAL0386b";"2024-08-21";500;500;"3130_aom";"hoog";TRUE;TRUE
"753";"IV2024120511591169";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0386b_3160_24";"ANTKAL0386b";"2024-08-21";500;500;"3160";"hoog";TRUE;TRUE
"754";"IV2024120512114733";"HT31xx_LSVI_StilstaandeWateren";"ANTBAL0396_3150_24";"ANTBAL0396";"2024-06-14";500;500;"3150";"hoog";TRUE;TRUE
"755";"IV2024120512353957";"HT31xx_LSVI_StilstaandeWateren";"ANTBAL0592_3150_24";"ANTBAL0592";"2024-06-14";500;500;"3150";"hoog";TRUE;TRUE
"756";"IV2024120513293756";"HT31xx_LSVI_StilstaandeWateren";"ANTBAL0595_3150_24";"ANTBAL0595";"2024-06-14";500;500;"3150";"hoog";TRUE;TRUE
"757";"IV2024120514454832";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0235_3160_24";"ANTKAL0235";"2024-08-26";500;500;"3160";"hoog";TRUE;TRUE
"758";"IV2024120514543681";"HT31xx_LSVI_StilstaandeWateren";"ANTKAL0233_3160_24";"ANTKAL0233";"2024-08-26";500;500;"3160";"hoog";TRUE;TRUE
"759";"IV2024120615501766";"HT31xx_LSVI_StilstaandeWateren";"OVLBVN0464_3140_24";"OVLBVN0464";"2024-06-25";500;500;"3140";"hoog";TRUE;TRUE
"760";"IV2024121809142613";"HT31xx_LSVI_StilstaandeWateren";"OV_LIO_001_3140_20";"OV_LIO_001";"2022-05-22";500;500;"3140";"hoog";TRUE;TRUE
"761";"IV2024121811134796";"HT31xx_LSVI_StilstaandeWateren";"OV_LIO_002_3140_18";"OV_LIO_002";"2018-05-24";500;500;"3140";"hoog";TRUE;TRUE
"762";"IV2025011010231480";"HT31xx_LSVI_StilstaandeWateren";"OV_LIO_001_3140_18";"OV_LIO_001";"2018-05-24";500;500;"3140";"hoog";TRUE;TRUE
"763";"IV2025020510013881";"HT31xx_LSVI_StilstaandeWateren";"OVLGNT0817_3140_22";"OVLGNT0817";"2022-07-05";500;500;"3140";"hoog";TRUE;TRUE
"764";"IV2025020511071869";"HT31xx_LSVI_StilstaandeWateren";"WVLHAR0329_3150_22";"WVLHAR0329";"2022-08-18";500;500;"3150";"hoog";TRUE;TRUE
"765";"IV2025020511155513";"HT31xx_LSVI_StilstaandeWateren";"WVLHAR0329_3140_22";"WVLHAR0329";"2022-08-18";500;500;"3140";"hoog";TRUE;TRUE
