ID	Habitattype	Versie	Kwaliteitsniveau	Status	Aggregatiemethode	Index_min_min	Index_min_harm	Index_harm_harm
IV2018020911503453	3140	Versie 3	1	0	RapportageHR	-0.571428571428571	-0.229219143576826	-0.168383180838674
IV2018020911594119	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.484819957637091	-0.430793979591185
IV2018020912063019	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018022807152484	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018022807290902	3130_aom	Versie 3	1	0	RapportageHR	-0.9505	-0.877489687684149	-0.787856769628378
IV2018022807471313	3140	Versie 3	1	0	RapportageHR	-0.166666666666667	0.20007678955662	0.483204717265589
IV2018022808000208	3130_aom	Versie 3	1	1	RapportageHR	-0.666666666666667	-0.328334154094104	-0.300733443344069
IV2018022808192220	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018022808283147	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018022808380131	3150	Versie 3	1	0	RapportageHR	-0.9505	-0.867268501966393	-0.764370324185088
IV2018022808440555	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018022808530677	3150	Versie 3	1	0	RapportageHR	-0.45	-0.215215286989567	-0.103018503168359
IV2018022808561819	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018022809110643	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018022809172113	3140	Versie 3	1	0	RapportageHR	-0.214285714285714	0.0352941176470587	0.153382600997669
IV2018022809230402	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018022811012850	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018022811445956	3160	Versie 3	1	0	RapportageHR	-0.111111111111111	0.142857142857143	0.357629535731263
IV2018030107523816	3150	Versie 3	1	0	RapportageHR	-0.571428571428571	-0.274165457184325	-0.041253789285757
IV2018030108093775	3150	Versie 3	1	0	RapportageHR	-0.9505	-0.893624641833811	-0.809233239662786
IV2018030108203323	3150	Versie 3	1	0	RapportageHR	-0.742857142857143	-0.472641421005765	-0.289800039074704
IV2018030109245054	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018030109342549	3130_aom	Versie 3	1	0	RapportageHR	-0.005	0.0481565086531226	0.197315578752449
IV2018030109571495	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.543252595155709	-0.416754415194935
IV2018030110052976	3130_aom	Versie 3	1	0	RapportageHR	-0.333333333333333	-0.0986342943854325	-0.0238571554379015
IV2018030110125920	3130_aom	Versie 3	1	0	RapportageHR	-0.45	-0.214285714285714	0.0293797606093582
IV2018030110195394	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018030110233140	3130_aom	Versie 3	1	0	RapportageHR	-0.45	-0.232032854209446	-0.0624848304798492
IV2018030111095449	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.487101426053517	-0.396565155316524
IV2018030111155389	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018030115153464	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018030208224229	3150	Versie 3	1	0	RapportageHR	-0.299649824912456	-0.165397098761343	-0.0616736631339116
IV2018030208294109	3150	Versie 3	1	0	RapportageHR	-0.142857142857143	-0.0539826748362561	0.0949896418804266
IV2018030607315791	3140	Versie 3	1	0	RapportageHR	-0.0714285714285714	0.43558282208589	0.542581567463574
IV2018030607421066	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018031512094752	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018031611034923	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018031612035132	3140	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018031612111040	3130_aom	Versie 3	1	0	RapportageHR	-0.9505	-0.876343954348412	-0.828952226391611
IV2018082008201439	3160	Versie 3	1	0	RapportageHR	-0.111111111111111	0.237113402061856	0.492734938499599
IV2018082010271159	3150	Versie 3	1	0	RapportageHR	-0.45	-0.0981936081519222	0.0759135179940595
IV2018082011540115	3150	Versie 3	1	0	RapportageHR	-0.45	-0.31321540062435	-0.201142987336004
IV2018082012290419	3150	Versie 3	1	0	RapportageHR	-0.785714285714286	-0.513844757149342	-0.367692245763281
IV2018082012413631	3160	Versie 3	1	0	RapportageHR	-0.111111111111111	0.237113402061856	0.491677786361402
IV2018082012595751	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.521739130434783	-0.440423731160225
IV2018082014281713	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082014440693	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082015012770	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082107552331	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082108175259	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.453038674033149	-0.395897786513973
IV2018082108515790	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082109012829	3150	Versie 3	1	0	RapportageHR	-0.149574787393697	0.00815856182960228	0.159258467468133
IV2018082109180907	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082110485943	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082215075182	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.511340206185567	-0.484046615598921
IV2018082308241033	3130_aom	Versie 3	1	0	RapportageHR	-0.971428571428571	-0.923664122137405	-0.858452348801372
IV2018082311251393	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.504854368932039	-0.469113085537038
IV2018082315010378	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082408132366	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082409480563	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082412023259	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082412304466	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082413550581	3110	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082414191907	3130_aom	Versie 3	1	1	RapportageHR	-0.333333333333333	0.0615125950282736	0.0771635030032434
IV2018082414303701	3130_na	Versie 3	1	1	RapportageHR	-1	-1	-1
IV2018082708265940	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082708404936	3110	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082708514386	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.48526863084922	-0.380617586520669
IV2018082712222671	3130_aom	Versie 3	1	1	RapportageHR	-0.333333333333333	0.00598802395209597	0.0397497629248298
IV2018082714371371	3150	Versie 3	1	0	RapportageHR	-0.785714285714286	-0.550305069425264	-0.334552127521197
IV2018082714551969	3140	Versie 3	1	0	RapportageHR	-0.785714285714286	-0.513870039628685	-0.262690567952945
IV2018082808303101	3130_aom	Versie 3	1	0	RapportageHR	-0.45	-0.247148288973384	-0.0800756414854422
IV2018082808454134	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082814440090	3150	Versie 3	1	0	RapportageHR	-0.9505	-0.868006175149701	-0.769038324780903
IV2018082908092463	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082909343381	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018082911514477	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018083008425607	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018083009021339	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018083009213994	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018083009353126	3130_aom	Versie 3	1	0	RapportageHR	-0.0714285714285714	0.042838734514268	0.251824945572549
IV2018083010065136	3130_aom	Versie 3	1	0	RapportageHR	-0.5	-0.294117647058824	-0.152257134919551
IV2018090412381639	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018090412483372	3150	Versie 3	1	0	RapportageHR	-0.9505	-0.867953454857651	-0.767123380266458
IV2018090508595162	3130_aom	Versie 3	1	0	RapportageHR	-0.9505	-0.887648950255344	-0.862444277195623
IV2018090509082763	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018090509480277	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018090510080311	3130_aom	Versie 3	1	0	RapportageHR	-0.0555555555555555	0.0494414384759396	0.223061463572764
IV2018090510164322	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018090510175155	3130_aom	Versie 3	1	0	RapportageHR	-0.9505	-0.874312314853999	-0.785230600765484
IV2018090510275856	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018090514203660	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018090514382356	3150	Versie 3	1	0	RapportageHR	-0.9505	-0.874749604638904	-0.781834027494716
IV2018090608472872	3130_aom	Versie 3	1	1	RapportageHR	-0.666666666666667	-0.316328964968195	-0.288285862653997
IV2018090609025511	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018090609212270	3150	Versie 3	1	0	RapportageHR	-0.5	-0.30593849416755	-0.185649852247395
IV2018090613583635	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018091011515161	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018091014594933	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018091015012343	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018091107504655	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018091108383153	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018091112013619	3150	Versie 3	1	0	RapportageHR	-0.5	-0.211431643117311	-0.142531929864134
IV2018091310241016	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018091311180061	3150	Versie 3	1	0	RapportageHR	-0.9505	-0.871673688734607	-0.784775773996234
IV2018091413035960	3140	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101005532264	3130_aom	Versie 3	1	0	RapportageHR	-0.15	0.0587786331973703	0.329369192158593
IV2018101006000237	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101206332344	3160	Versie 3	1	0	RapportageHR	-0.357142857142857	-0.0181818181818183	0.265625
IV2018101206401783	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101206470581	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101514360810	3130_aom	Versie 3	1	0	RapportageHR	-0.45	-0.306070692661278	-0.102260697467882
IV2018101514410150	3150	Versie 3	1	0	RapportageHR	-0.5	-0.211431643117311	-0.120982890625146
IV2018101514471402	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101514513628	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101514541455	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101515184939	3150	Versie 3	1	1	RapportageHR	0	0.158608159847826	0.304975266003337
IV2018101515220639	3150	Versie 3	1	0	RapportageHR	-0.45	-0.216255442670537	-0.0155896404324868
IV2018101515285131	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.48526863084922	-0.399075570747235
IV2018101611291989	3130_na	Versie 3	1	1	RapportageHR	-1	-1	-1
IV2018101611385572	3130_aom	Versie 3	1	1	RapportageHR	-0.333333333333333	0.0615125950282736	0.125675564158231
IV2018101611434662	3130_na	Versie 3	1	1	RapportageHR	-1	-1	-1
IV2018101612012319	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.50561797752809	-0.390677448719864
IV2018101612080606	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101612141219	3140	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101612410860	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101612451289	3130_na	Versie 3	1	1	RapportageHR	-1	-1	-1
IV2018101612554328	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101613004118	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.453038674033149	-0.402183169466594
IV2018101613064311	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101613204036	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101613254663	3130_aom	Versie 3	1	0	RapportageHR	-0.333333333333333	-0.299820466786355	-0.171357940009762
IV2018101715281848	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101715313167	3140	Versie 3	1	0	RapportageHR	-0.299649824912456	0.0998288327824206	0.399915742250187
IV2018101719542365	3150	Versie 3	1	0	RapportageHR	0	0.195945945945946	0.247838481634892
IV2018101721571240	3150	Versie 3	1	0	RapportageHR	-0.571428571428571	-0.274165457184325	-0.0475948643887574
IV2018101722034851	3130_aom	Versie 3	1	0	RapportageHR	-0.166666666666667	-0.108910891089109	0.0404912910955224
IV2018101722193842	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018101722342586	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018102513241287	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018102513330797	3140	Versie 3	1	0	RapportageHR	-0.149574787393697	0.211767530259268	0.496068052391356
IV2018102513371536	3150	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018102513452791	3150	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018102513502132	3140	Versie 3	1	0	RapportageHR	-0.0995497748874437	0.244608982648504	0.339975534518766
IV2018102606574456	3130_na	Versie 3	1	1	RapportageHR	-1	-1	-1
IV2018102607035926	3130_na	Versie 3	1	1	RapportageHR	0	0.216295095257398	0.352274315416523
IV2018102912371643	3160	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018102912480864	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.445103857566766	-0.435700682166424
IV2018102912582617	3150	Versie 3	1	0	RapportageHR	-0.9505	-0.871623081910526	-0.775498083256844
IV2018102913022668	3150	Versie 3	1	1	RapportageHR	0	0.27915701031647	0.329798656366145
IV2018110808573020	3130_aom	Versie 3	1	0	RapportageHR	-0.2	0.0319978184980556	0.299403995183278
IV2018110812564810	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018110813004302	3140	Versie 3	1	0	RapportageHR	-0.19959979989995	0.17683285338776	0.444150475032938
IV2018120608194378	3150	Versie 3	1	0	RapportageHR	-0.928571428571428	-0.810124659874707	-0.674899830852522
IV2018120608354839	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.495219885277247	-0.394032134659526
IV2018120608511578	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.415859030837004	-0.367582758055669
IV2018120609024241	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.453038674033149	-0.365569731592717
IV2018120609152559	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.457013574660633	-0.383199451568399
IV2018120609235071	3160	Versie 3	1	0	RapportageHR	-0.5	-0.172413793103448	-0.0745501285347043
IV2018120609394889	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018120610032739	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.453038674033149	-0.374077976817703
IV2018120610203136	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2018120610423940	3160	Versie 3	1	0	RapportageHR	-0.277777777777778	0.04	0.276363636363637
IV2018120611103928	3130_aom	Versie 3	1	0	RapportageHR	-0.9505	-0.876680334250273	-0.789323992904937
IV2018120611280232	3130_aom	Versie 3	1	0	RapportageHR	-0.45	-0.324808184143222	-0.115820545327253
IV2018120611315406	3130_na	Versie 3	1	1	RapportageHR	-1	-1	-1
IV2019042409264442	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.459443878975671	-0.346193917952276
IV2019042409415834	3130_aom	Versie 3	1	1	RapportageHR	-0.333333333333333	-0.0225054440571444	0.044046390764136
IV2019042409550003	3150	Versie 3	1	0	RapportageHR	-0.00450225112556278	0.0483405664400571	0.152303828930014
IV2019080910510887	3130_aom	Versie 3	1	0	RapportageHR	-0.45	-0.225554106910039	-0.0606189425966246
IV2019080912374366	3130_aom	Versie 3	1	0	RapportageHR	-0.333333333333333	-0.0526315789473683	0.0135994380411821
IV2019080912402364	3140	Versie 3	1	0	RapportageHR	-0.9505	-0.858504049547404	-0.74140182847192
IV2019080912472073	3130_na	Versie 3	1	0	RapportageHR	-0.01	0.0676380589692775	0.255296953135015
IV2019080912525522	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019080912572674	3140	Versie 3	1	0	RapportageHR	-0.9505	-0.861957468870473	-0.743217984823529
IV2019080913060672	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019080913170487	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019080913204931	3130_na	Versie 3	1	1	RapportageHR	-1	-1	-1
IV2019080913310713	3130_aom	Versie 3	1	0	RapportageHR	-0.642857142857143	-0.311224489795918	-0.0963417459738406
IV2019080913355919	3130_na	Versie 3	1	1	RapportageHR	-1	-1	-1
IV2019080913390919	3140	Versie 3	1	0	RapportageHR	-0.642857142857143	-0.213180901143242	0.0690117373201506
IV2019080913483666	3130_aom	Versie 3	1	0	RapportageHR	-0.005	0.0695701331124645	0.260579140927819
IV2019080913523810	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019080913571562	3140	Versie 3	1	0	RapportageHR	-0.00450225112556278	0.301878420235927	0.561077570772324
IV2019080914355110	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.409666283084005	-0.36105525094487
IV2019082909514203	3150	Versie 3	1	0	RapportageHR	-0.285714285714286	-0.0789473684210528	-0.0485792107777772
IV2019082909570134	3150	Versie 3	1	0	RapportageHR	-0.5	-0.407998744239761	-0.273655169384527
IV2019082910082519	3140	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019082910171726	3130_aom	Versie 3	1	0	RapportageHR	-0.666666666666667	-0.346438072716524	-0.325271303113567
IV2019082910244478	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019082913333356	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019082913384667	3130_na	Versie 3	1	1	RapportageHR	-1	-1	-1
IV2019082913452312	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019082913504693	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019083014270835	3150	Versie 3	1	0	RapportageHR	-0.749874937468734	-0.590797490224607	-0.387620130517771
IV2019100111311608	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019100111354307	3130_na	Versie 3	1	0	RapportageHR	-1	-1	-1
IV2019100111453143	3130_aom	Versie 3	1	0	RapportageHR	-0.833333333333333	-0.678048780487805	-0.422217488649071
IV2019100111490964	3140	Versie 3	1	0	RapportageHR	-0.833333333333333	-0.589032090175722	-0.358276223187793
IV2019100112032024	3130_aom	Versie 3	1	0	RapportageHR	-1	-1	-1
