recording_givid	survey	user_reference	location	date	latitude	longitude	type_observed	reliability	suitable_mhq	measured
IV2017120708120471	HT31xx_LSVI_StilstaandeWateren	LI_TEU_004_3130a_17	LI_TEU_004	2017-08-28	51.0021441	5.41484724	3	hoog	1	1
IV2017120708235225	HT31xx_LSVI_StilstaandeWateren	LI_TEU_004_3160_17	LI_TEU_004	2017-08-28	51.0021441	5.41484724	7	hoog	1	1
IV2017120807095988	HT31xx_LSVI_StilstaandeWateren	LI_MLV_016_3140_17	LI_MLV_016	2017-10-20	50.98084203	5.31860186	5	hoog	1	1
IV2017120807160378	HT31xx_LSVI_StilstaandeWateren	LI_MLV_016_3130n_17	LI_MLV_016	2017-10-20	50.98084203	5.31860186	4	hoog	1	1
IV2017120807201262	HT31xx_LSVI_StilstaandeWateren	LI_MLV_016_3130a_17	LI_MLV_016	2017-10-20	50.98084203	5.31860186	3	hoog	1	1
IV2017120807491938	HT31xx_LSVI_StilstaandeWateren	AN_BLA_001_3130a_17	AN_BLA_001	2017-07-14	51.33366978	4.81887489	3	hoog	1	1
IV2017120807593495	HT31xx_LSVI_StilstaandeWateren	AN_BLA_001_3130n_17	AN_BLA_001	2017-07-14	51.33366978	4.81887489	4	hoog	1	1
IV2017120808142110	HT31xx_LSVI_StilstaandeWateren	AN_SEL_002_3150_17	AN_SEL_002	2017-06-29	51.17240484	5.0547551	6	hoog	1	1
IV2017120808302127	HT31xx_LSVI_StilstaandeWateren	VB_VIE_004_3150_17	VB_VIE_004	2017-07-07	51.01657302	4.97743116	6	hoog	1	1
IV2017120808375733	HT31xx_LSVI_StilstaandeWateren	VB_VIE_004_3130a_17	VB_VIE_004	2017-07-07	51.01657302	4.97743116	3	hoog	1	1
IV2017120813404463	HT31xx_LSVI_StilstaandeWateren	LI_DKV_002_3140_17	LI_DKV_002	2017-06-27	50.77689031	5.48464794	5	hoog	1	1
IV2017120813445226	HT31xx_LSVI_StilstaandeWateren	AN_GSV_004_3140_17	AN_GSV_004	2017-08-18	51.33495844	4.55126662	5	hoog	1	1
IV2017120813484970	HT31xx_LSVI_StilstaandeWateren	AN_GSV_004_3150_17	AN_GSV_004	2017-08-18	51.33495844	4.55126662	6	hoog	1	1
IV2017120814051602	HT31xx_LSVI_StilstaandeWateren	LI_MLV_010_3140_17	LI_MLV_010	2017-10-12	50.97513484	5.3169537	5	hoog	0	1
IV2017120814135316	HT31xx_LSVI_StilstaandeWateren	LI_MLV_010_3130n_17	LI_MLV_010	2017-10-12	50.97513484	5.3169537	4	hoog	1	1
IV2017120814183435	HT31xx_LSVI_StilstaandeWateren	LI_MLV_010_3130a_17	LI_MLV_010	2017-10-12	50.97513484	5.3169537	3	hoog	0	1
IV2017121311203577	HT31xx_LSVI_StilstaandeWateren	AN_RVS_002_3130n_17	AN_RVS_002	2017-09-01	51.34408879	4.70406303	4	hoog	1	1
IV2017121311300313	HT31xx_LSVI_StilstaandeWateren	AN_BOG_001_3130a_17	AN_BOG_001	2017-09-28	51.41993335	5.05007801	3	hoog	1	1
IV2017121311393451	HT31xx_LSVI_StilstaandeWateren	AN_BOG_001_3130n_17	AN_BOG_001	2017-09-28	51.41993335	5.05007801	4	hoog	1	1
IV2017121311445717	HT31xx_LSVI_StilstaandeWateren	LI_MUN_002_3130n_17	LI_MUN_002	2017-09-18	50.90220881	5.54185552	4	hoog	1	1
IV2017121311494712	HT31xx_LSVI_StilstaandeWateren	LI_BOK_007_3130n_17	LI_BOK_007	2016-09-20	50.96342592	5.39250165	4	hoog	1	1
IV2017121312021093	HT31xx_LSVI_StilstaandeWateren	LI_BOK_007_3130a_17	LI_BOK_007	2016-09-20	50.96342592	5.39250165	3	hoog	1	1
IV2017121415063194	HT31xx_LSVI_StilstaandeWateren	OV_FON_001_3150_17	OV_FON_001	2017-07-20	51.17620349	4.01064951	6	hoog	1	1
IV2017121415181838	HT31xx_LSVI_StilstaandeWateren	AN_ZAM_002_3150_17	AN_ZAM_002	2017-08-02	51.09826208	4.96144675	6	hoog	1	1
IV2018010315005388	HT31xx_LSVI_StilstaandeWateren	AN_GSV_006_3160_17	AN_GSV_006	2017-08-18	51.34852052	4.56187715	7	hoog	0	1
IV2018020909033210	HT31xx_LSVI_StilstaandeWateren	AN_ZAM_003_3150_17	AN_ZAM_003	2017-08-02	51.09815659	4.96232363	6	hoog	1	1
IV2018020909145948	HT31xx_LSVI_StilstaandeWateren	AN_GSV_003_3130a_17	AN_GSV_003	2017-08-18	51.33620992	4.55834242	3	hoog	1	1
IV2018020909312908	HT31xx_LSVI_StilstaandeWateren	AN_BGO_002_3130a_17	AN_BGO_002	2017-09-06	51.21711752	5.17882395	3	hoog	1	1
IV2018020909370337	HT31xx_LSVI_StilstaandeWateren	AN_BGO_002_3130n_17	AN_BGO_002	2017-09-06	51.21711752	5.17882395	4	hoog	1	1
IV2018020909501549	HT31xx_LSVI_StilstaandeWateren	AN_BGO_002_3140_17	AN_BGO_002	2017-09-06	51.21711752	5.17882395	5	hoog	1	1
IV2018020910124046	HT31xx_LSVI_StilstaandeWateren	AN_BGO_002_3160_17	AN_BGO_002	2017-09-06	51.21711752	5.17882395	7	laag	1	1
IV2018020910244945	HT31xx_LSVI_StilstaandeWateren	AN_BGO_001_3130a_17	AN_BGO_001	2017-09-06	51.21296318	5.16170094	3	hoog	1	1
IV2018020910314240	HT31xx_LSVI_StilstaandeWateren	AN_BGO_001_3130n_17	AN_BGO_001	2017-09-06	51.21296318	5.16170094	4	hoog	1	1
IV2018020910422627	HT31xx_LSVI_StilstaandeWateren	AN_BGO_001_3150_17	AN_BGO_001	2017-09-06	51.21296318	5.16170094	6	hoog	1	1
IV2018020911440914	HT31xx_LSVI_StilstaandeWateren	AN_GRD_003_3130n_17	AN_GRD_003	2017-09-06	51.32622006	5.11794154	4	hoog	1	1
IV2018020911503453	HT31xx_LSVI_StilstaandeWateren	AN_GRD_003_3140_17	AN_GRD_003	2017-09-06	51.32622006	5.11794154	5	hoog	1	1
IV2018020911594119	HT31xx_LSVI_StilstaandeWateren	AN_KVD_003_3130a_17	AN_KVD_003	2017-09-15	51.36087833	5.01055923	3	hoog	1	1
IV2018020912063019	HT31xx_LSVI_StilstaandeWateren	AN_KVD_003_3160_17	AN_KVD_003	2017-09-15	51.36087833	5.01055923	7	hoog	1	1
IV2018022807152484	HT31xx_LSVI_StilstaandeWateren	LI_ABH_011_3160_17	LI_ABH_011	2017-06-30	51.0500882	5.02523548	7	hoog	1	1
IV2018022807290902	HT31xx_LSVI_StilstaandeWateren	OV_STB_002_3130a_17	OV_STB_002	2017-08-04	51.24306158	4.06987356	3	hoog	1	1
IV2018022807471313	HT31xx_LSVI_StilstaandeWateren	OV_STB_002_3140_17	OV_STB_002	2017-08-04	51.24306158	4.06987356	5	hoog	1	1
IV2018022808000208	HT31xx_LSVI_StilstaandeWateren	AN_RAV_002_3130a_17	AN_RAV_002	2017-09-15	51.38731592	5.0704429	3	hoog	1	1
IV2018022808115644	HT31xx_LSVI_StilstaandeWateren	AN_KSV_002_GH_17	AN_KSV_002	2017-10-06	51.36295726	4.4908214	1	hoog	0	1
IV2018022808192220	HT31xx_LSVI_StilstaandeWateren	AN_KSV_005_3160_17	AN_KSV_005	2017-10-06	51.35603607	4.49189713	7	hoog	1	1
IV2018022808283147	HT31xx_LSVI_StilstaandeWateren	AN_KSV_004_3160_17	AN_KSV_004	2017-10-10	51.36103068	4.49344772	7	hoog	1	1
IV2018022808380131	HT31xx_LSVI_StilstaandeWateren	LI_TOM_002_3150_17	LI_TOM_002	2017-10-02	50.93273018	5.3085722	6	hoog	1	1
IV2018022808440555	HT31xx_LSVI_StilstaandeWateren	LI_TOM_002_3130a_17	LI_TOM_002	2017-10-02	50.93273018	5.3085722	3	hoog	1	1
IV2018022808530677	HT31xx_LSVI_StilstaandeWateren	VB_VDB_001_3150_17	VB_VDB_001	2017-10-02	51.02714485	5.11029609	6	hoog	1	1
IV2018022808561819	HT31xx_LSVI_StilstaandeWateren	AN_TIE_002_3130a_17	AN_TIE_002	2017-10-05	51.26556387	4.91124619	3	hoog	1	1
IV2018022809110643	HT31xx_LSVI_StilstaandeWateren	AN_TIE_002_3160_17	AN_TIE_002	2017-10-05	51.26556387	4.91124619	7	hoog	1	1
IV2018022809172113	HT31xx_LSVI_StilstaandeWateren	AN_MOE_001_3140_17	AN_MOE_001	2017-09-29	51.39998161	4.90402894	5	hoog	1	1
IV2018022809230402	HT31xx_LSVI_StilstaandeWateren	AN_MOE_001_3130a_17	AN_MOE_001	2017-09-29	51.39998161	4.90402894	3	hoog	1	1
IV2018022811012850	HT31xx_LSVI_StilstaandeWateren	AN_KAL_006_3160_17	AN_KAL_006	2017-10-27	51.40426688	4.440008	7	hoog	1	1
IV2018022811445956	HT31xx_LSVI_StilstaandeWateren	LI_VZB_001_3160_17	LI_VZB_001	2017-10-18	51.09025623	5.3431185	7	hoog	1	1
IV2018030107523816	HT31xx_LSVI_StilstaandeWateren	VB_VOR_002_3150_17	VB_VOR_002	2017-08-16	50.9726112	4.79296745	6	hoog	1	1
IV2018030108093775	HT31xx_LSVI_StilstaandeWateren	VB_VOR_003_3150_17	VB_VOR_003	2017-08-16	50.97272192	4.79309842	6	hoog	1	1
IV2018030108203323	HT31xx_LSVI_StilstaandeWateren	VB_KBL_001_3150_17	VB_KBL_001	2017-08-16	50.93352222	4.75434848	6	hoog	1	1
IV2018030108265950	HT31xx_LSVI_StilstaandeWateren	VB_KBL_002_3130a_17	VB_KBL_002	2017-08-16	50.93220238	4.75249673	3	hoog	0	1
IV2018030109245054	HT31xx_LSVI_StilstaandeWateren	LI_PIJ_001_3160_16	LI_PIJ_001	2016-10-13	51.18292358	5.35265206	7	hoog	1	1
IV2018030109342549	HT31xx_LSVI_StilstaandeWateren	AN_KDN_001_3130a_16	AN_KDN_001	2016-10-14	51.24671042	4.7963064	3	hoog	1	1
IV2018030109571495	HT31xx_LSVI_StilstaandeWateren	WV_BUL_002_3130a_17	WV_BUL_002	2017-10-20	51.11005334	3.30784657	3	hoog	1	1
IV2018030110052976	HT31xx_LSVI_StilstaandeWateren	WV_BBV_001_3130a_17	WV_BBV_001	2017-10-18	51.10726132	3.29485682	3	hoog	1	1
IV2018030110125920	HT31xx_LSVI_StilstaandeWateren	WV_BBV_002_3130a_17	WV_BBV_002	2017-10-18	51.10925789	3.29175423	3	hoog	1	1
IV2018030110195394	HT31xx_LSVI_StilstaandeWateren	WV_BBV_002_3130n_17	WV_BBV_002	2017-10-18	51.10925789	3.29175423	4	hoog	1	1
IV2018030110233140	HT31xx_LSVI_StilstaandeWateren	WV_BBV_003_3130a_17	WV_BBV_003	2017-10-18	51.1093172	3.2872267	3	hoog	1	1
IV2018030111095449	HT31xx_LSVI_StilstaandeWateren	LI_MLV_026_3130a_16	LI_MLV_026	2016-09-21	50.97603904	5.30482248	3	hoog	1	1
IV2018030111155389	HT31xx_LSVI_StilstaandeWateren	LI_MLV_026_3130n_16	LI_MLV_026	2017-09-21	50.97603904	5.30482248	4	hoog	1	1
IV2018030115153464	HT31xx_LSVI_StilstaandeWateren	LI_OPH_006_3160_16	LI_OPH_006	2016-09-29	51.04875018	5.5434443	7	hoog	1	1
IV2018030208224229	HT31xx_LSVI_StilstaandeWateren	LI_TOM_001_3150_17	LI_TOM_001	2017-08-01	50.93382249	5.30581349	6	hoog	1	1
IV2018030208294109	HT31xx_LSVI_StilstaandeWateren	AN_ZEG_003_3150_17	AN_ZEG_003	2017-08-24	51.19954901	4.93452738	6	hoog	1	1
IV2018030607315791	HT31xx_LSVI_StilstaandeWateren	AN_KDN_003_3140_17	AN_KDN_003	2017-06-23	51.246551	4.79829426	5	hoog	1	1
IV2018030607421066	HT31xx_LSVI_StilstaandeWateren	AN_KDN_003_3130a_17	AN_KDN_003	2017-06-23	51.246551	4.79829426	3	hoog	1	1
IV2018031512094752	HT31xx_LSVI_StilstaandeWateren	AN_GSV_005_3160_17	AN_GSV_005	2017-09-29	51.3474779	4.56337278	7	hoog	1	1
IV2018031611034923	HT31xx_LSVI_StilstaandeWateren	AN_DVH_007_3130n_17	AN_DVH_007	2017-09-14	51.33024791	4.73737114	4	hoog	1	1
IV2018031612035132	HT31xx_LSVI_StilstaandeWateren	LI_ZUT_001_3140_17	LI_ZUT_001	2017-09-19	50.91122743	5.53582995	5	hoog	1	1
IV2018031612111040	HT31xx_LSVI_StilstaandeWateren	LI_ZUT_001_3130a_17	LI_ZUT_001	2017-09-19	50.91122743	5.53582995	3	hoog	1	1
IV2018082008201439	HT31xx_LSVI_StilstaandeWateren	LI_TEU_005_3160_17	LI_TEU_005	2017-08-28	51.00063045	5.44884162	7	hoog	1	1
IV2018082010271159	HT31xx_LSVI_StilstaandeWateren	AN_BAS_001_3150_17	AN_BAS_001	2017-10-09	51.149567	5.18380131	6	hoog	1	1
IV2018082011540115	HT31xx_LSVI_StilstaandeWateren	WV_DAM_001_3150_17	WV_DAM_001	2017-10-10	51.25205599	3.27656709	6	hoog	1	1
IV2018082012290419	HT31xx_LSVI_StilstaandeWateren	AN_STB_001_3150_17	AN_STB_001	2017-08-21	51.15483159	4.60525056	6	hoog	1	1
IV2018082012413631	HT31xx_LSVI_StilstaandeWateren	LI_TEU_005_3160_16	LI_TEU_005	2016-10-20	51.00063045	5.44884162	7	hoog	1	1
IV2018082012595751	HT31xx_LSVI_StilstaandeWateren	LI_TEU_005_3130a_17	LI_TEU_005	2017-08-28	51.00063045	5.44884162	3	hoog	1	1
IV2018082013250933	HT31xx_LSVI_StilstaandeWateren	WV_BUL_002_WEG_17	WV_BUL_002	2017-10-20	51.11005334	3.30784657	1	hoog	0	1
IV2018082013483710	HT31xx_LSVI_StilstaandeWateren	LI_SBB_005_3130a_16	LI_SBB_005	2016-09-22	50.99345739	5.40814113	3	hoog	0	1
IV2018082014043254	HT31xx_LSVI_StilstaandeWateren	LI_SBB_005_3160_16	LI_SBB_005	2016-09-22	50.99345739	5.40814113	7	hoog	0	1
IV2018082014281713	HT31xx_LSVI_StilstaandeWateren	LI_SBB_004_3130n_16	LI_SBB_004	2016-09-27	50.98248585	5.3881459	4	hoog	1	1
IV2018082014440693	HT31xx_LSVI_StilstaandeWateren	LI_BOK_008_3130n_16	LI_BOK_008	2016-09-08	50.95867101	5.38751202	4	hoog	1	1
IV2018082015012770	HT31xx_LSVI_StilstaandeWateren	LI_BOK_008_3130a_16	LI_BOK_008	2016-09-20	50.95867101	5.38751202	3	hoog	1	1
IV2018082107552331	HT31xx_LSVI_StilstaandeWateren	LI_BOK_006_3130n_16	LI_BOK_006	2016-09-13	50.95009032	5.38040066	4	hoog	1	1
IV2018082108175259	HT31xx_LSVI_StilstaandeWateren	LI_BOK_006_3130a_16	LI_BOK_006	2016-09-13	50.95009032	5.38040066	3	hoog	1	1
IV2018082108365086	HT31xx_LSVI_StilstaandeWateren	LI_WIK_007_3130a_16	LI_WIK_007	2016-09-08	50.96846037	5.42831173	3	matig	0	1
IV2018082108515790	HT31xx_LSVI_StilstaandeWateren	AN_VVM_001_3130n_16	AN_VVM_001	2016-09-20	51.41117486	4.82677066	4	hoog	1	1
IV2018082109012829	HT31xx_LSVI_StilstaandeWateren	WV_LEI_003_3150_17	WV_LEI_003	2017-08-09	51.15550649	3.26875102	6	hoog	1	1
IV2018082109180907	HT31xx_LSVI_StilstaandeWateren	LI_WIK_007_3130n_16	LI_WIK_007	2016-09-08	50.96846037	5.42831173	4	laag	1	1
IV2018082110485943	HT31xx_LSVI_StilstaandeWateren	AN_RAV_003_3130a_18	AN_RAV_003	2018-06-04	51.42137719	5.05726764	3	hoog	1	1
IV2018082215075182	HT31xx_LSVI_StilstaandeWateren	LI_HAG_002_3130a_18	LI_HAG_002	2018-06-05	51.26253609	5.41411484	3	hoog	1	1
IV2018082308241033	HT31xx_LSVI_StilstaandeWateren	AN_VVM_003_3130a_18	AN_VVM_003	2018-06-21	51.47412479	4.7511821	3	hoog	1	1
IV2018082311251393	HT31xx_LSVI_StilstaandeWateren	VB_ASD_001_3130a_18	VB_ASD_001	2018-06-22	51.01703845	5.04049744	3	hoog	1	1
IV2018082315010378	HT31xx_LSVI_StilstaandeWateren	LI_HAG_001_3160_18	LI_HAG_001	2018-06-25	51.26274239	5.41899544	7	hoog	1	1
IV2018082408132366	HT31xx_LSVI_StilstaandeWateren	LI_VZB_007_3160_18	LI_VZB_007	2018-06-29	51.08678254	5.36255613	7	hoog	1	1
IV2018082409480563	HT31xx_LSVI_StilstaandeWateren	LI_VZB_002_3160_18	LI_VZB_002	2018-06-28	51.08366462	5.36853312	7	hoog	1	1
IV2018082412023259	HT31xx_LSVI_StilstaandeWateren	LI_VZB_005_3130a_18	LI_VZB_005	2018-06-28	51.08196445	5.36738532	3	hoog	1	1
IV2018082412304466	HT31xx_LSVI_StilstaandeWateren	LI_VZB_005_3160_18	LI_VZB_005	2018-06-28	51.08196445	5.36738532	7	hoog	1	1
IV2018082413550581	HT31xx_LSVI_StilstaandeWateren	AN_TVG_005_3110_18	AN_TVG_005	2018-07-10	51.36494004	4.9361685	2	hoog	1	1
IV2018082414191907	HT31xx_LSVI_StilstaandeWateren	AN_TVG_005_3130a_18	AN_TVG_005	2018-07-10	51.36494004	4.9361685	3	hoog	1	1
IV2018082414303701	HT31xx_LSVI_StilstaandeWateren	AN_TVG_005_3130n_18	AN_TVG_005	2018-07-10	51.36494004	4.9361685	4	hoog	1	1
IV2018082708265940	HT31xx_LSVI_StilstaandeWateren	AN_TVG_002_3130n_18	AN_TVG_002	2018-07-13	51.37053121	4.9419327	4	hoog	1	1
IV2018082708404936	HT31xx_LSVI_StilstaandeWateren	AN_TVG_002_3110_18	AN_TVG_002	2018-07-13	51.37053121	4.9419327	2	hoog	1	1
IV2018082708514386	HT31xx_LSVI_StilstaandeWateren	AN_TVG_002_3130a_18	AN_TVG_002	2018-07-13	51.37053121	4.9419327	3	hoog	1	1
IV2018082712222671	HT31xx_LSVI_StilstaandeWateren	LI_LOM_001_3130a_18	LI_LOM_001	2018-07-17	51.21856385	5.23762395	3	hoog	1	1
IV2018082714371371	HT31xx_LSVI_StilstaandeWateren	AN_RPT_005_3150_18	AN_RPT_005	2018-07-20	51.29894724	5.14665195	6	hoog	1	1
