"";"survey";"recording_givid";"name";"phenology_code";"species_cover_code";"species_cover";"scale"
"41";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"Glyceria fluitans (L.) R. Brown";"-";"r";1;"Tansley Meren"
"42";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"Juncus effusus L.";"-";"o";3;"Tansley Meren"
"43";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"Molinia caerulea (L.) Moench";"-";"a";30;"Tansley Meren"
"44";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"Littorella uniflora (L.) Aschers.";"-";"r";1;"Tansley Meren"
"45";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"Juncus bulbosus L.";"-";"f";7;"Tansley Meren"
"46";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"Sphagnum";"-";"a";30;"Tansley Meren"
"47";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009542119";"Drepanocladus fluitans";"-";"f";7;"Tansley Meren"
"48";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009592467";"Juncus effusus L.";"-";"o";3;"Tansley Meren"
"49";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009592467";"Lythrum salicaria L.";"-";"o";3;"Tansley Meren"
"50";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009592467";"Polygonum hydropiper L.";"-";"o";3;"Tansley Meren"
"51";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009592467";"Typha";"-";"f";7;"Tansley Meren"
"52";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009592467";"Lemna minuta Humb., Bonpl. et Kunth";"-";"f";7;"Tansley Meren"
"53";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009592467";"Elatine hexandra (Lapierre) DC.";"-";"o";3;"Tansley Meren"
"54";"HT31xx_LSVI_StilstaandeWateren";"IV2017032009592467";"Sphagnum";"-";"f";7;"Tansley Meren"
"55";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"Juncus effusus L.";"-";"f";7;"Tansley Meren"
"56";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"Molinia caerulea (L.) Moench";"-";"f";7;"Tansley Meren"
"57";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"Lemna";"-";"f";7;"Tansley Meren"
"58";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"Draadwier";"-";"f";7;"Tansley Meren"
"59";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"Potamogeton polygonifolius Pourr.";"-";"a";30;"Tansley Meren"
"60";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"Scirpus fluitans L.";"-";"f";7;"Tansley Meren"
"61";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010113891";"Sphagnum";"-";"o";3;"Tansley Meren"
"62";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"Agrostis canina L.";"-";"o";3;"Tansley Meren"
"63";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"Bidens";"-";"o";3;"Tansley Meren"
"64";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"Glyceria maxima (Hartm.) Holmberg";"-";"o";3;"Tansley Meren"
"65";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"Juncus effusus L.";"-";"a";30;"Tansley Meren"
"66";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"Molinia caerulea (L.) Moench";"-";"o";3;"Tansley Meren"
"67";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"Lemna minuta Humb., Bonpl. et Kunth";"-";"o";3;"Tansley Meren"
"68";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"Elatine hexandra (Lapierre) DC.";"-";"f";7;"Tansley Meren"
"69";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"Eleocharis acicularis (L.) Roem. et Schult.";"-";"o";3;"Tansley Meren"
"70";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010205954";"Juncus bulbosus L.";"-";"d";87;"Tansley Meren"
"71";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"Agrostis canina L.";"-";"o";3;"Tansley Meren"
"72";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"Bidens";"-";"o";3;"Tansley Meren"
"73";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"Glyceria maxima (Hartm.) Holmberg";"-";"o";3;"Tansley Meren"
"74";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"Juncus effusus L.";"-";"a";30;"Tansley Meren"
"75";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"Molinia caerulea (L.) Moench";"-";"o";3;"Tansley Meren"
"76";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"Lemna";"-";"o";3;"Tansley Meren"
"77";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"Draadwier";"-";"f";7;"Tansley Meren"
"78";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"Lemna minuta Humb., Bonpl. et Kunth";"-";"o";3;"Tansley Meren"
"79";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"Scirpus fluitans L.";"-";"o";3;"Tansley Meren"
"80";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010360108";"Juncus bulbosus L.";"-";"a";30;"Tansley Meren"
"81";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"Agrostis stolonifera L.";"-";"o";3;"Tansley Meren"
"82";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"Bidens";"-";"r";1;"Tansley Meren"
"83";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"Calamagrostis canescens (Weber) Roth";"-";"o";3;"Tansley Meren"
"84";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"Juncus effusus L.";"-";"a";30;"Tansley Meren"
"85";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"Lythrum salicaria L.";"-";"o";3;"Tansley Meren"
"86";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"Typha";"-";"o";3;"Tansley Meren"
"87";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"Draadwier";"-";"r";1;"Tansley Meren"
"88";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"Potamogeton polygonifolius Pourr.";"-";"o";3;"Tansley Meren"
"89";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"Scirpus fluitans L.";"-";"d";87;"Tansley Meren"
"90";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"Juncus bulbosus L.";"-";"a";30;"Tansley Meren"
"91";"HT31xx_LSVI_StilstaandeWateren";"IV2017032010493372";"Sphagnum";"-";"o";3;"Tansley Meren"
"92";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011215641";"Hydrocotyle vulgaris L.";"-";"f";7;"Tansley Meren"
"93";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011215641";"Juncus effusus L.";"-";"a";30;"Tansley Meren"
"94";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011215641";"Molinia caerulea (L.) Moench";"-";"f";7;"Tansley Meren"
"95";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011215641";"Sphagnum cuspidatum Ehrh. ex Hoffm.";"-";"f";7;"Tansley Meren"
"96";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011215641";"Juncus bulbosus L.";"-";"f";7;"Tansley Meren"
"97";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011233563";"Lemna";"-";"f";7;"Tansley Meren"
"98";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011233563";"Draadwier";"-";"o";3;"Tansley Meren"
"99";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011233563";"Elodea nuttallii (Planch.) St John";"-";"r";1;"Tansley Meren"
"100";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011233563";"Juncus canadensis J. Gay ex Laharpe";"-";"r";1;"Tansley Meren"
"101";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011233563";"Chara fragifera Durieu";"-";"o";3;"Tansley Meren"
"102";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011233563";"Chara globularis var. virgata (Kütz.) R.D. Wood";"-";"a";30;"Tansley Meren"
"103";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Agrostis canina L.";"-";"o";3;"Tansley Meren"
"104";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Calamagrostis canescens (Weber) Roth";"-";"r";1;"Tansley Meren"
"105";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Juncus effusus L.";"-";"a";30;"Tansley Meren"
"106";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Molinia caerulea (L.) Moench";"-";"o";3;"Tansley Meren"
"107";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Potamogeton pusillus L.";"-";"r";1;"Tansley Meren"
"108";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Typha";"-";"r";1;"Tansley Meren"
"109";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Lemna";"-";"f";7;"Tansley Meren"
"110";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Draadwier";"-";"o";3;"Tansley Meren"
"111";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Elodea nuttallii (Planch.) St John";"-";"r";1;"Tansley Meren"
"112";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Juncus canadensis J. Gay ex Laharpe";"-";"r";1;"Tansley Meren"
"113";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Pilularia globulifera L.";"-";"f";7;"Tansley Meren"
"114";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Potamogeton polygonifolius Pourr.";"-";"a";30;"Tansley Meren"
"115";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Scirpus fluitans L.";"-";"f";7;"Tansley Meren"
"116";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Juncus bulbosus L.";"-";"o";3;"Tansley Meren"
"117";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011335845";"Sphagnum";"-";"a";30;"Tansley Meren"
"118";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Agrostis canina L.";"-";"o";3;"Tansley Meren"
"119";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Hydrocotyle vulgaris L.";"-";"f";7;"Tansley Meren"
"120";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Juncus effusus L.";"-";"a";30;"Tansley Meren"
"121";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Molinia caerulea (L.) Moench";"-";"o";3;"Tansley Meren"
"122";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Phragmites australis (Cav.) Steud.";"-";"o";3;"Tansley Meren"
"123";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Typha";"-";"r";1;"Tansley Meren"
"124";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Lemna";"-";"f";7;"Tansley Meren"
"125";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Elodea nuttallii (Planch.) St John";"-";"r";1;"Tansley Meren"
"126";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Juncus canadensis J. Gay ex Laharpe";"-";"r";1;"Tansley Meren"
"127";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Rhynchospora alba (L.) Vahl";"-";"r";1;"Tansley Meren"
"128";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Sparganium natans L.";"-";"f";7;"Tansley Meren"
"129";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Sphagnum fallax (H.Klinggr.) H.Klinggr.";"-";"o";3;"Tansley Meren"
"130";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Utricularia minor L.";"-";"f";7;"Tansley Meren"
"131";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011441776";"Juncus bulbosus L.";"-";"f";7;"Tansley Meren"
"132";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Agrostis canina L.";"-";"o";3;"Tansley Meren"
"133";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Bidens";"-";"r";1;"Tansley Meren"
"134";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Glyceria fluitans (L.) R. Brown";"-";"r";1;"Tansley Meren"
"135";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Juncus effusus L.";"-";"f";7;"Tansley Meren"
"136";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Molinia caerulea (L.) Moench";"-";"o";3;"Tansley Meren"
"137";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Polygonum hydropiper L.";"-";"r";1;"Tansley Meren"
"138";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Typha";"-";"o";3;"Tansley Meren"
"139";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Lemna";"-";"f";7;"Tansley Meren"
"140";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Draadwier";"-";"d";87;"Tansley Meren"
"141";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Lemna minuta Humb., Bonpl. et Kunth";"-";"f";7;"Tansley Meren"
"142";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Potamogeton polygonifolius Pourr.";"-";"f";7;"Tansley Meren"
"143";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Ranunculus ololeucos Lloyd";"-";"o";3;"Tansley Meren"
"144";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Scirpus fluitans L.";"-";"f";7;"Tansley Meren"
"145";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Juncus bulbosus L.";"-";"f";7;"Tansley Meren"
"146";"HT31xx_LSVI_StilstaandeWateren";"IV2017032011501490";"Sphagnum";"-";"f";7;"Tansley Meren"
"147";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809493991";"Draadwier";"-";"f";7;"Tansley Meren"
"148";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809493991";"Lemna";"-";"f";7;"Tansley Meren"
"149";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809493991";"Lemna minuta Humb., Bonpl. et Kunth";"-";"f";7;"Tansley Meren"
"150";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809493991";"Chara globularis var. virgata (Kütz.) R.D. Wood";"-";"o";3;"Tansley Meren"
"151";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"Agrostis canina L.";"-";"o";3;"Tansley Meren"
"152";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"Agrostis stolonifera L.";"-";"o";3;"Tansley Meren"
"153";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"Calamagrostis canescens (Weber) Roth";"-";"o";3;"Tansley Meren"
"154";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"Juncus effusus L.";"-";"o";3;"Tansley Meren"
"155";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"Typha";"-";"a";30;"Tansley Meren"
"156";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"Lemna minuta Humb., Bonpl. et Kunth";"-";"f";7;"Tansley Meren"
"157";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"Elatine hexandra (Lapierre) DC.";"-";"o";3;"Tansley Meren"
"158";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"Eleocharis acicularis (L.) Roem. et Schult.";"-";"o";3;"Tansley Meren"
"159";"HT31xx_LSVI_StilstaandeWateren";"IV2017032809570000";"Sphagnum";"-";"o";3;"Tansley Meren"
"160";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"Agrostis canina L.";"-";"o";3;"Tansley Meren"
"161";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"Agrostis stolonifera L.";"-";"o";3;"Tansley Meren"
"162";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"Calamagrostis canescens (Weber) Roth";"-";"o";3;"Tansley Meren"
"163";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"Juncus effusus L.";"-";"o";3;"Tansley Meren"
"164";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"Typha";"-";"a";30;"Tansley Meren"
"165";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"Lemna";"-";"f";7;"Tansley Meren"
"166";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"Draadwier";"-";"f";7;"Tansley Meren"
"167";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"Lemna minuta Humb., Bonpl. et Kunth";"-";"f";7;"Tansley Meren"
"168";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"Hypericum elodes L.";"-";"o";3;"Tansley Meren"
"169";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810082114";"Sphagnum";"-";"o";3;"Tansley Meren"
"170";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810192681";"Lemna";"-";"f";7;"Tansley Meren"
"171";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810192681";"Lemna minuta Humb., Bonpl. et Kunth";"-";"f";7;"Tansley Meren"
"172";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810192681";"Hydrocharis morsus-ranae L.";"-";"r";1;"Tansley Meren"
"173";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"Agrostis canina L.";"-";"o";3;"Tansley Meren"
"174";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"Juncus effusus L.";"-";"o";3;"Tansley Meren"
"175";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"Lythrum salicaria L.";"-";"r";1;"Tansley Meren"
"176";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"Molinia caerulea (L.) Moench";"-";"o";3;"Tansley Meren"
"177";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"Typha";"-";"o";3;"Tansley Meren"
"178";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"Juncus canadensis J. Gay ex Laharpe";"-";"o";3;"Tansley Meren"
"179";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"Elatine hexandra (Lapierre) DC.";"-";"o";3;"Tansley Meren"
"180";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"Elatine hydropiper L.";"-";"o";3;"Tansley Meren"
"181";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"Eleocharis acicularis (L.) Roem. et Schult.";"-";"f";7;"Tansley Meren"
"182";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"Juncus bulbosus L.";"-";"r";1;"Tansley Meren"
"183";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810361983";"Sphagnum";"-";"o";3;"Tansley Meren"
"184";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Agrostis canina L.";"-";"o";3;"Tansley Meren"
"185";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Bidens";"-";"o";3;"Tansley Meren"
"186";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Juncus effusus L.";"-";"o";3;"Tansley Meren"
"187";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Lythrum salicaria L.";"-";"r";1;"Tansley Meren"
"188";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Molinia caerulea (L.) Moench";"-";"o";3;"Tansley Meren"
"189";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Typha";"-";"o";3;"Tansley Meren"
"190";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Lemna";"-";"o";3;"Tansley Meren"
"191";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Draadwier";"-";"r";1;"Tansley Meren"
"192";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Juncus canadensis J. Gay ex Laharpe";"-";"o";3;"Tansley Meren"
"193";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Hypericum elodes L.";"-";"f";7;"Tansley Meren"
"194";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Nitella confervacea (Bréb.) A. Braun ex Leonh.";"-";"a";30;"Tansley Meren"
"195";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Pilularia globulifera L.";"-";"o";3;"Tansley Meren"
"196";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Juncus bulbosus L.";"-";"r";1;"Tansley Meren"
"197";"HT31xx_LSVI_StilstaandeWateren";"IV2017032810490646";"Sphagnum";"-";"o";3;"Tansley Meren"
"198";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"Agrostis canina L.";"-";"r";1;"Tansley Meren"
"199";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"Agrostis stolonifera L.";"-";"r";1;"Tansley Meren"
"200";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"Bidens";"-";"o";3;"Tansley Meren"
"201";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"Calamagrostis canescens (Weber) Roth";"-";"r";1;"Tansley Meren"
"202";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"Juncus effusus L.";"-";"o";3;"Tansley Meren"
"203";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"Lythrum salicaria L.";"-";"o";3;"Tansley Meren"
"204";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"Polygonum hydropiper L.";"-";"r";1;"Tansley Meren"
"205";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"Typha";"-";"f";7;"Tansley Meren"
"206";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"Lemna minuta Humb., Bonpl. et Kunth";"-";"f";7;"Tansley Meren"
"207";"HT31xx_LSVI_StilstaandeWateren";"IV2017040309190179";"Elatine hexandra (Lapierre) DC.";"-";"o";3;"Tansley Meren"
